Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2016,2904.6,,638.4,22.0,-568.2,,,-416.1,,-4.05,206.8,229.5,-22.7,5218.3,,,,1347.2,104.0,,,millions,USD
FY2017,2941.3,,548.9,18.7,177.9,,,-165.6,,-1.59,1340.7,514.4,826.3,5098.7,,,,2268.5,104.5,,,millions,USD
FY2018,2244.0,,392.2,17.5,40.1,,,144.3,,1.36,-326.8,739.8,-1066.6,5212.4,,,,1403.6,104.9,,,millions,USD
FY2019,3063.1,,549.2,17.9,-161.8,,,-114.9,,-1.09,174.2,668.7,-494.5,5096.8,,,,1352.7,105.4,,,millions,USD
FY2020,2711.3,,680.7,25.1,317.5,,,398.4,,3.73,37.1,416.6,-379.5,5520.9,,,,1227.0,106.0,,,millions,USD
FY2021,2923.4,,730.0,25.0,586.8,,,468.7,,4.38,237.6,540.3,-302.7,5959.6,,,,1450.7,106.3,,,millions,USD
FY2022,2619.3,,69.9,2.7,-27.2,,,-44.2,,-0.41,873.4,903.6,-30.2,5836.1,,,,1481.3,106.6,,,millions,USD
Q1 2023,548.3,,112.1,20.4,18.0,,,42.6,,0.4,-34.6,371.0,-405.6,5868.7,,,,906.6,106.8,,,millions,USD
Q2 2023,810.7,,310.4,38.3,168.5,,,170.6,,1.59,,,,6039.6,,,,829.9,106.8,,,millions,USD
Q3 2023,801.1,,376.2,47.0,273.0,,,268.4,,2.5,,,,6302.4,,,,1493.0,106.8,,,millions,USD
Q4 2023,1158.5,,502.0,43.3,397.8,,,349.2,,3.25,,,,6687.5,,,,1947.0,106.8,,,millions,USD
FY2023,3318.6,,1300.7,39.2,857.3,,,830.8,,7.74,602.3,1386.8,-784.5,6687.5,,,,1947.0,106.8,,,millions,USD
Q1 2024,794.1,,346.0,43.6,243.1,,,236.6,,2.2,267.7,413.5,-145.7,6902.5,,,,1682.1,107.0,,,millions,USD
Q2 2024,1010.5,,498.9,49.4,372.5,,,349.4,,3.25,,,,7255.4,,,,1702.9,107.0,,,millions,USD
Q3 2024,887.7,,445.3,50.2,322.0,,,313.0,,2.91,,,,7593.6,,,,1005.1,107.1,,,millions,USD
Q4 2024,1514.0,,567.7,37.5,456.8,,,393.0,,3.66,,,,7977.6,,,,1621.4,107.1,,,millions,USD
FY2024,4206.3,,1857.9,44.2,1394.4,,,1292.0,,12.02,1218.0,1526.1,-308.1,7977.6,,,,1621.4,107.1,,,millions,USD
Q1 2025,844.6,,344.4,40.8,221.2,,,209.5,,1.95,-608.0,206.0,-813.9,8187.3,,,,837.6,107.2,,,millions,USD
Q2 2025,1097.2,,499.9,45.6,361.6,,,341.9,,3.18,,,,8546.1,,,,1124.7,107.2,,,millions,USD
Q3 2025,1594.9,,610.7,38.3,466.1,,,455.9,,4.24,,,,9015.3,,,,1992.2,107.3,,,millions,USD
Q4 2025,1682.7,,665.3,39.5,548.0,,,520.9,,4.84,,,,9538.0,,,,2803.5,107.3,,,millions,USD
FY2025,5219.4,,2120.3,40.6,1596.9,,,1528.2,,14.21,2057.1,869.9,1187.2,9538.0,,,,2803.5,107.3,,,millions,USD
Q1 2026,1044.2,,486.1,46.6,345.3,,,346.6,,3.22,-214.9,118.5,-333.4,9878.6,,,,2363.0,107.5,,,millions,USD
