Date,Close
2016-09-30,6.79
2016-10-31,6.68
2016-11-30,7.13
2016-12-31,6.92
2017-01-31,7.55
2017-02-28,7.74
2017-03-31,8.11
2017-04-30,8.5
2017-05-31,7.87
2017-06-30,7.96
2017-07-31,8.29
2017-08-31,8.24
2017-09-30,8.36
2017-10-31,8.69
2017-11-30,8.42
2017-12-31,8.09
2018-01-31,8.21
2018-02-28,8.43
2018-03-31,9.07
2018-04-30,9.34
2018-05-31,9.62
2018-06-30,9.63
2018-07-31,10.7
2018-08-31,10.36
2018-09-30,10.38
2018-10-31,10.25
2018-11-30,10.63
2018-12-31,11.66
2019-01-31,12.8
2019-02-28,13.35
2019-03-31,13.16
2019-04-30,13.4
2019-05-31,15.03
2019-06-30,14.81
2019-07-31,14.52
2019-08-31,14.18
2019-09-30,14.39
2019-10-31,14.82
2019-11-30,13.37
2019-12-31,14.89
2020-01-31,14.98
2020-02-29,12.1
2020-03-31,13.15
2020-04-30,15.37
2020-05-31,14.85
2020-06-30,16.93
2020-07-31,18.31
2020-08-31,17.94
2020-09-30,18.4
2020-10-31,18.68
2020-11-30,18.91
2020-12-31,17.68
2021-01-31,16.56
2021-02-28,18.12
2021-03-31,18.91
2021-04-30,19.43
2021-05-31,21.17
2021-06-30,22.64
2021-07-31,23.13
2021-08-31,21.68
2021-09-30,21.9
2021-10-31,24.69
2021-11-30,26.5
2021-12-31,23.19
2022-01-31,22.23
2022-02-28,22.89
2022-03-31,23.98
2022-04-30,20.55
2022-05-31,17.84
2022-06-30,20.7
2022-07-31,19.67
2022-08-31,15.78
2022-09-30,17
2022-10-31,19.12
2022-11-30,17.36
2022-12-31,19.97
2023-01-31,19.86
2023-02-28,18.79
2023-03-31,19.31
2023-04-30,19.63
2023-05-31,20.07
2023-06-30,20.54
2023-07-31,23.36
2023-08-31,21.45
2023-09-30,20.74
2023-10-31,22.75
2023-11-30,25.3
2023-12-31,25.6
2024-01-31,29.9
2024-02-29,33.81
2024-03-31,31.69
2024-04-30,33.52
2024-05-31,34.75
2024-06-30,35.1
2024-07-31,33.4
2024-08-31,36.99
2024-09-30,36.64
2024-10-31,37.91
2024-11-30,35.64
2024-12-31,36.45
2025-01-31,31.31
2025-02-28,28.43
2025-03-31,29.98
2025-04-30,32.92
2025-05-31,34.24
2025-06-30,35.18
2025-07-31,34.35
2025-08-31,32.78
2025-09-30,33.03
2025-10-31,29.68
2025-11-30,30.98
2025-12-31,30.73
2026-01-31,28.94
2026-02-28,25.54
2026-03-31,29.58
2026-04-30,31.67
2026-05-31,31.13
2026-06-30,29.77
2026-07-31,27.73
2026-08-31,25.62
2026-09-22,26
