Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1-2018,1214.5,,,,,,199.5,28.4,2.3,2.84,198.4,21.6,176.8,1912.9,4120.4,2207.5,1229.1,40.6,1000.0,,8.3,,,,,millions,NZD
FY2018,2304.5,,,,,,360.5,19.8,0.9,1.98,330.6,50.8,279.8,1961.5,4235.0,2273.5,1255.4,49.3,1000.0,,16.9,,,,,millions,NZD
H1-2019,1361.0,,,,,,195.5,49.0,3.6,4.87,171.0,29.5,141.5,1948.3,4167.5,2219.2,1223.6,38.0,1006.2,,8.45,,,,,millions,NZD
FY2019,2700.7,,,,,,363.4,59.2,2.2,5.84,301.4,64.6,236.8,2150.8,4632.5,2481.7,1289.8,61.9,1013.7,,17.05,,,,,millions,NZD
H1-2020,1334.2,,,,,,167.2,9.2,0.7,0.9,161.7,27.2,134.5,2095.9,4547.9,2452.0,1306.7,26.1,1022.2,,8.525,,,,,millions,NZD
FY2020,2591.5,,,,,,355.6,46.0,1.8,4.47,307.5,95.6,211.9,2069.8,4582.3,2512.5,1367.4,32.5,1037.4,0.4,17.125,,,,,millions,NZD
H1-2021,1419.4,,,,,,217.3,52.7,3.7,5.09,245.9,28.3,217.6,1880.5,4338.7,2458.2,1317.0,81.3,1035.4,,8.6,,,,,millions,NZD
FY2021,3221.2,,,,,,357.9,33.5,1.0,3.22,323.8,90.4,233.4,2051.7,5241.9,3190.2,1427.8,104.3,1043.6,0.4,,,,,,millions,NZD
H1-2022,1382.4,,,,,,210.3,84.7,6.1,8.12,123.5,25.5,98.0,2081.5,4797.9,2716.4,1445.9,71.6,1043.1,,8.7,,,,,millions,NZD
FY2022,2834.1,,,,,,440.3,221.9,7.8,21.24,261.7,84.2,177.5,2379.5,5272.4,2892.9,1493.3,105.6,1044.7,,17.6,,,,,millions,NZD
H1-2023,1155.1,,,,,,298.3,145.3,12.6,13.84,224.5,23.6,200.9,2801.5,5701.8,2900.3,1434.0,114.0,1049.9,,8.8,,,,,millions,NZD
FY2023,2374.2,,,,,,523.5,195.7,8.2,18.52,422.6,82.5,340.1,2406.0,5090.0,2684.0,1366.7,60.1,1065.3,0.5,,,,,,millions,NZD
H1-2024,1366.5,,,,,,202.1,38.3,2.8,3.6,210.8,85.5,125.3,2469.0,5165.9,2696.9,1369.1,69.5,1063.9,,7.0,,,,,millions,NZD
FY2024,3047.8,,,,,,407.2,131.1,4.3,12.21,439.8,151.7,288.1,2678.0,5637.3,2959.3,1450.7,192.8,1082.6,,14.0,,,,,millions,NZD
H1-2025,1761.2,,,,,,216.5,70.3,4.0,6.5,126.3,33.0,93.3,2949.9,6025.6,3075.7,1528.7,102.0,1081.5,,7.13,,,,,millions,NZD
FY2025,3662.1,,,,,,454.3,169.1,4.6,15.5,311.7,135.1,176.6,2975.9,6102.0,3126.1,1489.8,81.0,1091.0,0.9,14.3,,,,,millions,NZD
H1-2026,1533.6,,,,,,303.2,95.1,6.2,8.64,264.0,120.6,143.4,3089.8,6289.3,3199.5,1490.5,96.8,1110.4,0.5,7.3,,,,,millions,NZD
