Date,Close
2016-09-30,1.96
2016-10-31,2.03
2016-11-30,2.1
2016-12-31,2.16
2017-01-31,2.095
2017-02-28,2.08
2017-03-31,2.135
2017-04-30,2.285
2017-05-31,2.43
2017-06-30,2.48
2017-07-31,2.455
2017-08-31,2.38
2017-09-30,2.45
2017-10-31,2.38
2017-11-30,2.52
2017-12-31,2.49
2018-01-31,2.36
2018-02-28,2.375
2018-03-31,2.25
2018-04-30,2.445
2018-05-31,2.44
2018-06-30,2.55
2018-07-31,2.45
2018-08-31,2.585
2018-09-30,2.34
2018-10-31,2.56
2018-11-30,2.61
2018-12-31,2.66
2019-01-31,2.8
2019-02-28,3.22
2019-03-31,3.055
2019-04-30,3.11
2019-05-31,3.47
2019-06-30,3.43
2019-07-31,3.44
2019-08-31,3.42
2019-09-30,3.28
2019-10-31,3.2
2019-11-30,3.025
2019-12-31,3.15
2020-01-31,3.055
2020-02-29,2.515
2020-03-31,2.81
2020-04-30,2.85
2020-05-31,3.03
2020-06-30,2.91
2020-07-31,3.02
2020-08-31,2.935
2020-09-30,3.1
2020-10-31,3.23
2020-11-30,3.625
2020-12-31,3.92
2021-01-31,3.495
2021-02-28,3.49
2021-03-31,3.44
2021-04-30,3.44
2021-05-31,3.4
2021-06-30,3.43
2021-07-31,3.39
2021-08-31,3.295
2021-09-30,3.26
2021-10-31,2.92
2021-11-30,2.86
2021-12-31,2.67
2022-01-31,2.755
2022-02-28,2.88
2022-03-31,2.865
2022-04-30,2.65
2022-05-31,2.65
2022-06-30,2.88
2022-07-31,2.96
2022-08-31,2.74
2022-09-30,2.83
2022-10-31,2.535
2022-11-30,2.58
2022-12-31,2.86
2023-01-31,2.9
2023-02-28,2.77
2023-03-31,2.71
2023-04-30,2.74
2023-05-31,2.73
2023-06-30,2.71
2023-07-31,2.535
2023-08-31,2.44
2023-09-30,2.31
2023-10-31,2.37
2023-11-30,2.505
2023-12-31,2.53
2024-01-31,2.47
2024-02-29,2.46
2024-03-31,2.325
2024-04-30,2.1
2024-05-31,2.19
2024-06-30,2.22
2024-07-31,2.21
2024-08-31,2.11
2024-09-30,2.135
2024-10-31,2.26
2024-11-30,2.25
2024-12-31,2.2
2025-01-31,2.205
2025-02-28,2.155
2025-03-31,2.2
2025-04-30,2.27
2025-05-31,2.275
2025-06-30,2.38
2025-07-31,2.36
2025-08-31,2.35
2025-09-30,2.51
2025-10-31,2.42
2025-11-30,2.4
2025-12-31,2.43
2026-01-31,2.29
2026-02-28,2.18
2026-03-31,2.47
2026-04-30,2.51
2026-05-31,2.59
2026-06-30,2.56
2026-07-31,2.65
2026-08-31,2.79
2026-09-08,2.76
