Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1-2018,51.977,,,,,,15.898,8.364,16.1,,,,,,,,,,,,0.05,,,,,millions,NZD
FY2018,104.477,,,,,,30.957,13.87,13.3,,,,,,,,,,,,0.137,,,,,millions,NZD
H1-2019,54.421,,,,,,12.789,-8.7,-16.0,,,,,,,,,,,,0.05,,,,,millions,NZD
FY2019,111.682,,,,,,24.813,-3.315,-3.0,,,,,,,,,,,,0.08,,,,,millions,NZD
H1-2020,50.6,,,,,,4.8,-12.8,-25.3,,,,,,,,,,,,0.0,,,,,millions,NZD
FY2020,100.533,,,,-33.881,-33.7,12.093,-31.706,-31.5,-0.32,21.966,0.655,21.311,160.494,208.664,48.17,2.536,19.321,100.053,,0.03,,,,,millions,NZD
H1-2021,51.0,,,,,,7.0,-1.1,-2.2,,,,,,,,0.0,22.4,,,0.0,,,,,millions,NZD
FY2021,105.723,,,,1.863,1.8,12.727,3.189,3.0,0.03,12.945,0.663,12.282,162.441,208.833,46.392,0.0,25.957,103.128,,0.0,,,,,millions,NZD
H1-2022,57.1,,,,,,1.2,-5.8,-10.2,-0.06,,,,,,,0.0,16.5,103.179,,0.0,,,,,millions,NZD
FY2022,126.299,,,,-2.579,-2.0,8.114,-3.32,-2.6,-0.03,5.964,0.986,4.978,159.908,213.291,53.384,0.0,27.387,102.404,,0.0,,,,,millions,NZD
H1-2023,84.303,,,,11.946,14.2,15.999,7.88,9.3,0.07,17.216,1.052,16.164,171.957,242.259,70.302,0.0,41.885,105.359,2.27,0.0,,,,,millions,NZD
FY2023,169.9,,,,14.7,8.7,23.2,10.0,5.9,0.10002,25.919,1.958,23.961,181.416,249.573,68.157,17.306,49.2,101.798,5.209,0.0,,,,,millions,NZD
H1-2024,102.0,,,,7.9,7.7,12.3,5.3,5.2,,,,,,,,0.0,39.3,,5.3,0.0,,,,,millions,NZD
FY2024,213.2,,,,14.592,6.8,23.6,9.5,4.5,0.09213,34.386,1.087,33.299,207.803,287.683,79.88,17.155,66.7,103.49,10.218,0.0,,,,,millions,NZD
H1-2025,112.0,,,,8.231,7.4,13.0,7.2,6.4,0.06768,2.868,1.083,1.785,225.295,300.277,74.982,16.335,70.7,107.717,3.767,0.0,,,,,millions,NZD
FY2025,230.2,,,,18.239,7.9,27.8,20.9,9.1,0.19528,22.01,1.743,20.267,244.193,324.786,80.593,16.276,84.8,107.722,6.327,0.0,,,,,millions,NZD
H1-2026,110.1,,,,2.054,2.4,7.9,5.1,4.6,0.04619,-8.697,1.1,-9.797,245.818,315.635,69.817,14.454,73.2,112.451,0.14,0.0,,,,,millions,NZD
