Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2018,522.909,198.791,324.118,62.0,31.651,6.1,38.816,16.784,3.2,11.88,33.181,11.784,21.397,120.955,255.084,127.021,49.224,10.754,143.153,0.015,,,,,,millions,NZD
H1 FY2019,282.4,,,,,,,8.1,2.9,,,,,,,,,,,,,,,,,millions,NZD
H1 FY2020,275.4,,,,,,,7.0,2.5,,,,,,,,,,,,,,,,,millions,NZD
FY2020,568.5,,,,31.0,5.5,,13.5,2.4,9.4,,,,,,,,,,,,,,,,millions,NZD
H1 FY2021,277.2,,,,,,,8.8,3.2,,,,,,,,,,,,,,,,,millions,NZD
FY2021,570.4,,,,35.1,6.2,,16.8,2.9,11.7,,,,,,,,,,,,,,,,millions,NZD
H1 FY2022,309.9,,,,,,,9.7,3.1,,,,,,,,,,,,,,,,,millions,NZD
FY2022,670.3,,,,54.1,8.1,,24.6,3.7,17.2,,,,,,,,,,,,,,,,millions,NZD
H1 FY2023,355.1,,,,,,,11.4,3.2,,,,,,,,,,,,,,,,,millions,NZD
FY2023,493.6,,,,34.3,6.9,,45.2,9.2,31.6,,,,,,,,,,,,,493.6,,34.3,millions,NZD
H1 FY2024,250.2,,,,,,,5.6,2.2,,,,,,,,,,,,,,,,,millions,NZD
FY2024,503.9,,,,31.8,6.3,,12.0,2.4,8.4,,,,,,,,,,,,,,,,millions,NZD
H1 FY2025,259.9,,,,,,,5.6,2.2,,,,,,,,,,,,,,,,,millions,NZD
FY2025,523.758,222.919,300.839,57.4,38.723,7.4,58.077,15.975,3.1,11.13,52.641,5.838,46.803,166.585,386.237,205.238,135.165,26.199,143.603,0.174,4.5,,,,,millions,NZD
H1 FY2026,264.435,,,,,,,7.185,2.7,,,,,,,,,,,,,,,,,millions,NZD
FY2026,545.976,235.12,310.856,56.9,45.261,8.3,65.815,20.395,3.7,14.19,54.613,9.608,45.005,176.208,392.027,201.196,124.835,28.403,143.834,0.192,5.75,,,,,millions,NZD
