Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,28.463,,,,,,,95.375,,83.54,,,,386.859,,,25.321,5.944,114.535564,,20.0,,,,,millions,GBP
H1-2017,9.511,,,,,,,28.09,,24.39,,,,407.04,,,20.967,2.905,115.660564,,,,,,,millions,GBP
FY2017,30.265,,,,,,,67.211,,58.03,,,,442.482,,,31.833,10.241,117.935564,,20.8,,,,,millions,GBP
H1-2018,9.005,,,,,,,6.365,,5.31,,,,449.196,,,32.66,16.874,121.428564,,,,,,,millions,GBP
FY2018,32.579,,,,,,,6.595,,5.44,,,,441.004,,,30.775,7.117,122.753564,,21.6,,,,,millions,GBP
H1-2019,10.354,,,,,,,-15.3,,-12.35,,,,422.69,,,25.562,6.39,125.878564,,,,,,,millions,GBP
FY2019,35.356,,,,,,,28.306,,22.43,,,,469.121,,,16.52,6.36,130.678564,,22.4,,,,,millions,GBP
H1-2020,10.11,,,,,,,-39.023,,-28.99,,,,442.035,,,23.525,14.063,138.308564,,,,,,,millions,GBP
FY2020,38.754,,,,,,,-48.819,,-35.52,,,,425.927,,,7.469,3.879,141.493564,,23.0,,,,,millions,GBP
H1-2021,10.715,,,,,,,31.087,,21.8,,,,449.505,,,30.054,6.974,144.293564,,,,,,,millions,GBP
FY2021,40.339,,,,,,,29.677,,20.4,,,,452.644,,,25.454,13.693,151.093564,,23.4,,,,,millions,GBP
H1-2022,11.988,,,,,,,-0.604,,-0.4,,,,435.607,,,33.578,7.716,151.568564,,,,,,,millions,GBP
FY2022,43.571,,,,,,,7.957,,5.23,,,,435.576,,,17.206,14.31,154.948564,,23.8,,,,,millions,GBP
H1-2023,11.525,,,,,,,-18.061,,-11.54,,,,410.495,,,37.28,11.711,159.283564,,,,,,,millions,GBP
FY2023,40.268,,,,,,,-56.24,,-35.43,,,,362.032,,,28.191,3.944,162.988564,,24.2,,,,,millions,GBP
H1-2024,11.204,,,,,,,27.826,,17.09,,,,368.577,,,35.575,4.383,162.322917,,,,,,,millions,GBP
FY2024,52.231,,,,,,,39.329,,24.15,,,,366.104,,,15.3,5.482,164.937179,,24.6,,,,,millions,GBP
H1-2025,12.231,,,,,,,8.095,,4.87,,,,363.229,,,23.826,9.272,167.789679,,,,,,,millions,GBP
FY2025,50.609,,,,,,,45.112,,26.4,,,,407.659,,,49.591,24.684,182.544679,,24.9,,,,,millions,GBP
H1-2026,19.983,,,,,,,96.146,,50.59,,,,518.901,,,49.876,25.11,198.524679,,,,,,,millions,GBP
