Date,Close
2016-09-30,2.99
2016-10-31,2.96
2016-11-30,3.05
2016-12-31,3.23
2017-01-31,3.34
2017-02-28,3.55
2017-03-31,3.23
2017-04-30,3.04
2017-05-31,3.02
2017-06-30,3.1
2017-07-31,3.27
2017-08-31,3.35
2017-09-30,3.34
2017-10-31,3.41
2017-11-30,3.95
2017-12-31,4.26
2018-01-31,4.64
2018-02-28,5.05
2018-03-31,4.57
2018-04-30,4.38
2018-05-31,4.75
2018-06-30,5.11
2018-07-31,6.29
2018-08-31,5.85
2018-09-30,5.89
2018-10-31,5.61
2018-11-30,4.18
2018-12-31,4
2019-01-31,4.15
2019-02-28,4.69
2019-03-31,4.93
2019-04-30,4.93
2019-05-31,5.2
2019-06-30,5.36
2019-07-31,5.51
2019-08-31,5.84
2019-09-30,6.18
2019-10-31,6.3
2019-11-30,6.04
2019-12-31,6
2020-01-31,4.8
2020-02-29,2.7
2020-03-31,3.85
2020-04-30,3.8
2020-05-31,3.55
2020-06-30,3.43
2020-07-31,4.53
2020-08-31,5.44
2020-09-30,6.12
2020-10-31,6.87
2020-11-30,6.65
2020-12-31,7.07
2021-01-31,7.21
2021-02-28,7.48
2021-03-31,7.35
2021-04-30,7.27
2021-05-31,7.45
2021-06-30,7.23
2021-07-31,7.25
2021-08-31,6.95
2021-09-30,7
2021-10-31,7.31
2021-11-30,7.05
2021-12-31,6.24
2022-01-31,5.88
2022-02-28,6.49
2022-03-31,6.02
2022-04-30,5.71
2022-05-31,5.47
2022-06-30,5.2
2022-07-31,5.32
2022-08-31,5.2
2022-09-30,5.34
2022-10-31,5.48
2022-11-30,5.44
2022-12-31,5.6
2023-01-31,5.45
2023-02-28,5.8
2023-03-31,6.25
2023-04-30,6.1
2023-05-31,6.14
2023-06-30,6.4
2023-07-31,6.18
2023-08-31,6.09
2023-09-30,5.76
2023-10-31,6.05
2023-11-30,5.2
2023-12-31,5.51
2024-01-31,5.75
2024-02-29,6.45
2024-03-31,6.04
2024-04-30,5.37
2024-05-31,5.57
2024-06-30,5.92
2024-07-31,5.97
2024-08-31,6.4
2024-09-30,7.53
2024-10-31,7.7
2024-11-30,8.25
2024-12-31,8.5
2025-01-31,8
2025-02-28,8.25
2025-03-31,7.28
2025-04-30,7.9
2025-05-31,8.23
2025-06-30,8.7
2025-07-31,8.7
2025-08-31,9.18
2025-09-30,9.85
2025-10-31,9.83
2025-11-30,9.84
2025-12-31,9.9
2026-01-31,10.1
2026-02-28,9.98
2026-03-31,9.8
2026-04-30,9.95
2026-05-31,9.99
2026-06-30,10.65
2026-07-31,11.95
2026-08-31,12.39
2026-09-08,12
