Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,DividendPerShareDeclared,UnderlyingEBITDA,UnderlyingEPS,UnderlyingNPAT,OnMarketBuyback,TreasurySharesPurchased
FY2015,28.669,,,,-5.985,-20.9,-5.368,-6.457,-22.5,-0.1334,-5.203,0.851,-6.054,17.897,28.072,10.175,0.0,12.109,48.4,0.903,,,,,,millions,AUD,,,,,0.0,0.0
H1 FY2016,20.226,,,,-2.037,-10.1,-1.674,-1.82,-9.0,-0.0348,-0.144,0.721,-0.865,17.555,,,0.0,10.522,52.3,0.35,,,,,,millions,AUD,,,,,0.0,0.0
FY2016,43.273,,,,-2.696,-6.2,-1.912,-1.187,-2.7,-0.0226,1.304,1.564,-0.26,18.963,28.849,9.886,0.0,9.267,52.52,1.312,,,,,,millions,AUD,,,,,0.0,0.0
H1 FY2017,26.711,,,,0.511,1.9,1.006,1.328,5.0,0.0235,1.497,1.064,0.433,21.759,31.149,9.39,0.0,10.455,56.51,0.316,,,,,,millions,AUD,,,,,0.0,0.0
FY2017,62.341,,,,2.323,3.7,3.747,18.874,30.3,0.3315,4.063,2.473,1.59,43.615,63.112,19.497,0.0,10.837,56.94,0.8,,,,,,millions,AUD,,,,,0.0,0.0
H1 FY2018,40.642,,,,2.754,6.8,3.75,2.291,5.6,0.0376,4.6,3.498,1.102,51.452,67.422,15.969,0.0,13.622,60.93,0.566,,,,,,millions,AUD,,,,,0.0,0.0
FY2018,84.051,,,,6.866,8.2,8.882,7.379,8.8,0.1191,12.251,6.401,5.85,57.866,72.422,14.556,0.0,16.959,61.96,1.448,,,,,,millions,AUD,,,,,0.0,0.0
H1 FY2019,47.347,,,,3.123,6.6,4.413,3.182,6.7,0.0503,3.416,3.531,-0.115,60.505,73.543,13.038,0.0,15.464,63.26,0.809,,,,,,millions,AUD,,,,,0.0,0.0
FY2019,96.358,,,,8.536,8.9,11.11,7.164,7.4,0.113,11.631,7.363,4.268,64.924,77.522,12.598,0.0,18.466,63.4,1.826,,,,,,millions,AUD,,,,,0.0,0.0
H1 FY2020,52.707,,,,7.531,14.3,10.025,6.032,11.4,0.0941,9.919,3.201,6.718,71.358,89.152,17.795,0.0,21.92,64.1,1.081,,,,,,millions,AUD,,,,,0.0,0.0
FY2020,110.265,,,,11.236,10.2,16.559,8.228,7.5,0.1285,25.258,7.225,18.033,74.823,97.818,22.994,0.0,33.809,64.03,4.295,,,80.715,,,millions,AUD,,,,,0.0,0.0
H1 FY2021,62.123,,,,7.389,11.9,10.146,6.115,9.8,0.0932,10.485,3.211,7.274,152.992,175.242,22.249,0.0,85.276,65.61,4.127,,,47.057,,,millions,AUD,,,,,0.0,0.0
FY2021,107.957,,,,12.663,11.7,19.62,9.769,9.0,0.1428,19.165,6.046,13.119,181.07,229.019,47.948,12.5,63.461,68.41,7.747,,,107.957,,,millions,AUD,,,,,0.0,5.012
H1 FY2022,80.267,,,,10.877,13.6,19.21,8.393,10.5,0.1186,15.078,4.017,11.061,187.665,235.698,48.033,12.5,59.525,70.77,5.97,,,80.267,,,millions,AUD,,29.718,,,0.0,5.012
FY2022,189.508,,,,18.892,10.0,38.723,14.662,7.7,0.1953,36.931,12.591,24.34,455.66,547.718,92.058,39.295,43.454,75.07,10.783,,,189.508,,,millions,AUD,,,,,0.0,10.012
H1 FY2023,136.076,,,,22.492,16.5,36.621,15.531,11.4,0.1889,30.053,7.694,22.359,466.276,553.894,87.618,36.328,67.057,82.22,4.42,,,136.076,,,millions,AUD,,49.947,,,0.0,0.0
FY2023,276.307,,,,47.446,17.2,75.152,38.166,13.8,0.4606,75.49,17.826,57.664,510.412,596.681,86.269,29.975,72.747,82.86,11.096,,,276.307,,,millions,AUD,,,,,0.0,10.012
H1 FY2024,154.802,,,,27.788,18.0,42.71,21.532,13.9,0.257,35.107,11.27,23.837,504.553,589.659,85.106,29.975,60.824,83.78,5.798,,,154.802,,,millions,AUD,,,,,9.997,10.023
FY2024,323.488,,,,54.301,16.8,91.124,47.159,14.6,0.5638,88.249,22.731,65.518,519.702,622.734,103.032,29.975,88.048,83.64,13.521,,,323.488,,,millions,AUD,,,,,12.493,10.023
H1 FY2025,192.222,,,,45.026,23.4,67.937,33.159,17.3,0.3975,66.48,13.806,52.674,528.506,652.756,124.25,29.975,103.128,83.42,6.686,,,192.222,,,millions,AUD,,77.568,,,0.0,20.0
FY2025,400.399,,,,96.801,24.2,142.243,79.485,19.9,0.9573,148.999,24.453,124.546,529.886,662.413,132.527,29.975,114.833,83.03,13.948,,,400.399,,,millions,AUD,,162.365,,,0.0,54.0
H1 FY2026,241.584,,,,70.672,29.3,94.676,59.696,24.7,0.7244,78.113,8.082,70.031,546.099,687.264,141.165,29.975,56.456,82.41,6.004,,,241.584,,,millions,AUD,,,,,0.0,25.939
FY2026,490.884,,,,138.804,28.3,187.824,120.2,24.5,1.46,176.932,23.12,153.812,552.745,710.103,157.358,29.975,70.986,82.33,13.351,0.78,,490.884,,,millions,AUD,0.78,211.4,1.67,137.3,0.0,55.873
