Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CapexPPE,CapitalisedDevelopmentCosts,CashTaxRate,LeasePrincipalPaid,OtherRevenue,IELTSTestVolume,SegmentRevenueDigitalMarketing,SegmentRevenueEnglishTeaching,SegmentRevenueEnglishTesting,SegmentRevenueStudentPlacement,StudentPlacements
FY2015,309.865,,,,45.15,14.6,51.779,31.476,10.2,0.1248,44.493,,,91.435,165.352,73.917,,51.184,252.132518,,,,,,,millions,AUD,,,,,,,,,,,
H1 FY2016,181.61,,,,28.527,15.7,32.511,20.347,11.2,0.0798,15.466,,,,,,,,254.889778,,,,,,,millions,AUD,,,,,,,,,,,
FY2016,361.636,,,,53.664,14.8,61.061,39.914,11.0,0.156,43.842,9.166,34.676,79.318,154.076,74.758,0.0,35.353,255.798899,2.087,,,,,,millions,AUD,,,31.6,,,,,,,,
H1 FY2017,189.814,,,,33.878,17.8,36.385,24.127,12.7,0.0939,10.722,5.378,5.344,89.883,160.913,71.03,0.0,23.963,257.009327,,,,,,,millions,AUD,,,30.9,,,,,,,,
FY2017,394.187,,,,61.224,15.5,68.365,41.511,10.5,0.162,58.811,15.666,43.145,88.803,239.848,151.045,39.108,41.958,256.220258,2.765,,,,,,millions,AUD,,,30.8,,,,,,,,
H1 FY2018,241.968,,,,45.068,18.6,50.274,30.459,12.6,0.1186,16.518,13.406,3.112,108.454,268.805,160.351,47.128,34.375,256.903287,,,,,,,millions,AUD,,,35.9,,,,,,,,
FY2018,487.155,,,,75.924,15.6,89.038,51.524,10.6,0.2014,74.534,28.488,46.046,101.286,288.848,187.562,63.928,48.809,255.783748,3.745,,,,,,millions,AUD,,,34.6,,,,,,,,
H1 FY2019,304.274,,,,58.493,19.2,66.766,40.826,13.4,0.1601,25.755,7.449,18.306,156.651,361.621,204.97,64.42,54.774,255.079641,,,,,,,millions,AUD,,,32.3,,,,,,,,
FY2019,598.136,,,,97.116,16.2,115.035,66.627,11.1,0.2609,74.705,19.674,55.031,153.947,369.458,215.511,60.478,56.059,255.342703,3.142,,,,,,millions,AUD,,,30.6,,3.994,,36.793,27.521,359.576,170.252,
H1 FY2020,378.968,,,,86.871,22.9,106.222,57.891,15.3,0.2271,59.58,13.01,46.57,181.127,479.367,298.24,62.743,60.992,254.885266,,,,,,,millions,AUD,,,23.1,7.233,,,,,,,
FY2020,587.106,,,,107.761,18.4,148.649,67.873,11.6,0.2609,78.602,22.422,56.18,392.921,701.918,308.997,59.831,307.089,260.179941,1.631,,,,,,millions,AUD,,,30.8,15.478,4.271,,38.249,28.503,325.517,190.566,
H1 FY2021,269.051,,,,47.331,17.6,67.987,29.814,11.1,0.1068,52.692,7.933,44.759,414.941,702.513,287.572,59.335,292.844,279.075305,,,,,,,millions,AUD,,,17.9,9.483,,,,,,,
FY2021,528.742,,,,64.143,12.1,101.731,39.683,7.5,0.1422,116.901,20.14,96.761,387.994,695.442,307.448,56.745,306.948,278.967632,2.16,,,,,,millions,AUD,,,19.7,17.483,3.192,,36.445,20.2,325.627,143.278,
H1 FY2022,396.77,,,,77.876,19.6,96.56,50.936,12.8,0.1826,75.472,11.203,64.269,446.948,957.406,510.458,156.383,204.472,279.001684,,,,,,,millions,AUD,,,33.3,9.57,,,,,,,
FY2022,793.331,,,,158.881,20.0,197.109,102.604,12.9,0.3679,140.634,29.648,110.986,455.368,974.786,519.418,156.453,196.608,278.882947,5.168,,,,,,millions,AUD,11.995,17.653,31.0,19.35,2.738,1.9,43.272,20.603,511.358,215.36,55400.0
H1 FY2023,501.801,,,,120.066,23.9,143.957,82.006,16.3,0.2939,18.486,18.661,-0.175,496.981,1126.623,629.642,218.934,134.791,279.007825,,,,,,,millions,AUD,,,27.3,11.329,,,,,,,
FY2023,981.916,,613.868,62.5,220.684,22.5,271.157,148.521,15.1,0.5328,170.28,38.946,131.334,517.442,1233.467,716.025,209.004,166.626,278.741939,7.573,,,,,,millions,AUD,17.132,21.814,24.4,22.726,4.088,1.93,,33.414,545.456,398.958,84600.0
H1 FY2024,579.09,,,,145.25,25.1,173.336,97.17,16.8,0.3483,18.887,27.896,-9.009,549.862,1277.895,728.033,284.905,128.685,278.974873,,,,,,,millions,AUD,8.596,19.3,38.3,12.618,,,,,,,
FY2024,1037.246,,662.839,63.9,210.326,20.3,265.77,132.749,12.8,0.4758,115.959,54.166,61.793,523.373,1256.326,732.953,277.652,107.622,279.027506,3.172,,,,,,millions,AUD,14.229,39.937,39.8,25.403,3.977,1.58,,39.791,485.145,508.333,98900.0
H1 FY2025,475.35,,,,94.955,20.0,124.009,59.535,12.5,0.2134,27.799,23.58,4.219,580.888,1388.496,807.608,347.89,156.913,278.942888,,,,,,,millions,AUD,2.191,21.389,52.8,12.977,,,,,,,
FY2025,882.201,,,,92.297,10.5,153.464,44.508,5.0,0.1592,132.63,60.884,71.746,534.479,1279.448,744.969,286.582,121.481,279.499672,4.137,,,,,,millions,AUD,9.261,51.623,96.9,26.252,,,,,,,
H1 FY2026,462.245,,,,52.558,11.4,86.432,22.742,4.9,0.0812,14.882,12.771,2.111,451.191,1176.17,724.979,311.764,119.234,280.072872,,,,,,,millions,AUD,0.96,11.811,54.1,12.43,,,,,,,
FY2026,795.401,,479.294,60.3,61.808,7.8,126.929,12.266,1.5,0.0437,135.473,32.346,103.127,398.851,1023.345,624.494,252.055,135.12,280.432135,6.864,,,,,,millions,AUD,5.842,26.504,41.0,22.78,4.04,,,39.651,388.866,362.844,
