Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1 FY2015,274.26,,,,,,119.429,49.522,18.1,0.2096,113.928,38.788,75.14,,,,,,236.3,1.353,,,,,,millions,AUD
FY2015,495.326,,,,,,210.668,76.779,15.5,0.3247,201.713,73.137,128.576,665.495,820.223,154.728,0.51,121.296,236.5,2.949,,,,,,millions,AUD
H1 FY2016,220.154,,,,,,-30.632,-78.008,-35.4,-0.2024,48.883,92.492,-43.609,1435.594,1857.96,422.366,194.553,58.929,385.4,0.282,,,,,,millions,AUD
FY2016,413.188,,,,,,41.266,-58.77,-14.2,-0.1312,102.06,236.786,-134.726,1455.791,2007.391,551.6,265.826,46.264,447.9,0.819,,,,,,millions,AUD
H1 FY2017,223.118,,,,,,78.314,20.209,9.1,0.0351,25.588,125.879,-100.291,1743.334,2179.321,435.987,196.586,109.219,575.8,0.423,,,,,,millions,AUD
FY2017,421.926,,,,,,117.448,17.011,4.0,0.0292,77.678,238.707,-161.029,1732.784,2208.483,475.699,197.041,35.763,582.6,1.147,,,,,,millions,AUD
H1 FY2018,354.762,,,,,,132.859,3.163,0.9,0.0054,111.373,69.82,41.553,1732.891,2181.093,448.202,168.932,51.335,,1.288,,,,,,millions,AUD
FY2018,777.946,,,,,,341.898,52.686,6.8,0.0894,277.805,140.196,137.609,1778.827,2174.928,396.101,140.815,138.688,589.3,3.267,,,,,,millions,AUD
H1 FY2019,352.632,,,,,,132.635,0.861,0.2,0.0015,162.974,61.364,101.61,1783.019,2147.734,364.715,112.706,208.073,,1.538,,,,,,millions,AUD
FY2019,784.512,,,,,,349.204,76.085,9.7,0.1284,372.31,106.193,266.117,1849.06,2190.269,341.209,84.589,348.208,592.6,3.123,,,,,,millions,AUD
H1 FY2020,474.346,,,,,,274.098,100.084,21.1,0.1687,245.349,40.252,205.097,1904.053,2248.054,344.001,95.328,452.758,593.3,2.164,,,,,,millions,AUD
FY2020,888.93,,,,,,468.217,155.093,17.4,0.2613,397.517,87.671,309.846,1925.809,2293.03,367.221,96.722,510.312,593.5,4.489,,,,,,millions,AUD
H1 FY2021,462.401,,,,,,,54.153,11.7,0.0895,241.665,51.982,189.683,2647.533,2969.069,321.536,37.654,1186.135,605.1,,,,,,,millions,AUD
FY2021,671.739,,,,,,,548.661,81.7,0.8051,446.052,94.712,351.34,3199.877,3608.732,408.855,25.048,528.514,681.5,4.917,,,671.739,,,millions,AUD
H1 FY2022,378.4,,,,,,218.8,90.7,24.0,0.1194,203.5,57.7,145.8,3210.7,3651.1,440.4,22.9,569.8,759.6,2.9,,,,,,millions,AUD
FY2022,902.8,,,,,,645.1,330.9,36.7,0.4354,357.1,88.1,269.0,3435.2,4863.3,1428.0,947.4,367.1,760.0,6.3,0.1,717.0,,,,millions,AUD
H1 FY2023,541.7,,,,,,835.0,591.0,109.1,0.7784,561.9,141.8,420.1,3916.0,5120.2,1204.2,736.1,515.0,759.2,3.6,,,,,,millions,AUD
FY2023,1023.9,,,,,,,549.1,53.6,0.7227,1423.1,345.2,1077.9,3790.2,4737.9,947.7,432.1,775.2,759.8,11.8,0.74,1987.0,,,,millions,AUD
H1 FY2024,438.2,,,,,,,288.3,65.8,0.3798,567.7,185.3,382.4,3595.4,4104.2,508.8,61.3,276.4,759.1,6.3,,,,,,millions,AUD
FY2024,841.3,,,,,,,2.8,0.3,0.0037,872.0,236.5,635.5,3209.3,3566.8,357.5,48.7,468.0,,10.3,0.37,581.0,,,,millions,AUD
H1 FY2025,284.0,,,,,,-770.3,-782.1,-275.4,-1.0328,-6.6,2.3,-8.9,2271.1,2484.0,212.9,43.2,246.6,757.3,5.6,,,,,,millions,AUD
FY2025,527.8,,,,,,-809.1,-954.6,-180.9,-1.2605,42.9,6.3,36.6,2092.4,2356.3,263.9,31.4,279.7,757.3,7.3,0.0,-43.0,,,,millions,AUD
H1 FY2026,194.1,,,,,,60.5,-34.1,-17.6,-0.045,28.5,0.4,28.1,2059.6,2298.7,239.1,21.0,298.9,757.8,,,,,,,millions,AUD
FY2026,462.9,,,,,,336.2,145.3,31.4,0.1905,132.4,3.1,129.3,2240.2,2446.7,206.5,16.8,386.5,762.7,9.3,0.05,286.0,,,,millions,AUD
