Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2018,7.732,-3.754,3.978,51.4,-6.706,-86.7,-5.099,-6.732,-87.1,-0.09,-2.809,-1.25,-4.059,7.952,10.22,2.268,0.0,2.586,78.4503,0.068,,,,,,millions,NZD
H1-2019,4.395,-1.533,2.862,65.1,-2.259,-51.4,,-2.255,-51.3,-0.02,-2.384,-0.936,-3.32,12.24,14.833,2.593,0.0,5.354,90.4696,0.08,,,,,,millions,NZD
FY2019,7.996,-2.646,5.35,66.9,-5.109,-63.9,,,,,,,,,,,,,,,,,,,,millions,NZD
H1-2020,5.245,-1.459,3.786,72.2,-1.115,-21.3,,-1.122,-21.4,-0.01,-0.818,-0.52,-1.338,8.525,11.425,2.9,0.0,2.229,90.4813,0.101,,,,,,millions,NZD
FY2020,9.838,-2.878,6.96,70.7,-5.644,-57.4,,-6.141,-62.4,,,,,,,,,,,,,,,,,millions,NZD
H1-2021,4.405,-1.47,2.935,66.6,-2.438,-55.3,,-2.48,-56.3,-0.02,-1.35,-0.669,-2.019,26.524,31.242,4.718,0.0,20.518,131.2722,0.278,,,,,,millions,NZD
FY2021,9.324,-3.403,5.921,63.5,-7.363,-79.0,-5.471,-7.417,-79.5,-0.06,-3.317,-2.036,-5.353,21.441,30.658,9.217,0.0,11.342,133.1408,0.88,,,,,,millions,NZD
H1-2022,5.715,-2.13,3.585,62.7,-6.187,-108.3,,-6.215,-108.7,-0.04,-2.833,-1.812,-4.645,39.856,49.833,9.977,0.0,29.628,158.2834,1.126,,,,,,millions,NZD
FY2022,15.965,-6.077,9.888,61.9,-7.788,-48.8,-5.334,-7.857,-49.2,-0.05,-6.602,-3.582,-10.184,39.205,48.241,9.036,0.0,24.354,159.2967,1.93,,,,,,millions,NZD
H1-2023,15.4,,8.2,53.2,,,,1.1,7.1,,,,,,,,,,,,,,,,,millions,NZD
FY2023,30.789,-14.444,16.345,53.1,-7.763,-25.2,-4.17,-7.887,-25.6,-0.05,-2.472,-5.131,-7.603,33.935,43.274,9.339,0.0,18.048,159.7317,1.232,,,,,,millions,NZD
H1-2024,10.5,,6.2,59.0,,,,-6.85,-65.2,,,,,,,,,,,,,,,,,millions,NZD
FY2024,21.104,-8.424,12.68,60.1,-15.244,-72.2,-10.814,-15.045,-71.3,-0.09,-4.506,-3.828,-8.334,20.097,36.101,16.004,0.0,10.242,160.243,0.86,,,,,,millions,NZD
H1-2025,12.172,-4.071,8.101,66.6,-7.17,-58.9,,-7.111,-58.4,-0.04,-2.576,-0.361,-2.937,13.55,29.199,15.649,0.0,6.761,160.7497,0.511,,,,,,millions,NZD
FY2025,25.155,-7.746,17.409,69.2,-16.418,-65.3,-11.366,-16.338,-64.9,-0.1,1.025,-1.241,-0.216,4.77,29.252,24.482,0.0,10.282,161.0627,0.943,,,,,,millions,NZD
H1-2026,12.9,,9.6,74.4,,,,-4.3,-33.3,,,,,,,,,,,,,,,,,millions,NZD
FY2026,26.549,-5.262,21.287,80.2,-7.867,-29.6,-4.936,-7.492,-28.2,-0.04,-3.381,-1.944,-5.325,25.568,51.295,25.727,0.0,11.7,194.1163,1.191,,,,,,millions,NZD
