Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1 FY2016,66.353,,,,26.323,39.7,29.276,18.476,27.8,0.1098,26.152,1.967,24.185,204.567,255.358,50.791,0.042,76.991,169.5,0.463,,,,,,millions,AUD
FY2016,140.04,,,,52.306,37.4,59.47,38.843,27.7,0.2192,42.055,3.295,38.76,221.812,297.98,76.168,0.0,58.761,179.0,0.845,,,,,,millions,AUD
H1 FY2017,89.14,,,,29.977,33.6,35.058,22.134,24.8,0.1163,24.192,1.072,23.12,239.406,300.341,60.935,0.0,32.245,191.8,0.622,,,,,,millions,AUD
FY2017,182.041,,,,58.329,32.0,68.658,42.893,23.6,0.2246,49.922,3.289,46.633,239.694,287.031,47.337,0.0,24.398,192.09,1.336,,,,,,millions,AUD
H1 FY2018,98.844,,,,25.813,26.1,31.812,19.739,20.0,0.101,18.294,1.797,16.497,269.213,357.255,88.042,33.308,18.279,196.41,0.85,,,,,,millions,AUD
FY2018,221.956,,,,54.828,24.7,67.92,40.673,18.3,0.2079,46.457,4.014,42.443,267.588,367.89,100.302,40.102,26.213,195.64,0.676,,,,,,millions,AUD
H1 FY2019,121.544,,,,34.369,28.3,40.63,24.17,19.9,0.1226,26.765,1.987,24.778,273.794,363.095,89.301,32.644,29.354,198.77,1.059,,,,,,millions,AUD
FY2019,252.544,,,,73.201,29.0,85.856,53.111,21.0,0.2691,61.55,5.89,55.66,284.75,414.896,130.146,65.47,35.263,197.37,2.2,,,,,,millions,AUD
H1 FY2020,178.04,,,,41.218,23.2,57.444,27.169,15.3,0.1297,37.417,2.245,35.172,420.542,729.449,308.907,130.688,43.713,210.45,1.691,,,,,,millions,AUD
FY2020,365.674,,,,78.742,21.5,113.223,54.752,15.0,0.2585,89.818,5.163,84.655,422.662,739.108,316.446,151.238,82.91,211.81,2.696,,,,,,millions,AUD
H1 FY2021,179.721,,,,37.941,21.1,56.703,26.798,14.9,0.1244,52.018,3.352,48.666,421.563,686.087,264.524,115.481,59.777,216.11,2.14,,,,,,millions,AUD
FY2021,359.684,,,,75.796,21.1,113.266,53.6,14.9,0.248,92.649,6.178,86.471,426.792,674.824,248.032,116.159,71.152,216.65,3.051,,,,,,millions,AUD
H1 FY2022,186.756,,,,35.139,18.8,54.919,24.553,13.1,0.1128,47.348,4.173,43.175,429.091,673.247,244.156,117.035,75.979,218.44,3.777,,,,,,millions,AUD
FY2022,374.33,,,,76.377,20.4,115.94,52.564,14.0,0.2409,94.879,7.19,87.689,429.711,688.417,258.706,118.477,88.399,219.11,4.85,,,,,,millions,AUD
H1 FY2023,223.948,,,,47.133,21.0,71.32,28.523,12.7,0.1285,47.861,2.888,44.973,482.603,1147.366,664.763,376.845,92.217,227.09,2.144,,,,,,millions,AUD
FY2023,482.865,,,,105.689,21.9,159.04,64.541,13.4,0.2862,91.79,6.892,84.898,577.126,1196.625,619.499,387.744,103.267,227.02,6.144,,,,,,millions,AUD
H1 FY2024,273.497,,,,44.378,16.2,74.787,21.037,7.7,0.0884,72.732,7.328,65.404,623.94,1380.457,756.517,506.581,126.442,239.33,4.153,,,,,,millions,AUD
FY2024,605.6,,,,110.7,18.3,175.7,60.8,10.0,0.2512,131.9,11.0,120.9,634.3,1313.4,679.1,434.1,75.5,243.79,8.1,,,,,,millions,AUD
H1 FY2025,341.6,,,,59.8,17.5,95.0,37.3,10.9,0.1409,60.8,6.1,54.7,776.0,1435.7,659.7,398.1,98.0,267.77,1.9,,,,,,millions,AUD
FY2025,706.2,,,,114.3,16.2,186.4,68.8,9.7,0.2584,133.7,7.9,125.8,699.4,1350.5,651.1,413.4,59.0,267.5,4.9,,,,,,millions,AUD
H1 FY2026,363.9,,,,68.4,18.8,103.2,41.2,11.3,0.1581,70.9,1.5,69.4,678.8,1284.4,605.6,386.3,49.0,261.59,1.4,,,,,,millions,AUD
FY2026,710.4,,,,129.7,18.3,196.5,80.4,11.3,0.3094,151.4,2.9,148.5,622.3,1208.4,586.1,374.7,59.8,260.87,1.7,,,,,,millions,AUD
