Date,Close
2016-09-30,5.85
2016-10-31,5.04
2016-11-30,5.12
2016-12-31,4.92
2017-01-31,4.6
2017-02-28,4.87
2017-03-31,4.77
2017-04-30,4.6
2017-05-31,4.8
2017-06-30,4.52
2017-07-31,4.56
2017-08-31,4.54
2017-09-30,5.85
2017-10-31,5.49
2017-11-30,5.5
2017-12-31,5.54
2018-01-31,3.55
2018-02-28,3.39
2018-03-31,3.66
2018-04-30,4.5
2018-05-31,4.45
2018-06-30,4.9
2018-07-31,5.68
2018-08-31,6.02
2018-09-30,5.4
2018-10-31,5.66
2018-11-30,5.41
2018-12-31,5.47
2019-01-31,6.06
2019-02-28,7.04
2019-03-31,7.13
2019-04-30,6.83
2019-05-31,7.46
2019-06-30,8.34
2019-07-31,9.3
2019-08-31,8.71
2019-09-30,8.07
2019-10-31,8.33
2019-11-30,8.2
2019-12-31,9.16
2020-01-31,8.43
2020-02-29,7.21
2020-03-31,7.4
2020-04-30,7.56
2020-05-31,7.46
2020-06-30,7.44
2020-07-31,6.86
2020-08-31,7.16
2020-09-30,6.57
2020-10-31,6.92
2020-11-30,6.43
2020-12-31,6.33
2021-01-31,6.12
2021-02-28,6.62
2021-03-31,7.08
2021-04-30,6.91
2021-05-31,7.8
2021-06-30,8.06
2021-07-31,9.4
2021-08-31,9.23
2021-09-30,8.56
2021-10-31,9
2021-11-30,8.78
2021-12-31,8.16
2022-01-31,8.29
2022-02-28,7.97
2022-03-31,7.6
2022-04-30,7.9
2022-05-31,8.16
2022-06-30,8.73
2022-07-31,9.56
2022-08-31,9.49
2022-09-30,9.94
2022-10-31,9.11
2022-11-30,8.73
2022-12-31,8.5
2023-01-31,8.1
2023-02-28,7.4
2023-03-31,8.12
2023-04-30,7.86
2023-05-31,7.83
2023-06-30,7.9
2023-07-31,7.63
2023-08-31,7.4
2023-09-30,6.82
2023-10-31,6.83
2023-11-30,6.41
2023-12-31,6.85
2024-01-31,6.33
2024-02-29,6.31
2024-03-31,6.29
2024-04-30,6.2
2024-05-31,6.27
2024-06-30,6.13
2024-07-31,6.18
2024-08-31,6.08
2024-09-30,5.37
2024-10-31,5.05
2024-11-30,5.03
2024-12-31,5.01
2025-01-31,4.78
2025-02-28,4.54
2025-03-31,4.57
2025-04-30,4.96
2025-05-31,4.58
2025-06-30,5.25
2025-07-31,4.57
2025-08-31,3.57
2025-09-30,3.69
2025-10-31,3.52
2025-11-30,3.52
2025-12-31,3.74
2026-01-31,3.58
2026-02-28,3.26
2026-03-31,3.63
2026-04-30,3.78
2026-05-31,3.86
2026-06-30,4.16
2026-07-31,3.34
2026-08-31,3.4
2026-09-23,3.41
