Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2015,17062.7,,13296.4,77.9,2101.1,,7710.5,-1152.5,,,,2272.3,3460.2,10174.3,,,,707.6,,315.8,,,
FY2016,13731.1,,10231.7,74.5,1570.1,,5687.8,1705.3,,,,1539.9,4401.0,14732.0,,,,1076.6,899.97,268.1,,,
FY2017,11276.4,,8302.8,73.6,792.4,,4583.0,-2778.1,,,,1250.0,4458.0,6393.0,,,32644.5,1672.4,847.895,162.2,,,
FY2018,11957.9,,8711.8,72.9,839.1,,4697.3,725.3,,,,1453.0,4510.1,4148.3,,,29805.2,1480.5,778.676,206.0,,,
FY2019,11115.8,,7985.0,71.8,659.9,,4206.2,11521.4,,16.32,,1243.1,3342.3,13198.6,,,28182.5,8142.4,705.795,305.8,,,
FY2020,11545.4,,8224.8,71.2,2030.9,,4258.1,-1628.0,,-2.7,,1292.8,2893.0,13298.4,,,14947.4,1327.2,602.084,348.0,,,
FY2021,10311.3,,7293.7,70.7,1320.3,,3674.0,13426.8,,23.59,,1408.0,2141.0,25598.0,,,14825.1,910.6,569.114,308.1,,,
FY2022,4017.5,,2951.2,73.5,109.9,,1203.5,1473.2,,2.96,,891.3,1946.5,22573.4,,,13763.2,1723.7,496.989,163.2,,,
FY2023,4115.8,,2830.3,68.8,-313.8,,902.6,-4051.7,,-9.52,,921.9,1244.0,19007.4,,,9268.6,1410.1,425.679,204.8,,,
Q1 2024,1091.3,,,,-12.3,,210.4,510.0,,1.32,,206.1,-114.8,,,,,,385.11,39.0,,,
Q2 2024,1057.9,,,,-33.0,,249.7,268.1,,0.71,,185.0,68.7,,,,,,377.454,43.4,,,
Q3 2024,1069.5,,,,33.4,,278.4,-1434.1,,-3.95,,220.8,98.3,,,,,,363.157,47.0,,,
Q4 2024,1123.2,,,,-48.2,,203.4,2244.0,,6.11,,296.6,370.5,,,,,,,,,,
FY2024,4341.9,,2891.2,66.6,-60.1,,941.9,1588.0,,4.23,,908.5,1124.4,12365.9,,,9101.0,1816.3,375.182,168.3,,,
Q1 2025,1171.2,,767.8,65.6,60.7,,292.9,-1323.3,,-3.84,,243.3,-114.1,,,,,,348.408,33.4,,,
Q2 2025,1269.1,,803.8,63.3,29.6,,280.4,-2792.9,,-8.09,,319.3,-170.1,,,,,,345.026,49.4,,,
Q3 2025,1207.1,,,,-8.0,,267.9,-90.7,,-0.27,,342.9,-41.1,,,,,,339.727,46.6,,,
Q4 2025,1231.1,,,,,,174.4,-2931.2,,-8.72,,437.6,193.3,,,,,,,,,,
FY2025,4878.5,,3208.0,65.8,-23.3,,1015.6,-7138.1,,-20.86,,1343.1,-132.0,9735.7,,,8594.9,2081.4,342.267,169.4,,,
Q1 2026,1274.6,,848.0,66.5,23.8,,288.6,358.2,,0.96,,397.6,-290.0,9504.2,,,8430.6,1828.3,338.072,37.1,,,
Q2 2026,1172.0,,796.6,68.0,3.0,,265.5,-365.1,,-1.07,,347.9,-117.0,9224.6,,,8350.3,2418.6,339.986,43.9,,,
