Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,ResearchDevelopment
FY2020,24539.8,,19056.5,77.7,6058.0,24.7,,6193.7,25.2,6.79,,,5111.7,5825.2,,,16595.3,3657.1,912.5,,,millions,USD,5976.3
FY2021,28318.4,,21005.6,74.2,6357.1,22.4,,5581.7,19.7,6.12,,,6056.1,9154.8,,,16884.7,3818.5,911.7,,,millions,USD,6930.7
FY2022,28541.4,,21911.6,76.8,7127.3,25.0,,6244.8,21.9,6.90,,,5731.4,10775.4,,,16238.6,2067.0,904.6,,,millions,USD,7190.8
FY2023,34124.1,,27041.9,79.2,6457.9,18.9,,5240.4,15.4,5.80,,,792.5,10863.7,,,25225.3,2818.6,903.3,,,millions,USD,9313.4
Q1 2024,8768.0,,7094.5,80.9,2509.0,28.6,,2242.9,25.6,2.48,,,179.7,12897.4,,,26211.4,2460.2,903.8,,,millions,USD,2522.8
Q2 2024,11302.8,,9132.6,80.8,3714.8,32.9,,2967.0,26.3,3.28,,,241.4,13635.5,,,28892.0,3223.6,904.2,,,millions,USD,2711.2
Q3 2024,11439.1,,9268.3,81.0,1526.4,13.3,,970.3,8.5,1.07,,,2361.2,14320.7,,,31119.7,3369.0,905.0,,,millions,USD,2734.1
FY2024,45042.7,,36624.4,81.3,12899.0,28.6,,10590.0,23.5,11.71,,,3760.1,14271.6,,,33644.2,3268.4,904.1,,,millions,USD,10990.6
Q1 2025,12728.5,,10504.3,82.5,3695.1,29.0,,2759.3,21.7,3.06,,,156.1,15846.8,,,38515.9,3093.3,900.6,,,millions,USD,2733.7
Q2 2025,15557.7,,13109.9,84.3,6867.0,44.1,,5660.5,36.4,6.29,,,1389.8,18349.1,,,39903.8,3375.9,899.8,,,millions,USD,3336.1
Q3 2025,17600.8,,14592.5,82.9,7365.5,41.8,,5582.5,31.7,6.21,,,6748.2,23850.8,,,42506.6,9791.9,898.8,,,millions,USD,3465.7
FY2025,65179.0,,54127.0,83.0,26302.0,40.4,,20640.0,31.7,22.95,,,8972.0,26535.0,,,42503.0,7268.0,899.3,,,millions,USD,13337.0
Q1 2026,19799.0,,16222.0,81.9,8915.0,45.0,,7396.0,37.4,8.26,,,3007.0,31198.0,,,43370.0,5282.0,895.9,,,millions,USD,3510.0
