Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,OrderBook,LeasePrincipalRepaid,TRIFR
H1 FY2016,174.112,,,,,,,3.338,1.9,0.0027,8.356,10.227,-1.871,223.135,314.899,91.764,,68.704,,,,,,,,millions,AUD,,1.726,4.42
FY2016,347.4,,,,,,,1.726,0.5,0.0014,9.066,23.532,-14.466,207.375,300.065,92.69,0.204,56.699,1256.553965,-0.038,,,,,,millions,AUD,,3.402,
H1 FY2017,168.301,,,,,,,-23.329,-13.9,-0.0194,11.79,16.511,-4.721,188.173,288.562,100.389,,59.629,,,,,,,,millions,AUD,,0.705,4.6
FY2017,359.645,,,,,,,-22.806,-6.3,-0.0192,30.215,34.917,-4.702,184.991,294.963,109.972,8.848,62.925,1189.689643,0.927,,,,,,millions,AUD,,1.432,5.65
H1 FY2018,269.951,,,,9.128,3.4,45.296,8.361,3.1,0.0043,22.819,13.641,9.178,374.182,557.618,183.436,,70.196,,-0.202,,,,,,millions,AUD,,2.442,6.46
FY2018,710.263,,,,39.039,5.5,116.767,33.231,4.7,0.0162,105.754,44.1,61.654,409.834,723.349,313.515,106.272,109.622,2059.041429,,,,,,,millions,AUD,5000.0,7.762,6.17
H1 FY2019,542.15,,,,28.97,5.3,78.228,23.437,4.3,0.0111,17.068,29.276,-12.208,424.426,791.181,366.755,158.638,77.418,,1.394,,,,,,millions,AUD,,9.811,
FY2019,1102.984,,,,60.6,5.5,166.849,46.092,4.2,0.0219,92.507,56.666,35.841,447.618,824.905,377.287,165.848,113.165,2171.554206,2.634,,,,,,millions,AUD,,22.891,3.98
H1 FY2020,686.739,,,,40.21,5.9,110.318,28.721,4.2,0.0137,78.206,39.859,38.347,467.496,939.931,472.435,237.666,114.169,,1.299,,,,,,millions,AUD,,24.501,
FY2020,1380.374,,,,83.975,6.1,231.42,64.948,4.7,0.031,193.693,81.463,112.23,497.831,923.022,425.191,202.75,141.837,2172.554931,2.591,,,,,,millions,AUD,,54.547,3.77
H1 FY2021,652.472,,,,41.978,6.4,116.872,44.77,6.9,0.0213,77.854,103.295,-25.441,516.571,1002.338,485.767,277.419,148.431,,0.192,,,,,,millions,AUD,,30.226,
FY2021,1351.485,,,,91.014,6.7,246.68,77.233,5.7,0.0368,239.535,210.29,29.245,545.927,1153.547,607.62,312.432,182.079,2125.843112,0.926,,,,,,millions,AUD,5000.0,57.091,6.39
H1 FY2022,809.747,,,,18.362,2.3,113.805,3.282,0.4,0.0016,74.068,87.447,-13.379,536.678,1250.994,714.316,403.681,161.169,,-0.368,,,,,,millions,AUD,,42.286,
FY2022,1698.046,,,,65.972,3.9,263.839,27.398,1.6,0.013,227.907,162.912,64.995,559.5,1338.278,778.778,413.47,197.958,2106.681426,0.103,,,,,,millions,AUD,,83.076,4.8
H1 FY2023,987.208,,,,47.061,4.8,146.092,23.27,2.4,0.0111,82.372,59.828,22.544,577.267,1375.676,798.409,442.558,195.999,,0.509,,,,,,millions,AUD,,44.263,
FY2023,1906.15,,,,106.681,5.6,303.834,57.67,3.0,0.0275,266.854,193.258,73.596,608.849,1464.715,855.866,420.108,218.162,2104.472312,0.898,,,,,,millions,AUD,,85.439,
H1 FY2024,966.318,,,,64.83,6.7,172.641,36.535,3.8,0.0174,124.248,89.49,34.758,634.294,1480.191,845.897,412.563,200.133,,1.322,,,,,,millions,AUD,,41.253,
FY2024,2031.261,,,,101.283,5.0,313.073,53.226,2.6,0.0253,270.818,150.033,120.785,633.515,1451.35,817.835,341.165,194.578,2142.57917,2.055,,,,,,millions,AUD,4600.0,81.911,3.64
H1 FY2025,1178.679,,,,60.875,5.2,166.353,30.019,2.5,0.0141,131.85,82.726,49.124,668.839,1733.59,1064.751,458.705,221.806,,4.78,,,,,,millions,AUD,,39.13,
FY2025,2427.458,,,,142.651,5.9,364.595,73.944,3.0,0.0347,334.003,178.538,155.465,692.342,1760.593,1068.251,426.347,263.893,2151.17759,7.199,,,,,,millions,AUD,,74.765,3.33
H1 FY2026,1307.052,,,,84.192,6.4,196.145,48.206,3.7,0.0225,134.663,72.42,62.243,719.651,1712.043,992.392,426.195,282.123,,2.481,,,,,,millions,AUD,,33.837,
FY2026,2619.243,,,,176.055,6.7,385.601,101.135,3.9,0.0472,300.758,145.79,154.968,740.112,1759.469,1019.357,420.738,309.653,2175.731992,4.993,,,,,,millions,AUD,5900.0,63.055,1.98
