Date,Close
2016-09-30,2.2
2016-10-31,2.3
2016-11-30,2.45
2016-12-31,2.8
2017-01-31,3.03
2017-02-28,2.96
2017-03-31,2.89
2017-04-30,2.74
2017-05-31,2.79
2017-06-30,2.76
2017-07-31,2.73
2017-08-31,2.76
2017-09-30,2.81
2017-10-31,2.8
2017-11-30,2.73
2017-12-31,2.89
2018-01-31,2.86
2018-02-28,2.86
2018-03-31,2.85
2018-04-30,2.95
2018-05-31,3.18
2018-06-30,3.35
2018-07-31,3.2
2018-08-31,3.19
2018-09-30,3.13
2018-10-31,3.04
2018-11-30,2.85
2018-12-31,2.92
2019-01-31,3
2019-02-28,2.92
2019-03-31,2.82
2019-04-30,2.81
2019-05-31,2.75
2019-06-30,2.76
2019-07-31,2.6
2019-08-31,2.61
2019-09-30,2.58
2019-10-31,2.45
2019-11-30,2.7
2019-12-31,2.62
2020-01-31,2.45
2020-02-29,1.9
2020-03-31,1.85
2020-04-30,1.78
2020-05-31,1.82
2020-06-30,1.84
2020-07-31,1.8
2020-08-31,1.76
2020-09-30,1.78
2020-10-31,2.28
2020-11-30,2.29
2020-12-31,2.15
2021-01-31,2.25
2021-02-28,2.3
2021-03-31,2.45
2021-04-30,2.48
2021-05-31,2.4
2021-06-30,2.33
2021-07-31,2.39
2021-08-31,2.34
2021-09-30,2.33
2021-10-31,2.3
2021-11-30,2.33
2021-12-31,2.27
2022-01-31,2.3
2022-02-28,2.5
2022-03-31,2.47
2022-04-30,2.23
2022-05-31,2.1
2022-06-30,2.11
2022-07-31,2.12
2022-08-31,2
2022-09-30,1.9
2022-10-31,1.9
2022-11-30,1.85
2022-12-31,2.15
2023-01-31,2.23
2023-02-28,2.15
2023-03-31,2.09
2023-04-30,2
2023-05-31,2
2023-06-30,2.05
2023-07-31,1.86
2023-08-31,1.85
2023-09-30,1.8
2023-10-31,1.9
2023-11-30,1.84
2023-12-31,1.94
2024-01-31,1.84
2024-02-29,1.73
2024-03-31,1.93
2024-04-30,1.93
2024-05-31,1.77
2024-06-30,1.75
2024-07-31,1.76
2024-08-31,1.71
2024-09-30,1.77
2024-10-31,1.86
2024-11-30,1.82
2024-12-31,2.26
2025-01-31,2.55
2025-02-28,2.4
2025-03-31,2.78
2025-04-30,2.88
2025-05-31,2.8
2025-06-30,2.96
2025-07-31,2.82
2025-08-31,2.79
2025-09-30,2.8
2025-10-31,3
2025-11-30,3.06
2025-12-31,3.3
2026-01-31,3.33
2026-02-28,3.22
2026-03-31,3.2
2026-04-30,3.35
2026-05-31,3.35
2026-06-30,3.07
2026-07-31,3.17
2026-08-31,3.11
2026-09-25,3.06
