Date,Close
2016-09-30,3.05
2016-10-31,3.01
2016-11-30,2.96
2016-12-31,3.07
2017-01-31,3.15
2017-02-28,3.15
2017-03-31,3.215
2017-04-30,3.25
2017-05-31,3.32
2017-06-30,3.48
2017-07-31,3.446
2017-08-31,3.39
2017-09-30,3.29
2017-10-31,3.29
2017-11-30,3.37
2017-12-31,3.45
2018-01-31,3.17
2018-02-28,3.22
2018-03-31,3.19
2018-04-30,3.23
2018-05-31,3.37
2018-06-30,3.36
2018-07-31,3.285
2018-08-31,3.365
2018-09-30,3.4
2018-10-31,3.55
2018-11-30,3.645
2018-12-31,3.53
2019-01-31,3.69
2019-02-28,3.9
2019-03-31,3.7
2019-04-30,3.85
2019-05-31,4.65
2019-06-30,4.565
2019-07-31,5.185
2019-08-31,5.01
2019-09-30,4.965
2019-10-31,4.8
2019-11-30,5.05
2019-12-31,5.24
2020-01-31,4.785
2020-02-29,4.22
2020-03-31,4.565
2020-04-30,4.65
2020-05-31,4.7
2020-06-30,4.67
2020-07-31,5.19
2020-08-31,5.1
2020-09-30,5.35
2020-10-31,6
2020-11-30,6.53
2020-12-31,7.125
2021-01-31,6.05
2021-02-28,6.5
2021-03-31,6.94
2021-04-30,6.555
2021-05-31,6.67
2021-06-30,6.61
2021-07-31,6.65
2021-08-31,6.5
2021-09-30,6.135
2021-10-31,6.02
2021-11-30,6.12
2021-12-31,5.55
2022-01-31,5.72
2022-02-28,5.95
2022-03-31,6.06
2022-04-30,5.5
2022-05-31,5.65
2022-06-30,6.07
2022-07-31,5.8
2022-08-31,5.7
2022-09-30,5.82
2022-10-31,5.5
2022-11-30,5.56
2022-12-31,5.995
2023-01-31,6.27
2023-02-28,6.31
2023-03-31,6.34
2023-04-30,6.56
2023-05-31,6.5
2023-06-30,6.59
2023-07-31,6.205
2023-08-31,6.1
2023-09-30,5.9
2023-10-31,6.23
2023-11-30,6.6
2023-12-31,6.75
2024-01-31,6.68
2024-02-29,6.93
2024-03-31,6.38
2024-04-30,6.68
2024-05-31,6.565
2024-06-30,6.88
2024-07-31,6.25
2024-08-31,6.45
2024-09-30,6.61
2024-10-31,6.62
2024-11-30,5.85
2024-12-31,6.31
2025-01-31,5.92
2025-02-28,5.6
2025-03-31,5.58
2025-04-30,5.91
2025-05-31,6.01
2025-06-30,6.195
2025-07-31,6.56
2025-08-31,6.68
2025-09-30,6.48
2025-10-31,6.36
2025-11-30,6.48
2025-12-31,6.33
2026-01-31,6.39
2026-02-28,6.24
2026-03-31,6.7
2026-04-30,6.95
2026-05-31,6.9
2026-06-30,6.7
2026-07-31,6.7
2026-08-31,6.66
2026-09-08,6.72
