Date,Close
2021-03-31,1.56
2021-04-30,1.48
2021-05-31,1.36
2021-06-30,1.31
2021-07-31,1.36
2021-08-31,1.34
2021-09-30,1.21
2021-10-31,1.19
2021-11-30,1.15
2021-12-31,1.14
2022-01-31,1
2022-02-28,0.93
2022-03-31,0.91
2022-04-30,0.88
2022-05-31,0.83
2022-06-30,0.79
2022-07-31,0.7
2022-08-31,0.61
2022-09-30,0.6
2022-10-31,0.42
2022-11-30,0.4
2022-12-31,0.4
2023-01-31,0.255
2023-02-28,0.23
2023-03-31,0.21
2023-04-30,0.171
2023-05-31,0.19
2023-06-30,0.198
2023-07-31,0.178
2023-08-31,0.161
2023-09-30,0.139
2023-10-31,0.128
2023-11-30,0.162
2023-12-31,0.161
2024-01-31,0.138
2024-02-29,0.132
2024-03-31,0.142
2024-04-30,0.155
2024-05-31,0.15
2024-06-30,0.16
2024-07-31,0.22
2024-08-31,0.225
2024-09-30,0.21
2024-10-31,0.22
2024-11-30,0.21
2024-12-31,0.199
2025-01-31,0.205
2025-02-28,0.189
2025-03-31,0.187
2025-04-30,0.23
2025-05-31,0.225
2025-06-30,0.23
2025-07-31,0.245
2025-08-31,0.23
2025-09-30,0.225
2025-10-31,0.25
2025-11-30,0.245
2025-12-31,0.235
2026-01-31,0.225
2026-02-28,0.21
2026-03-31,0.28
2026-04-30,0.305
2026-05-31,0.3
2026-06-30,0.285
2026-07-31,0.305
2026-08-31,0.32
2026-09-08,0.32
