Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AUM,OperatingProfit,AverageFUM,AvgBaseMgmtFeeBps,ManagementFees,PerformanceFees
H1 FY2015,128.485,,,,,,,77.408,60.2,0.453,47.74,0.257,47.483,,,,0.0,,170.762,,,,,,,millions,AUD,,,27000.0,,,
FY2015,284.912,,,,,,,174.295,61.2,1.018,137.299,,,303.443,346.678,43.235,0.0,93.934,,,,,,,,millions,AUD,36381.0,,30966.0,66.0,,
H1 FY2016,182.163,,,,,,,109.335,60.0,0.637,63.828,0.123,63.705,361.785,402.292,40.507,0.0,85.196,171.644,,,,,,,millions,AUD,,,38800.0,,128.295,42.815
FY2016,333.805,,,,,,,198.357,59.4,1.155,181.545,,,355.369,392.379,37.01,0.0,120.362,171.716,0.23,,,,,,millions,AUD,40495.0,,39437.0,66.0,,48.014
H1 FY2017,153.52,,,,,,,87.048,56.7,0.506,62.457,0.341,62.116,396.288,426.818,30.53,0.0,119.664,171.904,,,,,,,millions,AUD,,,42900.0,,141.817,3.592
FY2017,338.268,,,,,,,196.225,58.0,1.141,164.691,0.368,164.323,447.611,493.981,46.37,0.0,146.243,171.954,0.283,,,,,,millions,AUD,50597.0,,45667.0,66.0,,21.696
H1 FY2018,195.761,,,,,,,53.451,27.3,0.31,23.667,0.07,23.597,437.856,480.55,42.694,0.0,106.951,172.204,,,,,,,millions,AUD,,,53550.0,,176.567,9.584
FY2018,452.598,,,,,,,211.791,46.8,1.22,170.333,0.139,170.194,620.433,674.943,54.51,0.0,169.095,173.553,,,,,,,millions,AUD,69509.0,,59034.0,65.0,,39.772
H1 FY2019,275.604,,,,,,,173.523,63.0,0.982,146.528,0.096,146.432,660.93,691.329,30.399,0.0,159.79,176.647,,,,,,,millions,AUD,,,72073.0,,225.783,42.699
FY2019,617.387,,,,,,,376.947,61.1,2.131,314.791,0.372,314.419,734.022,800.291,66.269,0.0,198.188,176.865,,,,,,,millions,AUD,86718.0,,75819.0,62.0,,83.631
H1 FY2020,364.185,,,,,,,195.678,53.7,1.082,211.037,0.166,210.871,1012.129,1131.386,119.257,0.0,432.706,180.769,,,,,,,millions,AUD,,,92770.0,,285.896,41.683
FY2020,693.952,,,,,,,396.214,57.1,2.183,398.033,0.263,397.77,1045.927,1123.873,77.946,0.0,437.513,181.521,,,,,,,millions,AUD,97184.0,,95458.0,62.0,,80.964
H1 FY2021,319.075,,,,,,,202.328,63.4,1.106,236.94,0.151,236.789,1099.2,1156.572,57.372,0.0,338.762,183.015,,,,,,,millions,AUD,,,100930.0,,309.35,12.421
FY2021,715.012,,,,,,,265.156,37.1,1.446,401.331,0.272,401.059,989.434,1216.166,226.732,0.0,211.577,183.379,0.0,,,,,,millions,AUD,113902.0,,103680.0,61.0,,30.074
H1 FY2022,401.022,,,,,,,251.632,62.7,1.363,238.518,0.145,238.373,1104.561,1329.532,224.971,0.0,291.468,184.587,,,,,,,millions,AUD,,,112699.0,,350.265,11.472
FY2022,553.53,,,,,,,383.011,69.2,2.069,434.626,0.261,434.365,1026.76,1241.401,214.641,0.0,419.922,185.125,1.283,,,,,,millions,AUD,61291.0,,94251.0,62.0,,11.472
H1 FY2023,199.39,,,,,,,83.756,42.0,0.456,90.1,0.089,90.011,946.754,1142.418,195.664,0.0,350.797,183.643,2.042,,,,,,millions,AUD,,,53776.0,,179.068,0.105
FY2023,431.65,,,,,,,182.655,42.3,1.0,186.581,0.112,186.469,962.502,1198.974,236.472,0.0,373.445,182.569,3.846,,,,,,millions,AUD,39693.0,,48849.0,67.0,,11.524
H1 FY2024,169.31,,,,,,,104.058,61.5,0.574,-4.717,0.125,-4.842,937.772,1055.678,117.906,0.0,326.193,181.326,,,,,,,millions,AUD,,,36885.0,,129.703,0.09
FY2024,378.626,,,,,,,238.759,63.1,1.318,47.384,0.458,46.926,1019.529,1089.244,69.715,0.0,322.567,181.088,3.332,,,,,,millions,AUD,36630.0,151.496,36819.0,70.0,256.748,19.206
H1 FY2025,178.613,,,,,,,94.006,52.6,0.523,63.41,0.099,63.311,1035.748,1106.614,70.866,0.0,188.542,179.759,1.912,,,,,,millions,AUD,,83.388,38081.0,63.0,121.048,6.109
FY2025,318.948,,,,,,,165.022,51.7,0.927,153.396,0.324,153.072,1003.254,1093.756,90.502,0.0,168.529,177.998,4.393,,,,,,millions,AUD,,159.71,38397.0,61.0,234.595,11.107
H1 FY2026,121.046,,,,,,,68.94,57.0,0.403,58.835,0.152,58.683,953.231,1017.932,64.701,0.0,115.139,171.142,2.621,,,,,,millions,AUD,,83.063,40158.0,55.0,110.982,0.031
FY2026,195.561,,,,,,,87.918,45.0,0.5,127.977,0.198,127.779,1057.133,1138.522,81.389,0.0,347.851,175.707,5.325,,,,,,millions,AUD,,144.862,39131.0,52.0,203.511,0.109
