Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CapexInvestmentProperty,OperatingProfit,WeightedAvgSecurities
H1 FY2016,744.5,,,,,,,472.7,63.5,0.1279,-225.9,165.5,-391.4,6806.0,11200.8,4394.8,3243.3,42.3,3699.5,5.0,,,,,,millions,AUD,160.0,,3699.5
FY2016,2321.0,,,,,,,1033.0,44.5,0.279,509.0,767.0,-258.0,7180.0,11169.0,3989.0,2815.0,354.0,3700.0,10.0,,,,,,millions,AUD,751.0,482.0,3700.0
H1 FY2017,967.0,,,,,,,508.0,52.5,0.137,-91.0,241.0,-332.0,7516.0,11936.0,4420.0,3253.0,59.0,3704.0,9.0,,,,,,millions,AUD,235.0,230.0,3704.0
FY2017,2275.0,,,,,,,1164.0,51.2,0.314,513.0,444.0,69.0,7972.0,12108.0,4136.0,2965.0,106.0,3705.0,15.0,,,,,,millions,AUD,430.0,534.0,3705.0
H1 FY2018,681.0,,,,,,,465.0,68.3,0.125,-20.0,342.0,-362.0,8248.0,12869.0,4621.0,3170.0,108.0,3710.0,6.0,,,,,,millions,AUD,336.0,215.0,3710.0
FY2018,2159.0,,,,,,,1089.0,50.4,0.294,663.0,642.0,21.0,8655.0,13345.0,4690.0,3073.0,221.0,3710.0,11.0,,,,,,millions,AUD,628.0,580.0,3710.0
H1 FY2019,1128.0,,,,,,,648.0,57.4,0.175,167.0,525.0,-358.0,8989.0,14106.0,5117.0,3688.0,83.0,3696.0,7.0,,,,,,millions,AUD,519.0,290.0,3696.0
FY2019,2186.0,,,,,,,1019.0,46.6,0.276,518.0,907.0,-389.0,9843.0,14771.0,4897.0,3448.0,134.0,3696.0,14.0,,,,,,millions,AUD,895.0,631.0,3696.0
H1 FY2020,1253.0,,,,,,,613.0,48.9,0.156,354.0,351.0,3.0,10270.0,15143.0,4835.0,3524.0,104.0,3932.0,5.0,,,,,,millions,AUD,348.0,352.0,3932.0
FY2020,2116.0,,,,796.0,37.6,,558.0,26.4,0.142,455.0,700.0,-245.0,10107.0,15407.0,5249.0,4300.0,324.0,3933.0,10.0,,,,,,millions,AUD,696.0,602.0,3933.0
H1 FY2021,998.0,,,,361.0,36.2,,396.0,39.7,0.101,450.0,255.0,195.0,10293.0,15299.0,4939.0,3688.0,245.0,3937.0,7.0,,,,,,millions,AUD,252.0,276.0,3937.0
FY2021,1808.0,,,,704.0,38.9,,901.0,49.8,0.229,635.0,634.0,1.0,10593.0,15913.0,5254.0,3922.0,117.0,3938.0,10.0,,,,,,millions,AUD,631.0,550.0,3938.0
H1 FY2022,1285.0,,,,391.0,30.4,,565.0,44.0,0.143,413.0,421.0,-8.0,10973.0,16765.0,5726.0,4018.0,70.0,3942.0,7.0,,,,,,millions,AUD,420.0,297.0,3942.0
FY2022,2306.0,,,,773.0,33.5,,906.0,39.3,0.23,896.0,799.0,97.0,11126.0,17205.0,6013.0,4211.0,558.0,3942.0,14.0,,,,,,millions,AUD,792.0,596.0,3942.0
H1 FY2023,773.0,,,,387.0,50.1,,215.0,27.8,0.055,-199.0,391.0,-590.0,11138.0,17255.0,6117.0,4280.0,67.0,3945.0,8.0,,,,,,millions,AUD,389.0,305.0,3945.0
FY2023,1902.0,,,,767.0,40.3,,-165.0,-8.7,-0.042,-57.0,739.0,-796.0,10557.0,16882.0,6325.0,4476.0,122.0,3946.0,13.0,,,,,,millions,AUD,736.0,580.0,3946.0
H1 FY2024,1251.0,,,,372.0,29.7,,-201.0,-16.1,-0.051,27.0,270.0,-243.0,10172.0,16494.0,6322.0,4671.0,227.0,3946.0,7.0,,,,,,millions,AUD,269.0,252.0,3946.0
FY2024,3035.0,,,,860.0,28.3,,-805.0,-26.5,-0.204,542.0,424.0,118.0,9351.0,15556.0,6205.0,4424.0,335.0,3946.0,7.0,,,,,,millions,AUD,423.0,552.0,3946.0
H1 FY2025,1131.0,,,,361.0,31.9,,1.0,0.1,0.0,297.0,179.0,118.0,9168.0,15444.0,6276.0,4498.0,76.0,3946.0,4.0,,,,,,millions,AUD,178.0,236.0,3946.0
FY2025,2472.0,,,,736.0,29.8,,68.0,2.8,0.017,550.0,353.0,197.0,9055.0,15078.0,6023.0,4464.0,236.0,3946.0,9.0,,,,,,millions,AUD,351.0,474.0,3946.0
H1 FY2026,1301.0,,,,398.0,30.6,,319.0,24.5,0.081,396.0,179.0,217.0,9189.0,14495.0,5306.0,3931.0,126.0,3946.0,7.0,,,,,,millions,AUD,179.0,248.0,3946.0
FY2026,2626.0,,,,826.0,31.5,,677.0,25.8,0.172,875.0,304.0,571.0,9355.0,14927.0,5572.0,3788.0,238.0,3946.0,,,,,,,millions,AUD,300.0,508.0,3946.0
