Date,Close
2016-09-30,11.57
2016-10-31,12.57
2016-11-30,12.12
2016-12-31,12.29
2017-01-31,11.18
2017-02-28,10.75
2017-03-31,10.69
2017-04-30,10.1
2017-05-31,10.85
2017-06-30,12.27
2017-07-31,14.83
2017-08-31,16.26
2017-09-30,17.4
2017-10-31,19.54
2017-11-30,21.14
2017-12-31,18.82
2018-01-31,19.01
2018-02-28,16.99
2018-03-31,18
2018-04-30,18.48
2018-05-31,16.01
2018-06-30,16.55
2018-07-31,15.18
2018-08-31,15.9
2018-09-30,14.25
2018-10-31,15.25
2018-11-30,15.47
2018-12-31,15.82
2019-01-31,15.05
2019-02-28,15.8
2019-03-31,15.59
2019-04-30,15.02
2019-05-31,14.98
2019-06-30,16.07
2019-07-31,13.22
2019-08-31,13.38
2019-09-30,14.3
2019-10-31,15.53
2019-11-30,16.5
2019-12-31,17.06
2020-01-31,16.55
2020-02-29,13.97
2020-03-31,16.78
2020-04-30,18.81
2020-05-31,21.17
2020-06-30,25.74
2020-07-31,29.18
2020-08-31,24.91
2020-09-30,24.96
2020-10-31,32.33
2020-11-30,37.45
2020-12-31,34.35
2021-01-31,37.92
2021-02-28,38.02
2021-03-31,47.75
2021-04-30,45.38
2021-05-31,53.73
2021-06-30,63.01
2021-07-31,54.91
2021-08-31,44.81
2021-09-30,38.59
2021-10-31,45.26
2021-11-30,56
2021-12-31,55.41
2022-01-31,45.25
2022-02-28,52.71
2022-03-31,58.54
2022-04-30,63.85
2022-05-31,48.27
2022-06-30,53.74
2022-07-31,63.97
2022-08-31,65.75
2022-09-30,73.13
2022-10-31,87.42
2022-11-30,77.2
2022-12-31,88.94
2023-01-31,82.56
2023-02-28,80.59
2023-03-31,73.68
2023-04-30,70.79
2023-05-31,71.43
2023-06-30,71.43
2023-07-31,71.53
2023-08-31,67.63
2023-09-30,57.76
2023-10-31,61.17
2023-11-30,70
2023-12-31,59.95
2024-01-31,66.69
2024-02-29,70.87
2024-03-31,72.19
2024-04-30,71.66
2024-05-31,53.92
2024-06-30,54.28
2024-07-31,40.15
2024-08-31,52.04
2024-09-30,39.4
2024-10-31,33.63
2024-11-30,34.25
2024-12-31,34.98
2025-01-31,22.71
2025-02-28,23.97
2025-03-31,20.59
2025-04-30,22.19
2025-05-31,21.56
2025-06-30,28.59
2025-07-31,37.4
2025-08-31,41.14
2025-09-30,48.4
2025-10-31,49.08
2025-11-30,54.38
2025-12-31,57.15
2026-01-31,60.98
2026-02-28,53.61
2026-03-31,63.71
2026-04-30,73.47
2026-05-31,62.07
2026-06-30,57.98
2026-07-31,64.63
2026-08-31,54.11
2026-09-23,54.74
