Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1-2018,164.0,,,,,,-7.0,-15.7,-9.57,,8.1,,,,159.9,,80.8,,,,,14.3,,,,millions,NZD
FY2018,325.552,,,,,,6.859,-12.191,-3.74,-14.98,,,,27.969,151.718,123.749,73.9,2.881,81.4595,11.593,,26.188,,,,millions,NZD
H1-2019,175.2,,,,,,14.1,4.0,2.28,,16.5,,,,187.1,,87.8,,,,,14.1,,,,millions,NZD
FY2019,355.139,,,,,,25.401,4.004,1.13,5.18,19.382,-23.623,-4.241,34.322,176.382,142.06,84.317,6.389,84.328648,11.593,,28.001,,,,millions,NZD
H1-2020,173.926,,,,3.145,1.81,23.75,-2.362,-1.36,,17.665,-8.538,9.127,32.473,,,,3.854,,,,,,,,millions,NZD
FY2020,333.811,,,,14.618,4.38,57.416,2.015,0.6,2.31,40.856,-15.618,25.238,36.926,344.698,307.772,86.263,11.882,87.6849,0.0,,26.512,,,,millions,NZD
H1-2021,179.186,,,,9.675,5.4,32.851,2.611,1.46,2.98,27.358,-3.686,23.672,39.434,361.711,322.277,,18.276,,,,,,,,millions,NZD
FY2021,353.247,,,,14.952,4.23,61.314,0.869,0.25,0.99,43.219,-6.612,36.607,37.967,337.892,299.925,78.392,13.214,87.6849,0.057,,,,,,millions,NZD
H1-2022,181.396,,,,,,28.678,-1.368,-0.75,-1.4,18.838,-1.743,17.095,75.063,352.049,276.986,40.961,18.992,116.339252,,,,,,,millions,NZD
FY2022,360.121,,,,,,56.191,-4.208,-1.17,-3.97,34.537,-5.304,29.233,72.993,327.117,254.124,35.829,14.94,106.048755,,,,349.1,,,millions,NZD
H1-2023,169.5,,,,2.2,1.3,21.684,-1.5,-0.88,-2.91,,,15.6,,323.678,251.595,,,,,,,,,,millions,NZD
FY2023,343.873,,,,-7.518,-2.19,47.348,-7.19,-2.09,-6.18,38.411,-19.139,19.272,74.903,305.236,230.333,24.323,8.744,127.614,0.006,,,,,,millions,NZD
H1-2024,158.25,,,,,,13.218,-10.669,-6.74,-8.36,10.26,-1.436,8.824,64.201,316.5,252.299,28.907,12.018,127.614,,,,,,,millions,NZD
FY2024,293.866,,,,,,27.631,-48.063,-16.36,-37.66,18.674,-1.856,16.818,27.163,282.026,254.863,26.665,9.704,127.614,,,,,,,millions,NZD
H1-2025,148.426,,,,,,20.138,-8.906,-6.0,-6.98,8.946,-0.056,8.89,18.526,264.699,246.173,26.159,7.211,127.614,,,,,,,millions,NZD
FY2025,286.256,,,,,,42.067,-15.576,-5.44,-12.21,25.328,-0.188,25.14,11.402,233.792,222.39,23.21,6.482,127.614,0.047,,,,,,millions,NZD
H1-2026,141.4,,,,,,23.384,-0.907,-0.64,-0.71,17.027,-0.687,16.34,10.58,219.702,209.122,21.418,8.14,127.614,,,,,,,millions,NZD
