Date,Close
2016-09-30,0.982767
2016-10-31,1.22846
2016-11-30,1.22846
2016-12-31,1.22846
2017-01-31,1.96553
2017-02-28,4.42245
2017-03-31,2.9483
2017-04-30,4.17676
2017-05-31,4.66814
2017-06-30,2.45692
2017-07-31,2.45692
2017-08-31,1.96553
2017-09-30,4.66814
2017-10-31,4.42245
2017-11-30,2.12641
2017-12-31,2.02976
2018-01-31,1.86544
2018-02-28,1.90411
2018-03-31,1.83645
2018-04-30,1.69147
2018-05-31,1.70113
2018-06-30,1.56581
2018-07-31,1.44983
2018-08-31,1.60448
2018-09-30,1.54648
2018-10-31,1.56581
2018-11-30,1.44983
2018-12-31,1.38217
2019-01-31,1.4015
2019-02-28,1.4015
2019-03-31,1.35317
2019-04-30,1.30484
2019-05-31,1.25652
2019-06-30,1.01488
2019-07-31,1.34351
2019-08-31,1.16953
2019-09-30,1.1502
2019-10-31,1.14053
2019-11-30,1.11153
2019-12-31,1.00521
2020-01-31,0.927889
2020-02-29,0.676586
2020-03-31,0.657255
2020-04-30,0.628258
2020-05-31,0.695917
2020-06-30,0.695917
2020-07-31,0.686251
2020-08-31,0.676586
2020-09-30,0.792572
2020-10-31,0.985882
2020-11-30,1.08254
2020-12-31,1.04387
2021-01-31,0.985882
2021-02-28,1.04387
2021-03-31,0.966551
2021-04-30,0.966551
2021-05-31,0.966551
2021-06-30,1.48849
2021-07-31,1.54648
2021-08-31,1.49815
2021-09-30,1.74
2021-10-31,1.72
2021-11-30,1.64
2021-12-31,1.54
2022-01-31,1.39
2022-02-28,1.19
2022-03-31,1.43
2022-04-30,1.15
2022-05-31,1.14
2022-06-30,1.12
2022-07-31,1.34
2022-08-31,1.15
2022-09-30,1.11
2022-10-31,1
2022-11-30,1.12
2022-12-31,1.07
2023-01-31,1.01
2023-02-28,0.98
2023-03-31,0.92
2023-04-30,0.93
2023-05-31,0.83
2023-06-30,0.8
2023-07-31,0.75
2023-08-31,0.66
2023-09-30,0.63
2023-10-31,0.58
2023-11-30,0.53
2023-12-31,0.495
2024-01-31,0.55
2024-02-29,0.51
2024-03-31,0.44
2024-04-30,0.345
2024-05-31,0.29
2024-06-30,0.28
2024-07-31,0.25
2024-08-31,0.22
2024-09-30,0.175
2024-10-31,0.21
2024-11-30,0.21
2024-12-31,0.22
2025-01-31,0.215
2025-02-28,0.2
2025-03-31,0.191
2025-04-30,0.19
2025-05-31,0.189
2025-06-30,0.195
2025-07-31,0.24
2025-08-31,0.21
2025-09-30,0.205
2025-10-31,0.22
2025-11-30,0.26
2025-12-31,0.285
2026-01-31,0.245
2026-02-28,0.2
2026-03-31,0.235
2026-04-30,0.21
2026-05-31,0.21
2026-06-30,0.2
2026-07-31,0.199
2026-08-31,0.183
2026-09-08,0.175
