Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2018,268.293,145.844,122.449,45.64002787996705,28,10.436351302493915,40.398,16.278,6.067247375071283,8.8,33.638,20.557,13.081,,300.787,140.451,90.818,0.36,185.378,,,,,,,millions,NZD
FY2019,267.836,146.517,121.319,45.29600203109365,15.675,5.852461954330262,30.134,5.042,1.8824952582923877,2.7,23.649,7.806,15.843,156.963,288.759,131.796,88.832,5.488,185.378,0.269,,,,,,millions,NZD
FY2021,232.274,133.427,98.847,42.55620517147851,18.162,7.8192135150727164,38.466,8.105,3.489413365249662,4.4,28.847,5.793,23.054,85.401,239.242,153.841,55.519,7.53,185.378,0.281,,,,,,millions,NZD
FY2022,236.063,142.472,93.591,39.646619758284864,5.911,2.503992578252416,24.598,-0.459,-0.19443961993196732,-0.2,13.254,10.399,2.855,85.529,272.138,186.609,65.319,13.064,185.378,0.448,,,,,,millions,NZD
FY2023,263.52,158.453,105.067,39.870598057073465,-0.248,-0.09411050394656952,18.712,-10.548,-4.002732240437158,-5.7,5.13,6.734,-1.604,75.467,254.603,179.136,67.37,7.3,185.378,0.374,,,,,,millions,NZD
FY2024,239.28,140.649,98.631,41.21990972918756,-18.253,-7.628301571380809,-0.333,-27.512,-11.497826813774656,-14.8,18.916,3.984,14.932,48.991,218.921,169.93,59.663,6.634,185.378,0.341,,,,,,millions,NZD
H1-2025,114.063,69.12,44.943,39.40190947108177,-1.085,-0.9512287069426546,7.789,-5.025,-4.4054601404486995,-2.3,3.373,1.522,1.851,43.452,217.158,173.706,64.55,9.312,185.378,,,,,,,millions,NZD
FY2025,213.922,130.648,83.274,38.92727255728723,-5.365,-2.5079234487336506,12.169,-13.47,-6.296687577715241,-7.3,2.072,3.009,-0.937,35.582,203.911,168.329,67.032,6.538,185.378,-0.165,,,,,,millions,NZD
H1-2026,108.014,66.703,41.311,38.245968115244324,9.547,8.838669061417963,18.03,2.873,2.6598403910604183,1.0,5.777,1.534,4.243,62.048,199.847,137.799,33.527,5.398,983.648824,,,,,,,millions,NZD
FY2026,208.163,128.827,79.336,38.11244073154211,7.891,3.7907793411893564,25.247,-0.939,-0.45108881021122865,-6.0,15.675,2.849,12.826,59.958,195.953,135.995,35.241,8.266,24.591,-0.018,,,,,,millions,NZD
