Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,InsuranceServiceResult,NetEarnedPremium
FY2015,6576.0,,,,302.8,4.6,,285.3,4.3,0.104,377.1,52.9,324.2,1442.0,3140.9,1698.9,0.0,408.7,2754.0,1.8,,,,,,millions,AUD,,5934.8
H1 FY2016,3380.6,,,,263.6,7.8,,227.6,6.7,0.083,-88.2,35.6,-123.8,1525.7,,,0.0,456.3,2754.0,1.9,,,,,,millions,AUD,,3080.0
FY2016,6741.8,,,,487.0,7.2,,417.6,6.2,0.152,352.3,78.2,274.1,1578.7,3266.2,1687.5,0.0,438.7,2754.0,3.6,,,,,,millions,AUD,,6172.5
H1 FY2017,3397.2,,,,246.5,7.3,,231.9,6.8,0.084,-75.8,26.8,-102.6,1643.6,3066.8,1423.2,0.0,524.5,2754.0,1.4,,,,,,millions,AUD,,3117.9
FY2017,6797.0,,,,489.4,7.2,,449.5,6.6,0.163,393.4,48.8,344.6,1719.8,3462.5,1742.7,0.0,594.6,2754.0,2.3,,,,,,millions,AUD,,6244.9
H1 FY2018,3467.0,,,,286.4,8.3,,245.6,7.1,0.089,-21.1,23.3,-44.4,1778.9,3241.2,1462.3,0.0,610.0,2754.0,2.0,,,,,,millions,AUD,,3175.1
FY2018,6906.4,,,,532.7,7.7,,445.1,6.4,0.162,408.3,43.8,364.5,1829.2,3544.9,1715.7,0.0,470.1,2754.0,3.5,,,,,,millions,AUD,,6319.5
H1 FY2019,3560.9,,,,286.3,8.0,,207.7,5.8,0.075,-52.1,25.2,-77.3,1838.8,3251.7,1412.9,0.0,409.3,2754.0,2.9,,,,,,millions,AUD,,3240.3
FY2019,6655.8,,,,513.5,7.7,,458.7,6.9,0.167,416.1,49.5,366.6,1935.4,3630.8,1695.4,0.0,656.5,2754.0,5.8,,,,,,millions,AUD,,6470.7
H1 FY2020,3421.5,,,,216.1,6.3,,177.9,5.2,0.065,-69.0,16.6,-85.6,1837.0,,,0.0,432.2,2754.0,0.3,,,,,,millions,AUD,,3316.7
FY2020,6769.6,,,,447.8,6.6,,315.0,4.7,0.114,572.4,29.3,543.1,1813.9,3763.8,1949.9,0.0,871.4,2754.0,1.2,,,,,,millions,AUD,,6554.7
H1 FY2021,3442.2,,,,250.1,7.3,,226.4,6.6,0.082,34.4,16.2,18.2,1864.6,3635.8,1771.2,0.0,606.2,2754.0,3.1,,,,,,millions,AUD,,3328.9
FY2021,6910.4,,,,512.3,7.4,,441.2,6.4,0.16,482.2,35.1,447.1,1906.1,3923.8,2017.7,0.0,671.7,2754.0,5.2,,,,,,millions,AUD,,6691.1
H1 FY2022,3581.2,,,,282.3,7.9,,220.2,6.1,0.08,60.0,16.7,43.3,1937.7,3790.1,1852.4,0.0,595.5,2754.0,4.0,,,,,,millions,AUD,,3461.4
FY2022,7128.5,,,,584.8,8.2,,393.9,5.5,0.143,948.5,35.1,913.4,1945.6,4552.8,2607.2,0.0,596.7,2754.0,5.9,,,,,,millions,AUD,,6881.2
H1 FY2023,3629.4,,,,276.2,7.6,,233.3,6.4,0.085,-124.5,16.9,-141.4,1976.5,4201.6,2225.1,0.0,406.7,2754.0,3.4,,,,,,millions,AUD,,3536.6
FY2023,7355.3,,,,588.5,8.0,,511.1,6.9,0.186,184.5,41.9,142.6,2084.4,4388.8,2304.4,0.0,420.6,2754.0,6.7,,,,,,millions,AUD,,7182.0
H1 FY2024,3997.4,,,,408.3,10.2,,343.2,8.6,0.125,64.4,22.7,41.7,2352.2,3886.3,1534.1,,485.1,2754.0,0.9,,,,,,millions,AUD,494.1,3919.4
FY2024,7845.9,,,,529.5,6.7,,492.5,6.3,0.179,868.5,57.6,810.9,2305.7,4685.4,2380.3,34.9,691.0,2754.0,3.3,,,,,,millions,AUD,714.3,7623.1
H1 FY2025,4270.7,,,,378.5,8.9,,340.3,8.0,0.124,-174.6,41.1,-215.7,2386.6,4209.6,1824.8,35.0,454.0,2754.0,5.3,,,,,,millions,AUD,462.7,4113.9
FY2025,8346.4,,,,521.0,6.2,,500.8,6.0,0.182,380.9,69.8,311.1,2335.9,4700.3,2364.2,35.0,648.6,2754.0,8.5,,,,,,millions,AUD,700.4,8011.7
H1 FY2026,4503.5,,,,349.7,7.8,,302.9,6.7,0.11,-256.9,43.7,-300.6,2346.6,4263.5,1924.4,36.0,453.3,2754.0,4.6,,,,,,millions,AUD,438.8,4296.1
FY2026,9115.2,,,,749.0,8.2,,638.7,7.0,0.232,511.6,91.1,420.5,2430.7,4752.9,2342.2,35.9,570.4,2754.0,11.4,,,,,,millions,AUD,927.6,8652.2
