Date,Close
2016-09-30,2.58
2016-10-31,2.6
2016-11-30,2.82
2016-12-31,2.7
2017-01-31,2.82
2017-02-28,2.82
2017-03-31,2.91
2017-04-30,2.75
2017-05-31,2.8
2017-06-30,2.72
2017-07-31,3.04
2017-08-31,2.92
2017-09-30,3.07
2017-10-31,3.27
2017-11-30,3.29
2017-12-31,3.35
2018-01-31,3.17
2018-02-28,2.9
2018-03-31,2.93
2018-04-30,2.93
2018-05-31,2.92
2018-06-30,3.11
2018-07-31,3.04
2018-08-31,2.91
2018-09-30,2.79
2018-10-31,2.42
2018-11-30,2.57
2018-12-31,2.62
2019-01-31,2.84
2019-02-28,2.76
2019-03-31,2.86
2019-04-30,3.31
2019-05-31,3.49
2019-06-30,3.61
2019-07-31,3.64
2019-08-31,3.4
2019-09-30,3.38
2019-10-31,3.26
2019-11-30,3.16
2019-12-31,3.1
2020-01-31,2.83
2020-02-29,2.66
2020-03-31,2.7
2020-04-30,2.85
2020-05-31,2.99
2020-06-30,2.82
2020-07-31,2.73
2020-08-31,2.51
2020-09-30,2.67
2020-10-31,2.85
2020-11-30,3.01
2020-12-31,2.92
2021-01-31,2.77
2021-02-28,2.8
2021-03-31,3.08
2021-04-30,3.13
2021-05-31,3.16
2021-06-30,3.31
2021-07-31,3.55
2021-08-31,3.59
2021-09-30,3.32
2021-10-31,3.45
2021-11-30,3.35
2021-12-31,3.09
2022-01-31,3.18
2022-02-28,3.08
2022-03-31,3.2
2022-04-30,3.22
2022-05-31,3.25
2022-06-30,3.41
2022-07-31,3.71
2022-08-31,3.47
2022-09-30,2.81
2022-10-31,2.93
2022-11-30,2.95
2022-12-31,2.94
2023-01-31,3.34
2023-02-28,3.36
2023-03-31,3.56
2023-04-30,3.57
2023-05-31,3.52
2023-06-30,3.51
2023-07-31,3.66
2023-08-31,3.44
2023-09-30,3.43
2023-10-31,3.46
2023-11-30,3.56
2023-12-31,3.84
2024-01-31,3.59
2024-02-29,3.76
2024-03-31,3.56
2024-04-30,3.72
2024-05-31,3.73
2024-06-30,3.98
2024-07-31,3.86
2024-08-31,3.65
2024-09-30,3.59
2024-10-31,3.82
2024-11-30,3.79
2024-12-31,4
2025-01-31,4.35
2025-02-28,4.44
2025-03-31,4.65
2025-04-30,4.77
2025-05-31,5.05
2025-06-30,5.1
2025-07-31,5.1
2025-08-31,4.82
2025-09-30,4.88
2025-10-31,4.75
2025-11-30,4.79
2025-12-31,4.62
2026-01-31,4.38
2026-02-28,4.36
2026-03-31,4.69
2026-04-30,4.8
2026-05-31,4.97
2026-06-30,5.17
2026-07-31,4.84
2026-08-31,4.56
2026-09-24,4.56
