Date,Close
2016-09-30,28
2016-10-31,28.93
2016-11-30,30.67
2016-12-31,30.33
2017-01-31,31.99
2017-02-28,33.34
2017-03-31,34
2017-04-30,30.12
2017-05-31,29.59
2017-06-30,29.95
2017-07-31,30.2
2017-08-31,31.5
2017-09-30,32.66
2017-10-31,29.59
2017-11-30,29.57
2017-12-31,29.13
2018-01-31,30.18
2018-02-28,28.49
2018-03-31,28.95
2018-04-30,26.8
2018-05-31,27.41
2018-06-30,28.33
2018-07-31,28.37
2018-08-31,27.81
2018-09-30,25.21
2018-10-31,24.64
2018-11-30,24.07
2018-12-31,23.86
2019-01-31,25.13
2019-02-28,25.27
2019-03-31,25.35
2019-04-30,26.49
2019-05-31,26.72
2019-06-30,28.51
2019-07-31,27.36
2019-08-31,29.7
2019-09-30,28.61
2019-10-31,25.89
2019-11-30,24.63
2019-12-31,25.86
2020-01-31,25.1
2020-02-29,16.68
2020-03-31,16.96
2020-04-30,17.81
2020-05-31,18.22
2020-06-30,17.66
2020-07-31,17.93
2020-08-31,17.75
2020-09-30,18.6
2020-10-31,22.89
2020-11-30,22.6
2020-12-31,23.54
2021-01-31,24.64
2021-02-28,26
2021-03-31,26.66
2021-04-30,26.95
2021-05-31,26.22
2021-06-30,25.93
2021-07-31,27.73
2021-08-31,27.83
2021-09-30,28.71
2021-10-31,27.3
2021-11-30,28.84
2021-12-31,27.13
2022-01-31,28.94
2022-02-28,32.35
2022-03-31,32.63
2022-04-30,31.26
2022-05-31,27.39
2022-06-30,30.6
2022-07-31,30.59
2022-08-31,28.81
2022-09-30,32.42
2022-10-31,31.54
2022-11-30,30.06
2022-12-31,31.79
2023-01-31,30
2023-02-28,27.72
2023-03-31,28.84
2023-04-30,25.97
2023-05-31,26.37
2023-06-30,28.42
2023-07-31,28.96
2023-08-31,29.07
2023-09-30,28.05
2023-10-31,28.4
2023-11-30,30.7
2023-12-31,32.6
2024-01-31,33.84
2024-02-29,34.64
2024-03-31,33.8
2024-04-30,33.91
2024-05-31,36.23
2024-06-30,38.58
2024-07-31,38.17
2024-08-31,37.35
2024-09-30,38.8
2024-10-31,39.1
2024-11-30,37.1
2024-12-31,40.14
2025-01-31,35.3
2025-02-28,34.02
2025-03-31,36.13
2025-04-30,38
2025-05-31,39.36
2025-06-30,38.91
2025-07-31,42.79
2025-08-31,44.15
2025-09-30,43.62
2025-10-31,40.1
2025-11-30,42.31
2025-12-31,43.37
2026-01-31,49.02
2026-02-28,41.44
2026-03-31,39.88
2026-04-30,37.33
2026-05-31,37.86
2026-06-30,41.33
2026-07-31,38.63
2026-08-31,38.66
2026-09-24,38.15
