Date,Close
2016-09-30,1.88
2016-10-31,1.635
2016-11-30,1.655
2016-12-31,1.6
2017-01-31,1.71
2017-02-28,1.78
2017-03-31,1.68
2017-04-30,1.62
2017-05-31,1.53
2017-06-30,1.6
2017-07-31,1.6
2017-08-31,1.93
2017-09-30,2
2017-10-31,2.25
2017-11-30,2.5
2017-12-31,2.52
2018-01-31,2.24
2018-02-28,2.1
2018-03-31,2.16
2018-04-30,2.47
2018-05-31,2.99
2018-06-30,3.19
2018-07-31,3.81
2018-08-31,3.95
2018-09-30,3.31
2018-10-31,3.35
2018-11-30,3.41
2018-12-31,4.01
2019-01-31,4.2
2019-02-28,3.01
2019-03-31,2.69
2019-04-30,2.63
2019-05-31,2.71
2019-06-30,2.51
2019-07-31,2.28
2019-08-31,2.2
2019-09-30,2.13
2019-10-31,2.17
2019-11-30,2.06
2019-12-31,1.875
2020-01-31,1.445
2020-02-29,1.39
2020-03-31,1.545
2020-04-30,1.35
2020-05-31,1.365
2020-06-30,1.31
2020-07-31,1.19
2020-08-31,1.285
2020-09-30,1.07
2020-10-31,1.315
2020-11-30,1.415
2020-12-31,1.345
2021-01-31,1.255
2021-02-28,1.42
2021-03-31,1.165
2021-04-30,1.455
2021-05-31,1.73
2021-06-30,1.995
2021-07-31,2.06
2021-08-31,2.4
2021-09-30,2.01
2021-10-31,2.06
2021-11-30,2.23
2021-12-31,2.27
2022-01-31,2.54
2022-02-28,3.4
2022-03-31,3.51
2022-04-30,3.71
2022-05-31,3.46
2022-06-30,4.39
2022-07-31,4.9
2022-08-31,6.29
2022-09-30,5.65
2022-10-31,5.95
2022-11-30,6.36
2022-12-31,5.86
2023-01-31,5.43
2023-02-28,5.68
2023-03-31,5.31
2023-04-30,4.61
2023-05-31,4.85
2023-06-30,5.31
2023-07-31,5.63
2023-08-31,6.35
2023-09-30,5.77
2023-10-31,5.2
2023-11-30,5.16
2023-12-31,5.4
2024-01-31,4.7
2024-02-29,4.65
2024-03-31,4.55
2024-04-30,4.97
2024-05-31,4.88
2024-06-30,4.87
2024-07-31,4.48
2024-08-31,5.21
2024-09-30,4.87
2024-10-31,4.7
2024-11-30,4.96
2024-12-31,4.84
2025-01-31,4.02
2025-02-28,3.71
2025-03-31,3.67
2025-04-30,3.72
2025-05-31,3.7
2025-06-30,4.18
2025-07-31,4.43
2025-08-31,3.92
2025-09-30,4.15
2025-10-31,3.82
2025-11-30,4.03
2025-12-31,4.51
2026-01-31,4.69
2026-02-28,5.87
2026-03-31,5.48
2026-04-30,5.84
2026-05-31,5.34
2026-06-30,5.19
2026-07-31,6.03
2026-08-31,5.85
2026-09-24,5.85
