Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2018,91.749,,,,28.542,31.1,38.911,17.576,19.2,0.16,28.364,-15.589,12.775,212.412,331.959,119.547,80.491,0.0,110.0,0.024,,,,,,millions,NZD
FY2019,99.616,,,,22.467,22.6,41.987,6.848,6.9,0.06,29.336,-17.419,11.917,335.481,371.116,35.635,0.0,31.224,120.607,0.333,,,,,,millions,NZD
H1 2020,52.284,,,,15.07,28.8,21.736,12.43,23.8,0.06,13.426,-23.222,-9.796,337.852,,,,16.125,200.021,0.027,,,,,,millions,NZD
FY2020,100.427,,,,29.172,29.0,41.166,22.012,21.9,0.11,29.327,-45.988,-16.661,346.245,385.379,39.134,0.0,7.936,200.021,0.056,0.025,,,,,millions,NZD
H1 2021,52.585,,,,14.827,28.2,21.293,10.574,20.1,0.05,14.563,-45.759,-31.196,346.659,424.968,78.309,34.741,2.659,200.149,0.058,0.028,,,,,millions,NZD
FY2021,109.46,,,,31.849,29.1,43.787,23.164,21.2,0.12,34.79,-103.682,-68.892,354.847,479.997,125.15,77.065,1.403,200.149,0.136,0.078,,,,,millions,NZD
H1 2022,50.712,,,,11.829,23.3,16.441,8.984,17.7,0.045,12.956,-43.673,-30.717,385.236,543.12,157.884,118.301,3.111,200.406,0.11,0.028,,,,,millions,NZD
FY2022,114.523,,,,28.505,24.9,40.094,20.421,17.8,0.1,33.04,-72.071,-39.031,391.977,562.714,170.737,131.18,1.942,200.406,0.204,0.075,,,,,millions,NZD
H1 2023,62.255,,,,14.979,24.1,21.87,8.69,14.0,0.044,21.369,-5.549,15.82,390.432,564.005,173.573,131.975,4.065,200.44,0.087,0.017,,,,,millions,NZD
FY2023,118.384,,,,28.795,24.3,37.245,16.587,14.0,0.08,37.241,-13.752,23.489,396.18,564.771,168.591,125.027,1.104,200.44,0.211,0.064,,,,,millions,NZD
H1 2024,70.582,,,,25.87,36.7,27.367,14.32,20.3,0.078,25.292,-7.371,17.921,416.947,584.969,168.022,119.334,-0.349,200.475,0.138,0.03,,,,,millions,NZD
FY2024,141.351,,,,43.496,30.8,51.963,24.83,17.6,0.12,53.917,-13.109,40.808,419.126,578.854,159.728,110.69,1.92,200.475,0.176,0.065,,,,,millions,NZD
H1 2025,78.092,,,,30.937,39.6,33.149,20.163,25.8,0.1,34.643,-13.575,21.068,427.616,581.091,153.475,104.088,1.539,200.389,0.13,0.04,,,,,millions,NZD
FY2025,157.744,,,,48.442,30.7,64.174,30.882,19.6,0.15,63.617,-25.321,38.296,426.9,593.661,166.761,109.65,3.463,200.389,0.249,0.125,,,,,millions,NZD
H1 2026,84.913,,,,27.516,32.4,37.277,17.988,21.2,0.09,23.816,-28.081,-4.265,430.44,617.595,187.155,131.232,1.741,200.389,0.146,0.0525,,,,,millions,NZD
