Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AISC,GoldPriceAchieved,GoldProduction,LeasePrincipalRepaid
H1 FY2016,375.291,256.706,118.585,31.6,104.422,27.8,194.202,65.099,17.3,0.109,173.371,106.848,66.523,379.138,667.292,288.154,19.748,210.917,602.8,1.022,,,375.291,,,millions,AUD,1062.0,1497.0,,
FY2016,785.788,512.419,273.369,34.8,241.97,30.8,420.551,151.365,19.3,0.252,383.335,189.64,193.695,451.914,763.529,311.615,14.065,315.341,603.0,3.101,,,785.788,,,millions,AUD,,,,
H1 FY2017,381.673,247.477,134.196,35.2,121.712,31.9,202.888,104.624,27.4,0.174,111.349,115.4,-4.051,516.446,780.689,264.243,9.054,282.101,611.8,1.241,,,381.673,,,millions,AUD,1111.0,1683.0,,
FY2017,849.951,537.333,312.618,36.8,271.182,31.9,454.528,215.31,25.3,0.359,358.73,231.921,126.809,615.1,924.958,309.858,11.218,403.06,613.4,4.195,,,849.951,,,millions,AUD,,,,
H1 FY2018,435.349,301.449,133.9,30.8,112.757,25.9,222.973,79.09,18.2,0.131,126.787,96.924,29.863,675.576,955.758,280.182,12.359,368.054,613.1,8.278,,,435.349,,,millions,AUD,1043.0,1678.0,,
FY2018,964.025,624.118,339.907,35.3,280.934,29.1,492.256,194.113,20.1,0.321,353.061,196.167,156.894,821.436,1216.87,395.434,17.123,442.997,616.2,11.426,,,964.025,,,millions,AUD,,,,
H1 FY2019,633.515,482.362,151.153,23.9,118.85,18.8,247.688,82.09,13.0,0.13,169.134,163.4,5.734,1045.197,1596.466,551.269,41.571,229.825,641.3,2.348,,,633.515,,,millions,AUD,1295.0,1700.0,,
FY2019,1401.165,1101.484,299.681,21.4,226.386,16.2,535.576,154.711,11.0,0.244,379.197,286.842,92.355,1114.935,1643.835,528.9,48.404,266.179,644.6,8.396,,,1401.165,,,millions,AUD,,,,
H1 FY2020,826.979,615.065,211.914,25.6,155.72,18.8,360.743,126.787,15.3,0.196,297.465,168.474,128.991,1917.388,3053.276,1135.888,603.626,1365.331,650.2,2.596,,,826.979,,,millions,AUD,1454.0,2046.0,,
FY2020,1971.653,1447.565,524.088,26.6,366.567,18.6,850.864,258.327,13.1,0.373,710.442,362.7,347.742,2143.758,3811.385,1667.627,811.062,677.26,694.4,7.852,,,1971.653,,,millions,AUD,,,,63.2
H1 FY2021,1111.219,773.846,337.373,30.4,281.315,25.3,511.318,184.527,16.6,0.249,426.482,222.145,204.337,2096.784,3378.266,1281.482,468.722,317.408,744.1,4.572,,,1111.219,,,millions,AUD,1588.0,2386.0,,35.0
FY2021,2760.5,2183.7,576.8,20.9,1612.3,58.4,1153.6,1032.5,37.4,1.147,1076.8,693.1,383.7,7978.5,11249.3,3270.8,746.2,771.9,903.3,13.0,,,2760.5,,,millions,AUD,,,,80.9
H1 FY2022,1807.0,1573.0,234.0,12.9,410.0,22.7,741.0,261.0,14.4,0.224,622.0,449.0,173.0,8136.0,11163.0,3027.0,623.0,528.0,1170.4,6.8,,,1807.0,,,millions,AUD,1613.0,,,65.0
FY2022,3735.4,3221.8,513.6,13.7,636.5,17.0,1602.2,429.8,11.5,0.37,1599.2,1028.7,570.5,8214.9,11131.0,2916.1,368.2,571.1,1167.9,11.5,,,3735.4,,,millions,AUD,,,,128.2
H1 FY2023,1948.7,1801.2,147.5,7.6,94.9,4.9,677.6,47.7,2.4,0.041,470.7,548.7,-78.0,8053.7,11103.9,3050.2,645.2,409.5,1163.4,10.2,,,1948.7,,,millions,AUD,,,,74.3
FY2023,4131.1,3528.3,602.8,14.6,883.9,21.4,2090.0,585.2,14.2,0.508,1351.5,1059.2,292.3,8483.5,12316.2,3832.7,1175.5,1133.3,1163.4,20.1,,,4131.1,,,millions,AUD,,,,148.1
H1 FY2024,2247.6,1858.1,389.5,17.3,320.4,14.3,935.8,198.5,8.8,0.173,840.4,673.1,167.3,8505.2,12432.9,3927.7,1171.1,939.1,1160.8,15.3,,,2247.6,,,millions,AUD,,,,79.5
FY2024,4921.2,3726.3,1194.9,24.3,987.4,20.1,2317.6,638.5,13.0,0.556,2070.4,1440.0,630.4,8790.9,13080.8,4289.9,1184.5,1119.6,1158.8,32.7,,,4921.2,,,millions,AUD,,,,189.3
H1 FY2025,2868.9,1996.9,872.0,30.4,770.7,26.9,1490.4,506.4,17.7,0.441,1253.9,1061.8,192.1,8945.9,13791.6,4845.7,1279.6,1045.9,1158.8,25.4,,,2868.9,,,millions,AUD,2105.0,3562.0,,109.4
FY2025,6414.9,4141.0,2273.9,35.4,2028.0,31.6,3627.7,1339.7,20.9,1.126,2953.5,2285.3,668.2,14917.2,20432.4,5515.2,1261.7,1585.1,1200.4,27.6,,,6414.9,,,millions,AUD,,,,229.8
H1 FY2026,3414.3,2182.4,1231.9,36.1,1077.9,31.6,1959.1,714.4,20.9,0.5,1031.2,1305.0,-273.8,15240.1,20697.6,5457.5,1403.0,865.0,1440.3,22.2,,,3414.3,,,millions,AUD,2720.0,4670.0,728247.0,135.7
FY2026,7623.1,4743.9,2879.2,37.8,2496.1,32.7,4442.5,1664.3,21.8,1.165,3183.3,2712.7,470.6,15681.9,21493.8,5811.9,1395.3,1018.1,1438.5,38.0,,,7623.1,,,millions,AUD,,,,273.2
