Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1-2018,36028.0,,,,-665925.0,,,-665925.0,,-0.000308,-630380.0,-1373370.0,-2003750.0,16559193.0,16876662.0,317469.0,0.0,2814098.0,2164503303.0,0.0,,,,,,absolute dollars,NZD
FY2018,128597.0,,,,-1002157.0,,,-1002157.0,,-0.000463,-956694.0,-1884590.0,-2841284.0,17229806.0,17482515.0,252709.0,0.0,4828750.0,2164503303.0,0.0,,,,,,absolute dollars,NZD
H1-2019,2570.0,,,,-452886.0,,,-452886.0,,-0.00017,-562883.0,-775303.0,-1338186.0,19185350.0,19535571.0,350221.0,0.0,3538262.0,2670897941.0,0.0,,,,,,absolute dollars,NZD
FY2019,86734.0,,,,-1203327.0,,,-1203327.0,,,-1078780.0,-2484892.0,-3563672.0,16028262.0,16482520.0,454258.0,0.0,1243656.0,,0.0,,,,,,absolute dollars,NZD
H1-2020,2186.0,,,,-401201.0,,,-401201.0,,-0.000144,,,,15538711.0,15671740.0,133029.0,0.0,1869706.0,2792225363.0,0.0,,,,,,absolute dollars,NZD
FY2020,39511.0,,,,-3710748.0,,,-3710748.0,,,-1232292.0,-1136495.0,-2368787.0,15943035.0,16066001.0,122966.0,0.0,2495718.0,,0.0,,,,,,absolute dollars,NZD
FY2021,2973.0,,,,-760919.0,,,-762402.0,,,-696068.0,-692955.0,-1389023.0,15203435.0,15407673.0,204328.0,0.0,1110695.0,,0.0,,,,,,absolute dollars,NZD
H1-2022,394.0,,,,-664506.0,,,-664506.0,,-0.000208,,,,9597853.0,10971127.0,1373274.0,0.0,966880.0,3198072105.0,0.0,,,,,,absolute dollars,NZD
FY2022,1191.0,,,,-1062790.0,,,-1065890.0,,,-888504.0,-558817.0,-1447321.0,14915789.0,15194794.0,279005.0,0.0,492507.0,,0.0,,,,,,absolute dollars,NZD
FY2023,6340.0,,,,-1139219.0,,,-1199756.0,,,-1139190.0,-75720.0,-1214910.0,10804019.0,12026588.0,1222569.0,1017924.0,1987733.0,,0.0,,,,,,absolute dollars,NZD
FY2024,43041.0,,,,-857763.0,,,-1330917.0,,-0.002906,-877716.0,-753282.0,-1630998.0,8680698.0,9648344.0,967646.0,723625.0,587080.0,458029555.0,0.0,,,,,,absolute dollars,NZD
H1-2025,4849.0,,,,-1103098.0,,,-1074462.0,,-0.001583,-1005918.0,-744587.0,-1750505.0,16190733.0,17146306.0,955573.0,130591.0,498945.0,678882381.0,0.0,,,,,,absolute dollars,NZD
FY2025,23752.0,,,,23752.0,,,4045269.0,,0.006311,-1549800.0,-1086478.0,-2636278.0,15640580.0,16673101.0,1032521.0,202287.0,640395.0,641033914.0,0.0,,,,,,absolute dollars,NZD
FY2026,52790.0,,,,-2212291.0,,,-2256601.0,,-0.002851,-1967666.0,-979157.0,-2946823.0,16977146.0,17895043.0,917897.0,93133.0,1176627.0,791606719.0,0.0,,,,,,absolute dollars,NZD
