Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,InterestIncome,FeeIncome,CreditLossAllowance,Deposits,LoansToCustomers,Customers
FY2019,612.1,,247.9,40.5,,,,-92.5,,-0.0813,,,,,,,,,1137.9,,,,,337.9,274.3,175.2,,,19.8
FY2020,737.1,,326.9,44.3,,,,-171.5,,-0.1304,,,,438.1,10154.3,,177.2,2343.8,1315.6,,,,,382.9,354.2,169.5,5584.9,174.7,33.3
FY2021,1698.0,,732.9,43.2,,,,-165.0,,-0.1030,,,,4441.0,19858.7,,157.3,2705.7,1602.1,,,,,1046.7,651.3,480.6,9667.3,1194.8,53.9
Q1 2022,877.3,,294.1,33.5,,,,-45.1,,-0.0097,,,,,,,,,4660.4,,,,,619.4,257.8,275.7,,,
Q2 2022,1157.6,,363.5,31.4,,,,-29.7,,-0.0064,,,,,,,,,4671.0,,,,,853.0,304.5,338.5,,,
Q3 2022,1306.9,,427.0,32.7,,,,7.8,,0.0016,,,,4752.7,26007.0,,468.0,3692.8,4824.0,,,,,987.2,319.6,375.5,14040.2,1603.1,
Q4 2022,1450.5,,578.3,39.9,,,,-297.6,,-0.0636,,,,4890.8,29934.9,,585.6,4172.3,4677.0,,,,,1095.5,355.0,415.2,15808.5,1673.4,74.6
FY2022,4792.2,,1663.0,34.7,,,,-364.6,,-0.0780,,,,4890.8,29934.9,,585.6,4172.3,4677.0,,,,,3555.2,1237.0,1404.9,15808.5,1673.4,74.6
Q1 2023,1618.7,,650.9,40.2,,,,141.8,,0.0294,,,,5208.5,29489.4,,651.2,4310.5,4818.2,,,,,1255.5,363.2,474.8,15757.7,2020.2,
Q2 2023,1868.6,,782.0,41.8,,,,224.9,,0.0464,,,,5644.6,33608.1,,764.5,6175.0,4843.8,,,,,1500.2,368.4,590.4,18033.7,2433.2,
Q3 2023,2136.8,,914.8,42.8,,,,303.0,,0.0624,,,,5889.3,35693.2,,1085.9,3213.6,4856.8,,,,,1732.7,404.1,627.5,19117.2,2690.0,
Q4 2023,2404.9,,1143.2,47.5,,,,360.9,,0.0743,,,,6406.4,43345.2,,1136.3,5923.4,4857.6,,,,,1951.3,453.6,592.5,23691.1,3202.3,93.9
FY2023,8029.0,,3490.9,43.5,,,,1030.5,,0.2121,,,,6406.4,43345.2,,1136.3,5923.4,4857.6,,,,,6439.7,1589.3,2285.2,23691.1,3202.3,93.9
Q1 2024,2735.9,,1181.5,43.2,,,,378.8,,0.0775,,,,6802.7,43839.5,,1403.3,6033.7,4886.4,,,,,2280.2,455.7,830.7,24254.9,3863.8,
Q2 2024,2848.7,,1359.4,47.7,,,,487.3,,0.0998,,,,6923.4,44802.7,,1735.9,8530.4,4881.0,,,,,2383.3,465.4,759.8,25228.6,4008.2,
Q3 2024,2943.2,,1348.6,45.8,,,,553.4,,0.1132,,,,7644.3,48637.9,,1498.9,7645.8,4889.4,,,,,2473.8,469.4,774.1,28319.1,4939.4,
Q4 2024,2989.3,,1363.3,45.6,,,,552.6,,0.1130,,,,7646.3,49931.2,,1730.4,9185.7,4888.9,,,,,2493.7,495.6,804.4,28855.1,5321.9,114.2
FY2024,11517.1,,5252.9,45.6,,,,1972.1,,0.4034,,,,7646.3,49931.2,,1730.4,9185.7,4888.9,,,,,9631.0,1886.0,3169.0,28855.1,5321.9,114.2
Q1 2025,3247.7,,1319.5,40.6,,,,557.2,,0.1139,,,,8607.9,54192.5,,1706.9,10284.0,4892.6,,,,,2732.1,515.6,973.5,31564.4,6812.7,
Q2 2025,3668.5,,1548.0,42.2,,,,636.8,,0.1300,,,,9574.8,62730.1,,2275.6,13269.0,4899.8,,,,,3128.7,539.7,1012.2,36640.2,7870.3,
Q3 2025,4172.7,,1814.5,43.5,,,,782.5,,0.1595,,,,10552.0,68362.8,,3091.1,12895.8,4905.1,,,,,3577.5,595.2,977.5,38775.9,8981.8,
Q4 2025,4685.9,,1943.0,41.5,,,,892.4,,0.1819,,,,11290.9,74893.9,,4398.2,15003.6,4907.4,,,,,3996.3,689.5,1241.7,41925.1,9421.5,131.0
FY2025,15774.7,,6625.0,42.0,,,,2868.9,,0.5846,,,,11290.9,74893.9,,4398.2,15003.6,4907.4,,,,,13434.7,2340.1,4204.9,41925.1,9421.5,131.0
Q1 2026,4968.0,,1864.9,37.5,,,,872.1,,0.1776,,,,12588.8,77456.4,,4504.2,13920.4,4910.3,,,,,4275.3,692.7,1718.0,42448.1,10968.8,
