Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2013,62792.0,,,,,,25774.0,12086.0,19.247674863039876,4.8,26187.0,,,49516.0,102960.0,53444.0,0.0,17416.0,,0.0,,,,,,thousands,NZD
FY2014,65189.0,,,,,,24601.0,13111.0,20.112288883093772,5.2,16091.0,,,51089.0,105851.0,54762.0,0.0,20160.0,,313.0,6.0,,,,,thousands,NZD
FY2015,73151.0,,,,,,24579.0,23872.0,32.63386693278287,9.1,18295.0,,,76168.0,193747.0,117579.0,20000.0,20293.0,263919.546,0.0,,,,,,thousands,NZD
FY2016,77544.0,,,,,,22517.0,9182.0,11.841019292272774,3.4,13574.0,,,69675.0,193964.0,124289.0,20000.0,10804.0,268315.689,2341.0,6.0,,,,,thousands,NZD
FY2017,75325.0,,,,,,29003.0,14837.0,19.697311649518753,5.5,24384.0,6084.0,18300.0,68723.0,179789.0,111066.0,20000.0,14881.0,268476.385,345.0,6.1,,,,,thousands,NZD
FY2018,67493.0,,,,,,27283.0,11620.0,17.21660024002489,4.3,24076.0,9385.0,14691.0,63482.0,180794.0,117312.0,38797.0,25385.0,271771.369,368.0,6.1,,,,,thousands,NZD
FY2019,69548.0,,,,,,31364.0,14645.0,21.057399206303558,5.3,24790.0,8302.0,16488.0,63918.0,212571.0,148653.0,47463.0,27740.0,275684.278,534.0,6.1,,,,,thousands,NZD
H1 2020,,,,,,,17550.0,9083.0,,3.3,6837.0,5081.0,1756.0,65972.0,261560.0,195588.0,47795.0,21420.0,,0.0,,,,,,thousands,NZD
FY2020,78426.0,,,,,,34396.0,17586.0,22.42368602249254,6.3,31234.0,9972.0,21262.0,67631.0,246654.0,179023.0,46015.0,32775.0,278001.131,695.0,6.1,,,,,thousands,NZD
H1 2021,42451.0,,,,,,16938.0,7630.0,17.97366375350404,2.7,3854.0,7903.0,-4049.0,69219.0,281610.0,212391.0,45224.0,21325.0,,506.0,,,,,,thousands,NZD
FY2021,87955.0,,,,,,34427.0,15015.0,17.071229606048547,5.4,27392.0,16920.0,10472.0,70606.0,180630.0,110024.0,52524.0,29062.0,280690.043,976.0,6.1,,,,,thousands,NZD
H1 2022,46175.0,,,,,,17420.0,7383.0,15.989171629669736,2.5,1184.0,30946.0,-29762.0,112089.0,226140.0,114051.0,52582.0,16527.0,313136.86,506.0,,,,,,thousands,NZD
FY2022,95726.0,,,,,,35065.0,14159.0,14.791174811440989,4.6,23436.0,40496.0,-17060.0,111708.0,233199.0,121491.0,60713.0,20611.0,314709.36,1013.0,6.1,,,,,thousands,NZD
H1 2023,53959.0,,,,,,20041.0,6973.0,12.922774699308734,2.2,6930.0,27733.0,-20803.0,118695.0,287222.0,168527.0,82175.0,12508.0,322849.628,611.0,,,,,,thousands,NZD
FY2023,108387.0,,,,,,38894.0,13554.0,12.50518973677655,4.2,34439.0,12395.0,22044.0,117371.0,276470.0,159099.0,82317.0,24670.0,324205.366,1138.0,6.1,40100.0,,,,thousands,NZD
H1 2024,58270.0,,,,,,22832.0,15550.0,26.686116354899603,4.8,5231.0,8073.0,-2842.0,118226.0,281314.0,163088.0,42928.0,12469.0,325834.038,646.0,,,,,,thousands,NZD
FY2024,120122.0,,,,36300.0,30.219277068313882,46549.0,25033.0,20.839646359534473,7.7,35887.0,13423.0,22464.0,119685.0,282434.0,162749.0,81194.0,28825.0,327022.314,962.0,6.1,48500.0,,,,thousands,NZD
H1 2025,67635.0,,,,,,24064.0,8338.0,12.327936719154284,2.6,4749.0,5335.0,-586.0,118290.0,279548.0,161258.0,80612.0,14172.0,328535.448,646.0,,,,,,thousands,NZD
FY2025,141251.0,,,,32700.000000000004,23.150278582098537,51689.0,21475.0,15.203432188090705,6.5,39492.0,11638.0,27854.0,122185.0,277389.0,155204.0,81159.0,32055.0,328535.448,998.0,6.3,53500.0,,,,thousands,NZD
H1 2026,76647.0,,,,,,26333.0,9842.0,12.840685219251895,3.0,9507.0,7347.0,2160.0,121794.0,296298.0,174504.0,73525.0,15137.0,329241.123,467.0,,,,,,thousands,NZD
