Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,OccupancyRate,TotalUnits,ORASales,NewUnitSales,CareRevenue,FairValueGain,UnderlyingEBITDA
FY2017,171.9,,,,,,,44.9,26.1,12.4,,,-42.1,468.0,918.2,450.3,95.2,10.9,360.9,,0.0,,,,3800,,,152.1,57.2,41.3
FY2018,180.0,,,,,,,77.0,42.8,12.7,,,-49.3,537.1,1147.2,610.1,168.7,18.3,605.4,,4.7,,,,,,,158.5,68.3,63.7
FY2019,187.0,,,,,,,45.4,24.3,7.5,,,-84.1,609.9,1399.4,789.5,270.2,22.8,607.1,,4.7,,,,,,,161.1,46.6,63.2
FY2020,193.6,,,,,,,-13.6,-7.0,-2.2,,,-36.6,595.2,1548.7,953.5,325.5,17.6,610.7,,3.5,,,,,,,163.9,-21.7,63.5
FY2021 (10mo),175.4,,,,,,,85.5,48.8,13.8,,,-6.2,835.2,1883.7,1048.5,327.3,79.9,621.5,,3.4,,,,,,,146.6,80.0,56.2
FY2022,231.1,,,,,,,61.1,26.4,8.7,,,-57.1,948.8,2197.7,1248.8,380.1,9.7,705.4,,4.4,,,,,,,187.4,63.5,76.2
FY2023,247.2,,,,,,,15.4,6.2,2.2,,,-88.6,962.3,2544.9,1582.7,553.6,7.4,715.7,,3.2,,,,,,,194.5,19.5,80.0
FY2024,265.5,,,,,,,31.5,11.9,4.4,,,-77.0,1026.5,2782.3,1755.9,640.5,7.5,723.7,,1.3,,,,,,,206.3,60.8,82.6
FY2025,260.6,,,,,,,30.4,11.7,4.2,,,-3.3,1101.8,2940.7,1838.8,627.7,7.6,724.2,,0.0,,,,,,,200.3,90.2,86.0
FY2026,267.1,,,,,,,0.1,0.0,0.0,,,83.9,1177.9,3076.1,1898.1,516.8,16.6,724.2,,0.0,,,95.5,3937,,,208.6,32.8,97.4
H1 FY2018,90.2,,,,,,,42.5,47.1,7.0,,,,510.9,999.1,488.2,123.8,6.2,605.0,,2.1,,,,,,,,34.1,25.3
H1 FY2019,94.3,,,,,,,1.3,1.3,0.2,,,,541.0,1208.8,667.9,207.0,10.6,605.5,,2.1,,,,,,,82.0,1.6,27.2
H1 FY2020,96.5,,,,,,,14.9,15.4,2.4,,,,618.2,1496.5,878.3,286.7,13.4,605.4,,2.3,,,,,,,81.3,11.4,34.7
H1 FY2021,103.9,,,,,,,24.8,23.9,4.0,,,,652.1,1673.6,1021.5,313.2,16.4,617.0,,1.3,,,,,,,86.9,26.7,35.4
H1 FY2022,113.9,,,,,,,36.9,32.4,5.3,,,,906.9,2064.3,1157.4,350.7,16.8,621.5,,2.1,,,,,,,93.3,31.3,36.5
H1 FY2023,122.1,,,,,,,11.2,9.2,1.6,,,,964.1,2450.8,1486.8,498.5,5.8,705.4,,1.9,,,,,,,96.5,21.3,38.7
H1 FY2025,132.6,,,,,,,-17.1,-12.9,,,,,1038.6,2821.2,1782.6,639.0,13.0,724.2,,0.0,,,,,,,100.9,26.1,38.6
H1 FY2026,,,,,,,,4.9,,,,,1142.8,610.1,1894.8,,8.6,,3037.6,,,,,,,,,35.2,41.8,0.0
