Date,Close
2017-05-31,0.86
2017-06-30,0.98
2017-07-31,1.03
2017-08-31,0.95
2017-09-30,0.94
2017-10-31,0.99
2017-11-30,1.05
2017-12-31,1
2018-01-31,1.01
2018-02-28,0.98
2018-03-31,0.98
2018-04-30,1.04
2018-05-31,1.12
2018-06-30,1.14
2018-07-31,1.14
2018-08-31,1.21
2018-09-30,1.15
2018-10-31,1.14
2018-11-30,1.07
2018-12-31,1.04
2019-01-31,1.05
2019-02-28,1.01
2019-03-31,1.07
2019-04-30,1.05
2019-05-31,1.04
2019-06-30,1.04
2019-07-31,1.03
2019-08-31,1.02
2019-09-30,1.03
2019-10-31,1.08
2019-11-30,1.32
2019-12-31,1.22
2020-01-31,1.13
2020-02-29,0.69
2020-03-31,0.77
2020-04-30,0.89
2020-05-31,0.9
2020-06-30,1.01
2020-07-31,1.04
2020-08-31,1.14
2020-09-30,1.35
2020-10-31,1.3
2020-11-30,1.45
2020-12-31,1.58
2021-01-31,1.45
2021-02-28,1.28
2021-03-31,1.35
2021-04-30,1.4
2021-05-31,1.49
2021-06-30,1.49
2021-07-31,1.57
2021-08-31,1.48
2021-09-30,1.4
2021-10-31,1.31
2021-11-30,1.34
2021-12-31,1.18
2022-01-31,1.05
2022-02-28,1.05
2022-03-31,1.03
2022-04-30,1.03
2022-05-31,0.93
2022-06-30,0.94
2022-07-31,0.99
2022-08-31,0.91
2022-09-30,0.86
2022-10-31,0.81
2022-11-30,0.76
2022-12-31,0.89
2023-01-31,0.78
2023-02-28,0.73
2023-03-31,0.69
2023-04-30,0.84
2023-05-31,0.77
2023-06-30,0.76
2023-07-31,0.76
2023-08-31,0.71
2023-09-30,0.68
2023-10-31,0.74
2023-11-30,0.76
2023-12-31,0.7
2024-01-31,0.59
2024-02-29,0.63
2024-03-31,0.6
2024-04-30,0.55
2024-05-31,0.53
2024-06-30,0.78
2024-07-31,0.81
2024-08-31,0.74
2024-09-30,0.78
2024-10-31,0.79
2024-11-30,0.73
2024-12-31,0.82
2025-01-31,0.67
2025-02-28,0.61
2025-03-31,0.65
2025-04-30,0.63
2025-05-31,0.67
2025-06-30,0.69
2025-07-31,0.63
2025-08-31,0.69
2025-09-30,0.79
2025-10-31,0.845
2025-11-30,0.92
2025-12-31,0.85
2026-01-31,0.83
2026-02-28,0.7
2026-03-31,0.745
2026-04-30,0.775
2026-05-31,0.76
2026-06-30,0.755
2026-07-31,0.78
2026-08-31,0.8
2026-09-08,0.775
