Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1 FY2016,2553.4,,,,316.5,12.4,450.1,149.0,5.8,0.401,132.5,136.9,-4.4,2712.9,6830.9,4118.0,2296.1,242.2,371.6,3.1,,,,,,millions,AUD
FY2016,5091.9,,,,637.6,12.5,903.5,342.8,6.7,0.92,777.9,262.9,515.0,2783.2,6595.8,3812.6,1877.4,328.0,372.8,-4.3,,,,,,millions,AUD
H1 FY2017,2437.4,,,,314.2,12.9,445.5,195.2,8.0,0.518,154.5,114.2,40.3,2887.2,6607.3,3720.1,1896.4,364.6,376.8,4.0,,,,,,millions,AUD
FY2017,5039.2,,,,635.1,12.6,896.3,386.2,7.7,1.02,466.4,305.9,160.5,2963.5,6785.2,3821.7,1957.8,516.9,378.7,11.6,,,,,,millions,AUD
H1 FY2018,2532.0,,,,-88.6,-3.5,38.8,-229.3,-9.1,-0.607,28.5,128.3,-99.8,2780.9,6917.9,4137.0,2233.5,327.7,377.8,7.8,,,,,,millions,AUD
FY2018,5373.8,,,,242.8,4.5,509.7,-48.1,-0.9,-0.127,614.7,322.1,292.6,2968.0,7164.4,4196.4,2162.9,514.6,380.9,14.8,,,,,,millions,AUD
H1 FY2019,2828.9,,,,110.0,3.9,245.7,32.9,1.2,0.086,183.6,189.1,-5.5,2869.8,7174.0,4304.2,2232.3,464.5,382.6,4.9,,,,,,millions,AUD
FY2019,5878.0,,,,468.8,8.0,745.2,245.1,4.2,0.642,746.4,424.0,322.4,3025.4,7294.0,4268.6,2033.2,412.6,381.6,12.4,,,,,,millions,AUD
H1 FY2020,2880.3,,,,308.6,10.7,479.7,165.2,5.7,0.427,107.7,277.9,-170.2,3741.0,8928.6,5187.6,3067.4,1164.5,386.9,8.9,,,,,,millions,AUD
FY2020,5611.3,,,,434.1,7.7,785.4,168.3,3.0,0.424,277.4,524.1,-246.7,3186.0,8456.3,5270.3,3039.7,920.5,397.1,5.3,,,5143.0,,,millions,AUD
H1 FY2021,2623.2,,,,131.1,5.0,340.8,76.7,2.9,0.188,158.1,151.6,6.5,3167.7,8154.7,4987.0,2991.5,988.8,407.7,4.8,,,2404.2,,,millions,AUD
FY2021,5207.9,,,,-47.9,-0.9,310.2,-173.8,-3.3,-0.427,618.9,323.2,295.7,2792.4,7365.7,4573.3,2323.2,551.0,406.8,9.9,,,5207.9,,,millions,AUD
H1 FY2022,3046.0,,,,93.6,3.1,272.4,-84.6,-2.8,-0.207,-156.7,151.5,-308.2,2651.3,7091.1,4439.8,2370.3,494.1,410.8,2.8,,,3046.0,,,millions,AUD
FY2022,7096.4,,,,374.8,5.3,760.6,60.1,0.8,0.144,362.3,349.3,13.0,3729.2,8367.8,4638.6,2407.0,1255.3,417.4,8.0,,,7096.4,,,millions,AUD
H1 FY2023,3998.4,,,,235.8,5.9,418.5,122.6,3.1,0.268,1.5,153.8,-152.3,3830.3,8304.6,4474.3,2301.1,681.1,457.6,7.2,,,3998.4,,,millions,AUD
FY2023,7945.3,,,,526.9,6.6,919.4,295.7,3.7,0.645,898.7,439.1,459.6,4051.8,8767.2,4715.4,2372.2,1152.1,458.1,13.7,,,7945.3,,,millions,AUD
H1 FY2024,3657.2,,,,520.5,14.2,723.3,337.5,9.2,0.723,190.4,217.2,-26.8,4725.6,9327.2,4601.6,2364.9,1085.5,466.8,10.5,,,3657.2,,,millions,AUD
FY2024,7662.8,,,,924.9,12.1,1356.8,524.6,6.8,1.094,807.5,456.4,351.1,4547.6,9598.3,5050.7,2521.0,580.7,479.4,19.6,,,7662.8,,,millions,AUD
H1 FY2025,3940.5,,,,157.6,4.0,401.1,-89.0,-2.3,-0.183,244.9,167.3,77.6,4597.2,10027.8,5430.6,2931.5,719.9,493.0,12.3,,,3940.5,,,millions,AUD
FY2025,8144.5,,,,627.0,7.7,1125.9,162.3,2.0,0.332,949.2,414.5,534.7,4255.7,9949.0,5693.3,3004.8,746.7,489.2,21.4,,,8144.5,,,millions,AUD
H1 FY2026,3884.2,,,,205.0,5.3,454.4,-0.6,-0.0,-0.001,230.6,222.4,8.2,3819.5,9678.3,5858.8,3240.8,768.7,471.7,12.3,,,3884.2,,,millions,AUD
