Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,146.0,41.5,104.5,71.6,83.4,57.1,,138.2,94.7,11.41,69.5,-67.1,2.4,1410.9,1738.6,327.7,234.1,2.6,1211.1,,,,,,,millions,NZD
FY2017,126.2,35.8,90.4,71.6,77.2,61.2,,162.1,128.4,13.38,52.7,-192.5,-139.8,1505.6,2079.2,573.6,456.9,4.3,1211.1,,,,,,,millions,NZD
FY2018,130.7,35.4,95.3,72.9,82.9,63.4,,254.9,195.0,21.05,74.9,-266.2,-191.3,1690.7,2561.7,871.0,761.7,2.9,1211.1,,,,,,,millions,NZD
FY2019,135.8,40.8,95.0,70.0,77.4,57.0,,189.9,139.8,15.23,64.1,-233.7,-169.6,1954.9,2893.4,938.5,758.4,6.9,1313.7,,,,,,,millions,NZD
FY2020,151.8,46.0,105.8,69.7,87.5,57.6,,30.2,19.9,2.3,82.7,-260.5,-177.8,1908.4,3185.2,1276.8,1028.9,7.8,1313.8,,,,,,,millions,NZD
FY2021,199.8,72.1,127.7,63.9,83.0,41.5,,187.7,93.9,14.26,-136.0,-217.7,-353.7,2220.6,3456.4,1235.8,1096.1,8.3,1458.5,,6.5,,,,,millions,NZD
H1 FY2022,96.9,34.9,62.0,64.0,45.5,47.0,,42.2,43.6,2.75,50.7,-84.6,-33.9,2420.0,3657.6,1237.6,1129.4,8.7,1585.4,0.6,,,,,,millions,NZD
FY2022,200.3,70.9,129.4,64.6,95.3,47.6,,110.0,54.9,7.06,87.9,-188.7,-100.8,2435.5,3839.2,1403.7,1275.8,11.5,1585.4,1.2,6.7,,,,,millions,NZD
H1 FY2023,110.2,39.1,71.1,64.5,51.3,46.6,,-1.8,-1.6,-0.11,64.2,-147.4,-83.2,2383.7,3775.8,1392.0,1244.7,16.4,1585.9,0.7,,,,,,millions,NZD
FY2023,218.9,77.9,141.0,64.4,102.1,46.6,,-153.1,-69.9,-9.65,118.1,-257.7,-139.6,2183.1,3642.8,1459.7,1258.4,16.6,1585.9,1.4,6.7,,,,,millions,NZD
H1 FY2024,121.0,43.0,78.0,64.5,54.3,44.9,,15.3,12.6,0.96,39.8,-97.6,-57.8,2143.3,3475.7,1332.4,1202.8,20.0,1586.3,0.3,,,,,,millions,NZD
FY2024,248.0,91.8,156.2,63.0,103.6,41.8,,-22.1,-8.9,-1.39,79.6,-177.2,-97.6,2047.3,3518.9,1471.6,1334.6,22.1,1586.4,1.2,6.75,,,,,millions,NZD
H1 FY2025,134.4,53.3,81.1,60.3,45.1,33.6,,9.2,6.8,0.58,56.6,-84.9,-28.3,1997.3,3699.3,1702.0,1537.2,25.5,1587.1,1.3,,,,,,millions,NZD
FY2025,266.1,106.1,160.0,60.1,82.7,31.1,,11.0,4.1,0.69,86.8,-145.0,-58.2,1944.3,3699.2,1754.9,1610.3,28.4,1587.0,3.3,6.75,,,,,millions,NZD
H1 FY2026,135.4,55.5,79.9,59.0,45.1,33.3,,2.9,2.1,0.17,47.9,-95.3,-47.4,2205.0,3880.8,1675.8,1528.7,25.6,1852.8,1.8,,,,,,millions,NZD
