Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2018,89.71,12.507,77.203,86.06,72.524,80.84,72.55,110.094,122.72,22.08,53.746,-43.232,10.514,915.135,1358.898,443.763,398.222,1.652,498.723331,,9.33,,,,,millions,NZD
FY2019,96.051,14.85,81.201,84.54,76.129,79.26,76.179,176.286,183.54,35.35,48.371,-62.183,-13.812,1054.037,1522.7,468.659,412.948,1.185,498.723981,,10.2,,,,,millions,NZD
FY2020,97.392,16.262,81.13,83.3,75.279,77.29,75.328,113.452,116.49,22.71,35.164,-89.9,-54.736,1136.613,1687.359,550.746,487.649,1.414,499.688531,,9.73,,,,,millions,NZD
FY2021,108.653,16.753,91.9,84.58,84.435,77.71,84.484,452.81,416.75,89.97,56.125,-250.272,-194.147,1562.662,2217.006,654.344,598.653,1.103,503.346165,,9.99,,,,,millions,NZD
FY2022,110.909,17.598,93.311,84.13,84.803,76.46,84.852,-13.944,-12.57,-2.76,52.08,-27.361,24.719,1500.338,2162.787,662.449,601.523,1.332,504.748288,,10.19,,,,,millions,NZD
FY2023,114.787,22.695,92.092,80.23,82.441,71.82,82.49,-97.792,-85.19,-19.48,47.049,-150.564,-103.515,1360.269,2063.879,703.61,647.049,1.187,502.189887,,9.67,,,,,millions,NZD
FY2024,57.082,9.896,47.186,82.66,41.099,71.999,41.124,21.181,37.11,4.22,27.828,-60.78,-32.952,1359.495,2086.137,726.642,673.94,1.481,502.361807,,4.46,,,,,millions,NZD
H1 FY2025,61.229,11.241,49.988,81.64,44.072,71.98,44.097,28.758,46.97,5.72,27.901,-41.607,-13.706,,,,,1.896,502.385296,,,,,,,millions,NZD
FY2025,127.455,21.903,105.552,82.82,94.391,74.06,94.44,106.022,83.18,21.11,60.71,-62.604,-1.894,1424.234,2186.827,762.593,703.68,1.623,502.381126,,10.32,,,,,millions,NZD
H1 FY2026,73.584,12.144,61.44,83.5,55.19,75.0,55.215,46.938,63.79,9.34,28.668,-67.929,-39.261,1447.922,2276.257,828.335,768.055,2.681,502.456861,0.853,,,,,,millions,NZD
FY2026,144.353,23.522,120.831,83.71,108.408,75.1,108.475,77.725,53.84,15.47,61.443,-113.535,-52.092,1456.79,2320.457,863.667,781.99,2.15,502.432703,,11.55,,,,,millions,NZD
