Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2017,472.852,178.664,294.188,62.22,-137.934,-29.17,-121.799,-130.044,-27.5,,-102.913,41.192,-144.105,-546.464,,,0.0,71.468,,28.804,,millions,USD
Q1 2018,131.359,51.653,79.70600000000002,60.68,-54.982,-41.86,-50.195,-52.709,-40.13,,13.534,8.24,5.2940000000000005,-594.963,,,0.0,172.512,,4.834,,millions,USD
H1-2018,292.551,109.627,182.92399999999998,62.53,-96.35,-32.93,-86.052,-91.116,-31.15,,-28.827,13.585,-42.412000000000006,-628.936,,,0.0,112.472,,8.793,,millions,USD
Q2 2018,161.192,57.974,103.21800000000002,64.03,-41.368,-25.66,-35.857,-38.407,-23.83,,-42.361,5.345,-47.705999999999996,-628.936,,,0.0,112.472,,3.959,,millions,USD
Q3 2018,190.197,63.649,126.548,66.54,-22.431,-11.79,-17.314,-18.874,-9.92,,-12.719,4.051,-16.77,-644.077,,,0.0,100.063,,3.888,,millions,USD
FY2018,755.932,241.584,514.348,68.04,-74.721,-9.88,-53.862,-62.974,-8.33,,-60.369,22.194,-82.563,-594.563,1152.731,281.895,0.0,122.509,127.298,14.859,,millions,USD
Q1 2019,201.911,73.694,128.21699999999998,63.5,-44.826,-22.2,-39.13,-41.42,-20.51,,33.122,3.706,29.416,-633.989,1141.24,309.83,0.0,134.648,,0.694,,millions,USD
H1-2019,463.16,179.109,284.05100000000004,61.33,-1211.969,-261.67,-1199.766,-1200.921,-259.29,,-16.375,11.914,-28.289,2073.24,2387.176,313.936,0.0,1408.739,,1135.293,,millions,USD
Q2 2019,261.249,105.415,155.834,59.65,-1167.143,-446.76,-1160.636,-1159.501,-443.83,,-49.497,8.208,-57.705,2073.24,2387.176,313.936,0.0,1408.739,,1134.599,,millions,USD
Q3 2019,279.703,83.52,196.183,70.14,-133.71,-47.8,-126.417,-124.732,-44.59,,7.474,8.519,-1.045,1956.401,2280.472,324.071,0.0,1033.871,,130.288,,millions,USD
FY2019,1142.761,358.903,783.858,68.59,-1388.866,-121.54,-1361.075,-1361.371,-119.13,-3.24,0.657,33.783,-33.126,2023.705,2393.317,369.612,0.0,649.666,420.473,1377.781,,millions,USD
Q1 2020,271.94,99.232,172.708,63.51,-146.09,-53.72,-134.344,-141.196,-51.92,,57.29,,,1938.48,2288.612,350.132,0.0,740.833,,81.024,,millions,USD
H1-2020,544.425,207.491,336.93399999999997,61.89,-250.62,-46.03,-230.389,-241.944,-44.44,-0.42,20.767,,,1906.63,2249.624,342.994,0.0,863.62,581.518,143.169,,millions,USD
Q2 2020,272.485,108.259,164.226,60.27,-104.53,-38.36,-96.045,-100.748,-36.97,-0.17,-36.523,,,1906.63,2249.624,342.994,0.0,863.62,586.737,62.145,,millions,USD
Q3 2020,442.616,112.844,329.772,74.51,-97.033,-21.92,-88.09,-94.22,-21.29,-0.16,-92.637,,,1934.604,2301.038,366.434,0.0,652.723,603.49,91.632,,millions,USD
