Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,RealisedPricePerDmt,UnderlyingEBITDA,LithiaContentPct,OperatingCostsCIF,OperatingCostsFOB,UnitCostCIFPerDmt,UnitCostFOBPerDmt
H1 FY2016,,,,,-10.221,,,-12.337,,-0.0173,-6.393,3.086,-9.479,21.519,31.74,10.221,8.026,12.885,,6.102,,,,,,millions,AUD,,,,,,,
FY2016,,,,,-53.217,,-53.166,-55.607,,-0.0676,-14.56,4.626,-19.186,98.431,102.733,4.302,0.346,100.04,822.982,26.562,,,,,,millions,AUD,,,,,,,
H1 FY2017,,,,,-20.696,,,-19.199,,-0.0162,-9.911,5.248,-15.159,139.556,145.879,6.323,0.127,80.39,,9.696,,,,,,millions,AUD,,,,,,,
FY2017,,,,,-28.027,,-27.936,-25.954,,-0.0211,-16.284,44.926,-61.21,200.172,336.478,136.306,124.428,87.248,1229.567,12.415,,,,,,millions,AUD,,,,,,,
H1 FY2018,,,,,-9.012,,,-9.973,,-0.0064,-4.97,70.812,-75.782,264.74,402.069,137.329,122.722,71.966,,2.631,,,,,,millions,AUD,,,,,,,
FY2018,10.188,6.213,3.975,39.0,-16.905,-165.9,-16.754,-19.415,-190.6,-0.0119,-8.998,219.043,-228.041,343.241,531.98,188.739,131.142,119.978,1628.224,4.63,,,,,,millions,AUD,,,,,,,
H1 FY2019,14.39,8.389,6.001,41.7,-6.552,-45.5,,-11.899,-82.7,-0.0068,-7.08,92.642,-99.722,333.13,534.435,201.305,141.729,70.261,,1.788,,,,,,millions,AUD,,,,,,,
FY2019,42.785,36.581,6.204,14.5,-18.54,-43.3,,-28.932,-67.6,-0.0163,-10.441,178.216,-188.657,376.65,582.271,205.621,138.999,63.576,1771.835,2.229,,,,,,millions,AUD,,,,,,,
H1 FY2020,37.768,56.897,-19.129,-50.6,-52.046,-137.8,,-63.387,-167.8,-0.0313,-32.864,18.44,-51.304,421.414,636.933,215.519,174.778,105.546,,0.568,,,,,,millions,AUD,,,,,,,
FY2020,84.147,112.085,-27.938,-33.2,-71.616,-85.1,-55.205,-99.262,-118.0,-0.0467,-18.966,22.612,-41.578,386.974,602.464,215.49,176.45,86.25,2124.345,2.341,,,,,,millions,AUD,,,,,,,
H1 FY2021,59.097,58.484,0.613,1.0,-11.163,-18.9,1.454,-21.159,-35.8,-0.0093,6.075,1.688,4.387,542.502,762.403,219.901,171.209,247.987,,2.367,,,,,,millions,AUD,,,,,,,
FY2021,175.824,155.754,20.07,11.4,-22.368,-12.7,4.262,-51.448,-29.3,-0.02,18.776,20.488,-1.712,574.245,949.72,375.475,166.965,99.712,2571.59,4.869,,,,,,millions,AUD,,,,,,,
H1 FY2022,291.725,133.275,158.45,54.3,135.979,46.6,151.847,114.0,39.1,0.0381,116.693,37.991,78.702,840.927,1195.292,354.365,212.608,191.244,,2.994,,,,,,millions,AUD,,,,,,,
FY2022,1189.591,380.284,809.307,68.0,769.072,64.7,813.955,561.825,47.2,0.1847,647.607,128.327,519.28,1292.026,1978.388,686.362,291.964,591.739,3041.824,5.178,,814.5,,,,millions,AUD,,814.5,,,,,
H1 FY2023,2180.127,380.7,1799.427,82.5,1765.78,81.0,1812.873,1241.905,57.0,0.4105,1804.956,128.315,1676.641,2565.59,3805.509,1239.919,323.531,2226.493,,3.871,,,,,,millions,AUD,,,,,,,
FY2023,4064.019,776.261,3287.758,80.9,3211.923,79.0,3317.762,2391.135,58.8,0.7893,3456.693,385.54,3071.153,3390.022,5198.835,1808.813,471.949,3338.553,3029.437,12.808,0.25,3317.156,,,,millions,AUD,4447.0,3317.156,5.3,663.0,373.0,1091.0,613.0
H1 FY2024,757.231,339.65,417.581,55.1,358.53,47.3,423.873,220.154,29.1,0.0725,-318.829,398.289,-717.118,3205.226,4397.26,1192.034,577.615,2144.2,,7.694,,,,,,millions,AUD,,,,,,,
FY2024,1254.118,725.282,528.836,42.2,397.719,31.7,548.096,256.883,20.5,0.0845,-440.224,810.001,-1250.225,3244.169,4309.245,1065.076,555.743,1626.476,3040.036,15.78,,537.544,,,,millions,AUD,1176.0,537.544,5.3,579.0,462.0,818.0,654.0
H1 FY2025,425.682,389.514,36.168,8.5,-39.658,-9.3,48.33,-69.371,-16.3,-0.023,40.412,423.828,-383.416,3178.939,4184.897,1005.958,634.425,1171.012,,5.875,,,,,,millions,AUD,,,,,,,
FY2025,768.85,776.95,-8.1,-1.1,-143.779,-18.7,77.51,-195.766,-25.5,-0.0633,146.215,634.72,-488.505,3531.404,4667.395,1135.991,682.211,974.417,3094.022,11.212,,97.391,,,,millions,AUD,,97.391,,559.0,476.0,735.0,627.0
H1 FY2026,624.208,425.891,198.317,31.8,113.836,18.2,236.641,32.82,5.3,0.0101,179.706,123.254,56.452,3569.836,4698.408,1128.572,720.011,954.393,,7.984,,252.837,,,,millions,AUD,,252.837,,,,,
FY2026,1934.018,930.029,1003.989,51.9,840.212,43.4,1114.743,525.761,27.2,0.1614,1364.686,329.43,1035.256,4081.737,6257.957,2176.22,1232.209,2289.977,3257.503,22.205,,1136.993,,,,millions,AUD,,1136.993,,659.0,507.0,739.0,569.0
