Date,Close
2016-10-01,0.12
2016-11-01,0.15
2016-12-01,0.13
2017-01-01,0.15
2017-02-01,0.15
2017-03-01,0.215
2017-04-01,0.18
2017-05-01,0.15
2017-06-01,0.175
2017-07-01,0.185
2017-08-01,0.165
2017-09-01,0.185
2017-10-01,0.175
2017-11-01,0.17
2017-12-01,0.175
2018-01-01,0.175
2018-02-01,0.165
2018-03-01,0.165
2018-04-01,0.145
2018-05-01,0.155
2018-06-01,0.26
2018-07-01,0.37
2018-08-01,0.43
2018-09-01,0.48
2018-10-01,0.42
2018-11-01,0.42
2018-12-01,0.37
2019-01-01,0.65
2019-02-01,0.66
2019-03-01,0.78
2019-04-01,0.72
2019-05-01,0.6
2019-06-01,0.73
2019-07-01,0.61
2019-08-01,0.55
2019-09-01,0.59
2019-10-01,0.7
2019-11-01,0.66
2019-12-01,0.6
2020-01-01,0.57
2020-02-01,0.49
2020-03-01,0.37
2020-04-01,0.45
2020-05-01,0.56
2020-06-01,0.495
2020-07-01,0.51
2020-08-01,0.56
2020-09-01,0.82
2020-10-01,0.61
2020-11-01,0.56
2020-12-01,0.57
2021-01-01,0.6
2021-02-01,0.79
2021-03-01,0.71
2021-04-01,0.63
2021-05-01,0.59
2021-06-01,0.59
2021-07-01,0.47
2021-08-01,0.445
2021-09-01,0.42
2021-10-01,0.39
2021-11-01,0.39
2021-12-01,0.375
2022-01-01,0.34
2022-02-01,0.35
2022-03-01,0.45
2022-04-01,0.425
2022-05-01,0.335
2022-06-01,0.315
2022-07-01,0.355
2022-08-01,0.345
2022-09-01,0.39
2022-10-01,0.48
2022-11-01,0.56
2022-12-01,0.57
2023-01-01,0.63
2023-02-01,0.61
2023-03-01,0.52
2023-04-01,0.55
2023-05-01,0.57
2023-06-01,0.49
2023-07-01,0.4
2023-08-01,0.43
2023-09-01,0.415
2023-10-01,0.49
2023-11-01,0.65
2023-12-01,0.65
2024-01-01,0.79
2024-02-01,1.02
2024-03-01,1.1
2024-04-01,1.02
2024-05-01,1.02
2024-06-01,1.02
2024-07-01,1.24
2024-08-01,1.5
2024-09-01,1.76
2024-10-01,2
2024-11-01,2.33
2024-12-01,2.75
2025-01-01,2.64
2025-02-01,2.27
2025-03-01,2.43
2025-04-01,2.46
2025-05-01,2.4
2025-06-01,3.07
2025-07-01,3.42
2025-08-01,3.4
2025-09-01,4.54
2025-10-01,6.45
2025-11-01,5.93
2025-12-01,6.4
2026-01-01,7.98
2026-02-01,8.5
2026-03-01,8
2026-04-01,7.81
2026-05-01,7.44
2026-06-01,6.34
2026-07-01,5.81
2026-08-01,5.18
2026-09-01,5.13
2026-09-04,5.13
