Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AUM,EPSDiluted,ShareOfAssociatesProfit,UnderlyingEPS,UnderlyingNPAT,NetSeedInvestmentFlow,OperatingCashFlowExSeed
H1 FY2016,3.646,,,,,,,1.764,,0.016,-3.228,0.085,-3.313,40.328,,,,13.013,110.25,0.256,,,,,,millions,AUD,,0.016,,,,-2.277,-0.951
FY2016,8.384,,,,,,,4.537,,0.041,-0.175,0.133,-0.308,43.131,58.413,8.83,0.0,13.544,110.659,0.531,0.033,,,,,millions,AUD,19.8,0.041,15.92,,5.8,-4.29,4.115
H1 FY2017,4.848,,,,,,,2.828,,0.02,4.435,0.019,4.416,40.569,45.983,5.414,0.0,6.597,141.4,0.329,,,,,,millions,AUD,,0.02,,,,2.149,2.286
FY2017,10.976,,,,,,,13.098,,0.089,-17.418,0.055,-17.473,75.66,81.752,6.092,0.0,10.945,159.732,0.575,,,,,,millions,AUD,,0.082,17.598,,,-20.655,3.237
H1 FY2018,7.25,,,,,,,8.103,,0.054,12.075,0.023,12.052,77.272,82.867,5.595,0.0,6.89,162.06,0.245,,,,,,millions,AUD,,0.05,,,,5.271,6.804
FY2018,16.542,,,,,,,23.476,,0.145,20.87,0.043,20.827,98.097,104.899,6.802,0.0,9.332,175.194,0.364,,,,,,millions,AUD,,0.134,24.903,,,8.299,12.571
H1 FY2019,8.582,,,,,,,10.108,,0.061,-9.425,0.054,-9.479,165.262,171.921,6.659,0.0,9.018,177.333,0.457,,,,,,millions,AUD,,0.057,,,,-17.318,7.893
FY2019,21.123,,,,,,,30.549,,0.183,21.09,0.053,21.037,177.053,186.758,9.705,0.0,26.72,178.649,1.435,,,,,,millions,AUD,,0.171,33.133,,,-0.356,21.446
H1 FY2020,11.419,,,,,,,13.825,,0.081,2.724,2.397,0.327,176.49,219.175,42.685,30.037,7.884,179.545,1.013,,,,,,millions,AUD,,0.077,,,,-12.229,14.953
FY2020,22.407,,,,,,,32.206,,0.188,22.094,2.698,19.396,188.547,238.633,50.086,30.021,16.066,179.922,1.961,,,,,,millions,AUD,,0.179,37.953,,,-10.356,32.45
H1 FY2021,14.384,,,,,,,30.343,,0.175,14.188,0.0,14.188,205.837,252.713,46.876,30.021,10.8,181.695,1.075,,,,,,millions,AUD,,0.167,,,,-6.055,20.243
FY2021,32.514,,,,,,,67.017,,0.382,32.971,0.055,32.916,243.892,366.2,122.308,100.022,96.136,183.608,2.007,,,,,,millions,AUD,,0.365,66.44,,,-23.673,56.644
H1 FY2022,21.585,,,,,,,40.064,,0.215,-57.139,2.01,-59.149,397.585,510.07,112.485,100.035,29.368,190.781,1.361,,,,,,millions,AUD,,0.21,,,,-89.622,32.483
FY2022,45.997,,,,,,,76.365,,0.402,-14.926,2.013,-16.939,402.184,536.758,134.574,120.085,38.265,193.329,2.848,,,,,,millions,AUD,,0.395,75.686,,,-84.924,69.998
H1 FY2023,22.778,,,,,,,30.488,,0.157,10.597,0.003,10.594,404.534,531.828,127.294,120.133,15.047,195.436,1.634,,,,,,millions,AUD,,0.156,,,,-20.533,31.13
FY2023,45.513,,,,,,,76.472,,0.393,55.041,0.009,55.032,422.573,552.636,130.063,120.137,27.616,196.082,3.408,,,,,,millions,AUD,,0.39,67.359,,,-5.858,60.899
H1 FY2024,23.683,,,,,,,30.227,,0.154,54.405,0.026,54.379,417.178,536.804,119.626,100.129,15.014,197.562,1.672,,,,,,millions,AUD,,0.153,,,,26.899,27.506
FY2024,48.988,,,,,,,90.351,,0.458,96.301,0.036,96.265,455.894,582.992,127.098,100.131,32.565,198.574,3.16,,,,,,millions,AUD,,0.455,90.816,,,21.324,74.977
H1 FY2025,27.643,,,,,,,75.707,,0.369,-153.253,0.009,-153.262,928.786,1061.79,133.004,100.168,90.403,206.321461,1.753,,,,,,millions,AUD,,0.367,,,,-184.947,31.694
FY2025,65.475,,,,,,,134.427,,0.632,-145.167,0.326,-145.493,918.417,1058.615,140.198,100.046,26.557,215.573725,4.169,,,,,,millions,AUD,,0.624,129.723,0.53,114.0,-260.773,115.606
H1 FY2026,46.065,,,,,,,67.335,,0.304,83.129,0.061,83.068,933.863,1067.541,133.678,100.031,55.409,223.622135,2.503,,,,,,millions,AUD,,0.301,,,,55.952,27.177
FY2026,109.688,,,,,,,176.712,,0.787,348.343,5.814,342.529,1155.193,1483.572,328.379,251.868,89.45,226.339479,6.745,0.6,,,,,millions,AUD,229.4,0.781,136.038,0.61,138.0,235.277,113.066
