Date,Close
2016-09-30,2.1
2016-10-31,2.5
2016-11-30,2.43
2016-12-31,2.56
2017-01-31,2.25
2017-02-28,2.34
2017-03-31,2.28
2017-04-30,2.35
2017-05-31,2.9
2017-06-30,3.26
2017-07-31,3.28
2017-08-31,3.13
2017-09-30,3.25
2017-10-31,3.7
2017-11-30,3.71
2017-12-31,4.62
2018-01-31,4.6
2018-02-28,4.26
2018-03-31,4.51
2018-04-30,5.25
2018-05-31,5.37
2018-06-30,6.19
2018-07-31,7.37
2018-08-31,7.93
2018-09-30,5.5
2018-10-31,5.56
2018-11-30,4.39
2018-12-31,4.6
2019-01-31,5.1
2019-02-28,5.3
2019-03-31,6.1
2019-04-30,5.25
2019-05-31,4.38
2019-06-30,4.35
2019-07-31,4.41
2019-08-31,4.4
2019-09-30,4.92
2019-10-31,4.96
2019-11-30,4.66
2019-12-31,4.79
2020-01-31,5.23
2020-02-29,2.83
2020-03-31,3.96
2020-04-30,4.27
2020-05-31,3.92
2020-06-30,5.05
2020-07-31,5.38
2020-08-31,5.07
2020-09-30,5.06
2020-10-31,6.14
2020-11-30,7.1
2020-12-31,7.38
2021-01-31,9.17
2021-02-28,9.22
2021-03-31,10.6
2021-04-30,10.33
2021-05-31,11.97
2021-06-30,13.14
2021-07-31,17.23
2021-08-31,15.72
2021-09-30,17.16
2021-10-31,16.51
2021-11-30,15.61
2021-12-31,11.28
2022-01-31,10.26
2022-02-28,10.6
2022-03-31,9.51
2022-04-30,8.25
2022-05-31,7.03
2022-06-30,10.01
2022-07-31,10.31
2022-08-31,8.31
2022-09-30,8.14
2022-10-31,8.66
2022-11-30,8.73
2022-12-31,10.4
2023-01-31,9.23
2023-02-28,7.85
2023-03-31,8.22
2023-04-30,8.94
2023-05-31,9.98
2023-06-30,10.5
2023-07-31,9.36
2023-08-31,9
2023-09-30,7.74
2023-10-31,8.83
2023-11-30,10.08
2023-12-31,10.25
2024-01-31,11.22
2024-02-29,11.63
2024-03-31,11.33
2024-04-30,13.18
2024-05-31,14.18
2024-06-30,16.4
2024-07-31,17.49
2024-08-31,18.05
2024-09-30,20.13
2024-10-31,23.44
2024-11-30,22.85
2024-12-31,25.59
2025-01-31,22.81
2025-02-28,17.56
2025-03-31,18.08
2025-04-30,20.13
2025-05-31,20.54
2025-06-30,22.38
2025-07-31,21.47
2025-08-31,17.95
2025-09-30,19.76
2025-10-31,18.26
2025-11-30,17.15
2025-12-31,16.98
2026-01-31,15.72
2026-02-28,14.13
2026-03-31,14.82
2026-04-30,15.4
2026-05-31,17.11
2026-06-30,15.98
2026-07-31,16.87
2026-08-31,13.54
2026-09-25,13.01
