Date,Close
2016-09-30,3.9
2016-10-31,3.76
2016-11-30,3.85
2016-12-31,4.19
2017-01-31,4.35
2017-02-28,4.17
2017-03-31,4.11
2017-04-30,4.49
2017-05-31,4.45
2017-06-30,4.68
2017-07-31,4.45
2017-08-31,4.28
2017-09-30,4.58
2017-10-31,4.6
2017-11-30,4.94
2017-12-31,5.15
2018-01-31,5.1
2018-02-28,4.79
2018-03-31,4.89
2018-04-30,5.15
2018-05-31,5.1
2018-06-30,4.98
2018-07-31,5.07
2018-08-31,5.23
2018-09-30,5.07
2018-10-31,5.08
2018-11-30,5
2018-12-31,5.15
2019-01-31,5.34
2019-02-28,5.43
2019-03-31,5.9
2019-04-30,6.05
2019-05-31,6.34
2019-06-30,6.17
2019-07-31,6.4
2019-08-31,6.46
2019-09-30,6.69
2019-10-31,6.86
2019-11-30,7.95
2019-12-31,7.58
2020-01-31,6.55
2020-02-29,6.05
2020-03-31,6.73
2020-04-30,7.2
2020-05-31,7.7
2020-06-30,7.7
2020-07-31,7.35
2020-08-31,7.35
2020-09-30,7.24
2020-10-31,7.31
2020-11-30,7.4
2020-12-31,7.54
2021-01-31,7.62
2021-02-28,7.71
2021-03-31,7.4
2021-04-30,7.49
2021-05-31,7.03
2021-06-30,7.14
2021-07-31,7.46
2021-08-31,7.1
2021-09-30,6.9
2021-10-31,6.7
2021-11-30,6.67
2021-12-31,6.44
2022-01-31,6.07
2022-02-28,6.18
2022-03-31,6.49
2022-04-30,6.38
2022-05-31,6.22
2022-06-30,6.98
2022-07-31,6.72
2022-08-31,6.45
2022-09-30,6.49
2022-10-31,6.34
2022-11-30,6.27
2022-12-31,6.28
2023-01-31,6.21
2023-02-28,6.25
2023-03-31,6.31
2023-04-30,6.33
2023-05-31,6.24
2023-06-30,6.2
2023-07-31,6
2023-08-31,5.88
2023-09-30,5.1
2023-10-31,5.37
2023-11-30,5.6
2023-12-31,5.33
2024-01-31,5.4
2024-02-29,5.4
2024-03-31,4.9
2024-04-30,5
2024-05-31,4.72
2024-06-30,5.52
2024-07-31,5.5
2024-08-31,5.95
2024-09-30,5.95
2024-10-31,6.14
2024-11-30,6.43
2024-12-31,6.5
2025-01-31,6.85
2025-02-28,6.63
2025-03-31,6.15
2025-04-30,6.55
2025-05-31,6.85
2025-06-30,6.96
2025-07-31,7.06
2025-08-31,7.49
2025-09-30,7.86
2025-10-31,7.58
2025-11-30,7.71
2025-12-31,8.01
2026-01-31,8.05
2026-02-28,7.78
2026-03-31,8.3
2026-04-30,8.13
2026-05-31,8.9
2026-06-30,8.1
2026-07-31,8.16
2026-08-31,8.25
2026-09-08,8.23
