Date,Close
2016-09-30,1.26081
2016-10-31,1.15574
2016-11-30,1.2035
2016-12-31,1.33722
2017-01-31,1.44707
2017-02-28,1.35633
2017-03-31,1.30379
2017-04-30,1.37543
2017-05-31,1.75272
2017-06-30,1.85778
2017-07-31,2.04404
2017-08-31,1.91987
2017-09-30,2.0727
2017-10-31,2.28283
2017-11-30,2.51207
2017-12-31,2.49296
2018-01-31,2.51207
2018-02-28,2.57893
2018-03-31,2.66489
2018-04-30,2.41655
2018-05-31,1.75272
2018-06-30,1.74317
2018-07-31,1.615
2018-08-31,1.77
2018-09-30,1.715
2018-10-31,1.45
2018-11-30,1.19
2018-12-31,1.26
2019-01-31,1.74
2019-02-28,1.63
2019-03-31,1.64
2019-04-30,1.465
2019-05-31,1.825
2019-06-30,1.975
2019-07-31,1.995
2019-08-31,2.23
2019-09-30,2.29
2019-10-31,1.945
2019-11-30,1.62
2019-12-31,1.535
2020-01-31,1.35
2020-02-29,0.61
2020-03-31,0.91
2020-04-30,1.19
2020-05-31,1.155
2020-06-30,1.195
2020-07-31,1.205
2020-08-31,1.145
2020-09-30,1.045
2020-10-31,1.305
2020-11-30,1.37
2020-12-31,1.3
2021-01-31,1.14
2021-02-28,1.015
2021-03-31,1.09
2021-04-30,0.67
2021-05-31,0.67
2021-06-30,0.91
2021-07-31,0.875
2021-08-31,0.82
2021-09-30,1.02
2021-10-31,0.82
2021-11-30,0.925
2021-12-31,0.77
2022-01-31,0.76
2022-02-28,0.75
2022-03-31,0.71
2022-04-30,0.665
2022-05-31,0.655
2022-06-30,0.575
2022-07-31,0.78
2022-08-31,0.925
2022-09-30,0.96
2022-10-31,1.1
2022-11-30,1.315
2022-12-31,1.255
2023-01-31,1.06
2023-02-28,1.215
2023-03-31,1.155
2023-04-30,1.175
2023-05-31,1.025
2023-06-30,1.195
2023-07-31,1.06
2023-08-31,1.08
2023-09-30,1.065
2023-10-31,1.05
2023-11-30,1.04
2023-12-31,0.815
2024-01-31,0.91
2024-02-29,0.98
2024-03-31,0.955
2024-04-30,1.005
2024-05-31,1
2024-06-30,1.05
2024-07-31,1.035
2024-08-31,1.09
2024-09-30,1.175
2024-10-31,1.24
2024-11-30,1.395
2024-12-31,1.4
2025-01-31,1.28
2025-02-28,1.335
2025-03-31,1.365
2025-04-30,1.575
2025-05-31,1.62
2025-06-30,1.755
2025-07-31,2.36
2025-08-31,2.81
2025-09-30,2.71
2025-10-31,2.93
2025-11-30,2.79
2025-12-31,2.81
2026-01-31,2.35
2026-02-28,1.95
2026-03-31,1.85
2026-04-30,2.11
2026-05-31,2.25
2026-06-30,2.12
2026-07-31,2.26
2026-08-31,2.23
2026-09-25,2.195
