Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AISC,CashTaxRate,GoldPriceAchieved,GoldProduction
H1 FY2016,149.111,,,,14.158,9.5,36.473,12.127,8.1,0.0225,10.304,26.226,-15.922,581.635,717.427,124.295,0.0,94.641,538.98,0.165,,,,,,millions,AUD,,0.0,,
FY2016,252.203,,,,-43.992,-17.4,4.064,-35.64,-14.1,-0.0574,30.395,74.168,-43.773,761.146,943.075,173.737,0.0,151.257,621.364,0.729,,,,,,millions,AUD,,,,
H1 FY2017,110.866,,,,-37.513,-33.8,-15.714,-22.285,-20.1,-0.0221,-17.387,93.43,-110.817,765.461,942.241,170.295,0.0,54.655,1008.37,,,,,,,millions,AUD,,,,
FY2017,282.648,,,,-94.188,-33.3,-38.017,-76.18,-27.0,-0.0741,0.86,159.593,-158.733,708.925,864.799,149.5,18.158,24.027,1027.96,3.043,,,,,,millions,AUD,,,,
H1 FY2018,167.483,,,,-7.28,-4.3,34.783,-12.134,-7.2,-0.0118,23.793,71.216,-47.423,694.145,901.38,200.389,60.903,21.833,1028.31,,,,,,,millions,AUD,,,,
FY2018,378.076,359.745,18.331,4.8,-16.02,-4.2,103.564,-25.853,-6.8,-0.025,68.291,119.678,-51.387,706.861,963.188,248.874,85.015,31.166,1034.12,1.835,,,,,,millions,AUD,,,,
H1 FY2019,281.643,277.078,4.565,1.6,8.827,3.1,86.983,10.438,3.7,0.0088,85.614,26.485,59.129,728.903,953.513,217.056,68.748,63.095,1186.14,,,,,,,millions,AUD,,0.0,,
FY2019,508.646,497.602,11.044,2.2,11.791,2.3,165.048,6.991,1.4,0.0059,146.224,65.22,81.004,776.216,969.283,185.771,44.827,125.406,1184.92,2.4,,,,,,millions,AUD,,0.0,,
H1 FY2020,274.421,226.599,47.822,17.4,45.826,16.7,123.938,29.813,10.9,0.025,73.212,150.277,-77.065,798.943,1051.866,243.195,73.506,67.467,1192.52,,,,,,,millions,AUD,,0.0,,
FY2020,591.238,450.78,140.458,23.8,130.752,22.1,264.809,94.356,16.0,0.0788,212.791,273.193,-60.402,866.807,1295.715,420.163,219.456,218.166,1197.59,4.525,,,,,,millions,AUD,,20.9,,
H1 FY2021,286.678,206.205,80.473,28.1,59.193,20.6,104.7,36.149,12.6,0.0294,103.629,152.798,-49.169,953.092,1339.794,369.941,170.318,120.531,1229.56,2.055,,,,,,millions,AUD,,32.3,,
FY2021,679.731,480.297,199.434,29.3,168.304,24.8,273.128,116.221,17.1,0.0937,302.018,249.488,52.53,1031.42,1409.598,350.499,137.403,181.545,1239.93,4.471,,,,,,millions,AUD,,12.8,,
H1 FY2022,545.671,392.224,153.447,28.1,133.945,24.5,233.208,111.456,20.4,0.089,245.905,66.157,179.748,1132.627,1489.189,315.503,74.983,268.223,1252.31,2.717,,,,,,millions,AUD,,4.6,,
FY2022,1125.547,775.649,349.898,31.1,289.392,25.7,504.395,233.595,20.8,0.1843,522.908,139.874,383.034,1466.257,1988.688,346.531,86.543,426.846,1267.78,4.575,,,,,,millions,AUD,,0.8,,
H1 FY2023,664.984,416.209,248.775,37.4,235.615,35.4,341.985,180.784,27.2,0.1311,299.799,87.894,211.905,1636.736,2089.518,253.44,4.059,528.916,1378.98,1.346,,,,,,millions,AUD,,6.3,,
FY2023,960.447,554.728,405.719,42.2,387.494,40.3,535.29,287.756,30.0,0.2086,426.643,133.961,292.682,1281.902,1609.061,179.891,2.6,484.494,1379.46,2.571,,,,,,millions,USD,,17.9,,
H1 FY2024,488.959,278.616,210.343,43.0,206.125,42.2,276.598,145.504,29.8,0.1053,211.212,55.368,155.844,1429.387,1763.713,175.929,2.448,581.364,1381.8,1.096,,,,,,millions,USD,,18.7,,
FY2024,1025.799,542.27,483.529,47.1,473.631,46.2,616.013,324.281,31.6,0.2345,429.178,121.283,307.895,1580.278,1985.786,205.81,3.22,536.914,1382.99,2.436,,,,,,millions,USD,,23.5,,
H1 FY2025,581.786,316.51,265.276,45.6,260.844,44.8,348.82,178.291,30.6,0.1288,247.553,66.478,181.075,1672.909,2088.918,210.658,2.795,628.465,1384.25,0.562,,,,,,millions,USD,,15.4,,
FY2025,1248.082,660.543,587.539,47.1,573.135,45.9,726.94,370.867,29.7,0.2684,536.659,207.121,329.538,1999.789,2480.511,270.944,2.754,751.829,1381.52,3.394,,,,,,millions,USD,,23.2,,
H1 FY2026,608.461,338.47,269.991,44.4,242.509,39.9,289.976,163.54,26.9,0.1202,193.368,165.579,27.789,2233.047,2718.044,253.015,2.502,683.097,1360.57,1.136,,,,,,millions,USD,,17.6,,
FY2026,1483.908,739.562,744.346,50.2,727.792,49.0,844.675,428.243,28.9,0.3153,666.42,469.094,197.326,2298.567,2926.704,464.451,2.11,924.057,1358.16,2.805,,,,,,millions,USD,1750.0,22.7,3693.0,404998.0
