Date,Close
2016-09-30,0.6
2016-10-31,0.585
2016-11-30,0.335
2016-12-31,0.335
2017-01-31,0.31
2017-02-28,0.31
2017-03-31,0.29
2017-04-30,0.285
2017-05-31,0.29
2017-06-30,0.315
2017-07-31,0.3
2017-08-31,0.335
2017-09-30,0.32
2017-10-31,0.325
2017-11-30,0.375
2017-12-31,0.425
2018-01-31,0.4
2018-02-28,0.465
2018-03-31,0.465
2018-04-30,0.445
2018-05-31,0.43
2018-06-30,0.4
2018-07-31,0.36
2018-08-31,0.38
2018-09-30,0.36
2018-10-31,0.35
2018-11-30,0.42
2018-12-31,0.415
2019-01-31,0.445
2019-02-28,0.46
2019-03-31,0.45
2019-04-30,0.455
2019-05-31,0.585
2019-06-30,0.69
2019-07-31,0.75
2019-08-31,0.7
2019-09-30,0.855
2019-10-31,0.87
2019-11-30,1.16
2019-12-31,1.155
2020-01-31,1.035
2020-02-29,0.925
2020-03-31,0.965
2020-04-30,1.295
2020-05-31,1.31
2020-06-30,1.535
2020-07-31,1.445
2020-08-31,1.365
2020-09-30,1.215
2020-10-31,1.11
2020-11-30,1.3
2020-12-31,1.18
2021-01-31,1.165
2021-02-28,1.07
2021-03-31,1.225
2021-04-30,1.45
2021-05-31,1.46
2021-06-30,1.675
2021-07-31,1.55
2021-08-31,1.4
2021-09-30,1.58
2021-10-31,1.64
2021-11-30,1.62
2021-12-31,1.455
2022-01-31,1.825
2022-02-28,1.96
2022-03-31,1.985
2022-04-30,1.94
2022-05-31,1.585
2022-06-30,1.69
2022-07-31,1.575
2022-08-31,1.52
2022-09-30,1.825
2022-10-31,2.23
2022-11-30,2.11
2022-12-31,2.14
2023-01-31,1.965
2023-02-28,2.38
2023-03-31,2.23
2023-04-30,1.825
2023-05-31,1.65
2023-06-30,1.735
2023-07-31,1.885
2023-08-31,1.645
2023-09-30,1.705
2023-10-31,1.93
2023-11-30,1.85
2023-12-31,1.805
2024-01-31,1.755
2024-02-29,2.15
2024-03-31,2.31
2024-04-30,2.35
2024-05-31,2.35
2024-06-30,2.53
2024-07-31,2.64
2024-08-31,2.61
2024-09-30,2.87
2024-10-31,2.64
2024-11-30,2.57
2024-12-31,2.87
2025-01-31,2.93
2025-02-28,3.33
2025-03-31,3.35
2025-04-30,3.89
2025-05-31,3.4
2025-06-30,3.27
2025-07-31,3.78
2025-08-31,4.9
2025-09-30,4.87
2025-10-31,5.65
2025-11-30,5.68
2025-12-31,5.9
2026-01-31,6
2026-02-28,5.15
2026-03-31,5.43
2026-04-30,5.17
2026-05-31,4.8
2026-06-30,4.85
2026-07-31,6.48
2026-08-31,6.64
2026-09-25,6.635
