Date,Close
2016-10-01,41.66
2016-11-01,39.28
2016-12-01,39.47
2017-01-01,39.78
2017-02-01,42
2017-03-01,43.02
2017-04-01,47.72
2017-05-01,52.21
2017-06-01,53.67
2017-07-01,58.55
2017-08-01,61.68
2017-09-01,64.03
2017-10-01,72.56
2017-11-01,75.73
2017-12-01,73.62
2018-01-01,85.32
2018-02-01,79.41
2018-03-01,75.87
2018-04-01,74.61
2018-05-01,82.07
2018-06-01,83.27
2018-07-01,82.14
2018-08-01,92.33
2018-09-01,87.84
2018-10-01,84.19
2018-11-01,85.81
2018-12-01,84.09
2019-01-01,88.76
2019-02-01,98.07
2019-03-01,103.84
2019-04-01,112.77
2019-05-01,109.75
2019-06-01,114.46
2019-07-01,110.4
2019-08-01,109.05
2019-09-01,103.59
2019-10-01,104.1
2019-11-01,108.01
2019-12-01,108.17
2020-01-01,113.89
2020-02-01,107.99
2020-03-01,95.74
2020-04-01,123
2020-05-01,155.01
2020-06-01,174.23
2020-07-01,196.07
2020-08-01,204.14
2020-09-01,197.03
2020-10-01,186.13
2020-11-01,214.12
2020-12-01,234.2
2021-01-01,234.31
2021-02-01,259.85
2021-03-01,242.84
2021-04-01,262.29
2021-05-01,260.02
2021-06-01,291.48
2021-07-01,275.53
2021-08-01,288.66
2021-09-01,260.21
2021-10-01,232.59
2021-11-01,184.89
2021-12-01,188.58
2022-01-01,171.94
2022-02-01,111.93
2022-03-01,115.65
2022-04-01,87.93
2022-05-01,85.21
2022-06-01,69.84
2022-07-01,86.53
2022-08-01,93.44
2022-09-01,86.07
2022-10-01,83.58
2022-11-01,78.41
2022-12-01,71.22
2023-01-01,81.49
2023-02-01,73.6
2023-03-01,75.94
2023-04-01,76
2023-05-01,61.99
2023-06-01,66.73
2023-07-01,75.82
2023-08-01,62.51
2023-09-01,58.46
2023-10-01,51.8
2023-11-01,57.61
2023-12-01,61.41
2024-01-01,61.35
2024-02-01,60.34
2024-03-01,66.99
2024-04-01,67.92
2024-05-01,62.99
2024-06-01,58.03
2024-07-01,65.78
2024-08-01,72.43
2024-09-01,78.03
2024-10-01,79.3
2024-11-01,86.77
2024-12-01,85.35
2025-01-01,88.58
2025-02-01,71.05
2025-03-01,65.25
2025-04-01,65.84
2025-05-01,70.28
2025-06-01,74.32
2025-07-01,68.76
2025-08-01,70.19
2025-09-01,67.06
2025-10-01,69.27
2025-11-01,62.69
2025-12-01,58.38
2026-01-01,52.69
2026-02-01,46.21
2026-03-01,45.23
2026-04-01,50.14
2026-05-01,44.75
2026-06-01,43.18
2026-07-01,57.21
2026-08-01,52.665
2026-09-01,54.96
2026-09-04,54.96
