Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2019,110.11,,,,,,9.623,4.183,3.8,0.33,7.925,-6.929,0.996,17.868,73.338,55.47,25.535,4.236,12.5,,,,,,,millions,NZD
FY2020,113.734,,,,,,18.112,-2.833,-2.5,-0.23,6.498,-15.028,-8.53,20.82,270.867,250.047,216.731,2.317,12.5,,,,,,,millions,NZD
FY2021,126.042,,,,,,23.287,1.705,1.4,0.97,13.907,-4.542,9.365,24.093,273.425,249.332,211.517,2.761,175.0,1.196,,,,,,millions,NZD
FY2022,135.933,,,,,,23.366,2.673,2.0,1.13,9.877,-38.842,-28.965,70.088,290.145,220.057,172.543,2.088,237.594,,,,,,,millions,NZD
FY2023,149.997,,,,,,19.474,-2.106,-1.4,-0.76,4.037,-58.734,-54.697,72.864,356.595,283.731,219.217,0.515,277.045,0.088,,,,,,millions,NZD
FY2024,174.073,,,,,,29.178,-8.488,-4.9,-2.98,14.1,-4.133,9.967,64.432,334.713,270.281,196.955,2.35,284.871,0.055,,,,,,millions,NZD
H1 FY2025,86.056,,,,,,14.131,1.972,2.3,0.69,6.607,-2.883,3.724,,,,,0.066,284.89,,,,,,,millions,NZD
FY2025,180.651,,,,,,33.025,7.399,4.1,2.47,20.053,-6.351,13.702,66.474,339.57,273.096,192.998,2.571,284.874,0.06,,,,,,millions,NZD
H1 FY2026,101.896,,,,,,20.117,6.63,6.5,2.23,13.318,-3.714,9.604,69.622,355.949,286.327,204.05,2.971,284.281,,,,,,,millions,NZD
FY2026,205.515,,,,,,39.125,10.053,4.9,3.33,25.121,-16.073,9.048,76.317,374.393,298.076,213.076,2.823,283.862,0.38,,,,,,millions,NZD
