Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2021,,,,,,,,,,,,,,-286.013,,,,,,,,,,,,millions,USD
FY2022,666.701,104.799,,,-172.162,,,-158.55,,-2.77,-94.021,6.233,,-379.064,,,,435.81,57.251112,55.31,,,,,,millions,USD
Q1 2023,163.74,26.863,,,-70.602,,,-60.866,,-1.05,4.075,0.356,,,,,,,58.114745,12.48,,,,,,millions,USD
H1-2023,346.771,55.699,,,-123.591,,,-101.975,,-1.75,-49.978,1.186,,,,,,,58.312538,22.583,,,,,,millions,USD
Q2 2023,183.031,28.836,,,-52.989,,,-41.109,,-0.7,-54.053,0.83,,,,,,,58.508158,10.103,,,,,,millions,USD
Q3 2023,207.508,26.395,,,-19.585,,,-7.383,,-0.13,-7.703,3.936,,,,,,,58.855589,9.392,,,,,,millions,USD
FY2023,804.029,111.011,,,-140.161,,,-90.824,,-1.54,-75.114,9.724,,-412.922,1596.467,155.897,,401.176,59.138086,47.598,,,,,,millions,USD
Q1 2024,242.963,27.616,,,-589.255,,,-575.066,,-8.19,32.064,2.851,,,,,,,70.240492,577.508,,,,,,millions,USD
H1-2024,524.147,57.117,,,-620.294,,,-585.165,,-4.99,60.449,4.053,,,,,,,117.311614,641.774,,,,,,millions,USD
Q2 2024,281.184,29.501,,,-31.039,,,-10.099,,-0.06,28.385,1.202,,,,,,,164.382736,64.266,,,,,,millions,USD
Q3 2024,348.351,34.633,,,6.854,,,29.853,,0.16,71.622,1.353,,,,,,,192.322916,74.758,,,,,,millions,USD
FY2024,1300.205,123.595,,,-560.568,,,-484.276,,-3.33,222.068,6.248,,2130.749,2336.595,205.846,,562.092,145.472389,801.646,,,,,,millions,USD
Q1 2025,392.361,37.089,,,3.903,,,26.158,,0.13,127.578,0.979,,,,,,,201.275223,85.414,,,,,,millions,USD
H1-2025,891.988,82.989,,,71.614,,,115.455,,0.58,238.909,1.484,,,,,,,200.681458,174.484,,,,,,millions,USD
Q2 2025,499.627,45.9,,,67.711,,,89.297,,0.45,111.331,0.505,,,,,,,199.522433,89.07,,,,,,millions,USD
Q3 2025,584.911,52.509,,,138.542,,,162.663,,0.8,185.159,2.058,,,,,,,202.727809,83.518,,,,,,millions,USD
FY2025,2202.506,194.216,,,441.984,,,529.721,,2.62,690.875,6.706,,2929.038,3239.173,310.135,,953.569,202.107978,343.18,,,,,,millions,USD
Q1 2026,663.411,56.267,,,182.912,,,203.981,,1.01,312.253,1.09,,,,,,,202.524173,68.336,,,,,,millions,USD
H1-2026,1468.316,126.575,,,414.628,,,456.829,,2.26,574.129,2.224,,3179.716,3636.605,350.905,,1486.838,202.326864,169.288,,,,,,millions,USD
Q2 2026,804.905,70.308,,,231.716,,,252.848,,1.25,261.876,1.134,,3179.716,3636.605,350.905,,1486.838,202.029721,100.952,,,,,,millions,USD
