Date,Close
2016-09-30,54.18
2016-10-31,57.75
2016-11-30,59.9
2016-12-31,66.68
2017-01-31,61.99
2017-02-28,60.46
2017-03-31,60.44
2017-04-30,62.81
2017-05-31,63.27
2017-06-30,65.79
2017-07-31,67.84
2017-08-31,66.53
2017-09-30,69.45
2017-10-31,70.95
2017-11-30,75.81
2017-12-31,76.85
2018-01-31,81.16
2018-02-28,72.7
2018-03-31,79.86
2018-04-30,82.97
2018-05-31,83.44
2018-06-30,81.2
2018-07-31,72.74
2018-08-31,78.76
2018-09-30,76.4
2018-10-31,73.28
2018-11-30,78.47
2018-12-31,87.05
2019-01-31,96.16
2019-02-28,97.91
2019-03-31,95.37
2019-04-30,100.3
2019-05-31,103.76
2019-06-30,98.9
2019-07-31,87.58
2019-08-31,92.67
2019-09-30,90.88
2019-10-31,96.9
2019-11-30,100.4
2019-12-31,98.77
2020-01-31,87.27
2020-02-29,84.57
2020-03-31,87.51
2020-04-30,93.4
2020-05-31,97.96
2020-06-30,102
2020-07-31,98
2020-08-31,94.32
2020-09-30,92.43
2020-10-31,101.4
2020-11-30,113.83
2020-12-31,110.31
2021-01-31,127.19
2021-02-28,110.75
2021-03-31,121.15
2021-04-30,123.73
2021-05-31,126.64
2021-06-30,133.42
2021-07-31,112.06
2021-08-31,100.18
2021-09-30,90.29
2021-10-31,93.5
2021-11-30,100.11
2021-12-31,111.56
2022-01-31,118.17
2022-02-28,119.11
2022-03-31,112.83
2022-04-30,114.45
2022-05-31,102.7
2022-06-30,97.83
2022-07-31,94.5
2022-08-31,93.39
2022-09-30,88.2
2022-10-31,109.62
2022-11-30,116.41
2022-12-31,126.64
2023-01-31,116.73
2023-02-28,120.14
2023-03-31,112.25
2023-04-30,107
2023-05-31,114.69
2023-06-30,117.07
2023-07-31,112.9
2023-08-31,113.55
2023-09-30,117.58
2023-10-31,125.04
2023-11-30,135.66
2023-12-31,132.92
2024-01-31,123.78
2024-02-29,121.76
2024-03-31,130.49
2024-04-30,128.96
2024-05-31,119
2024-06-30,117.48
2024-07-31,111.55
2024-08-31,129.13
2024-09-30,119.31
2024-10-31,118.24
2024-11-30,117.46
2024-12-31,117.4
2025-01-31,113.37
2025-02-28,115.49
2025-03-31,117.1
2025-04-30,112.66
2025-05-31,107.13
2025-06-30,111.7
2025-07-31,115.47
2025-08-31,122.03
2025-09-30,132.87
2025-10-31,132.28
2025-11-30,146.82
2025-12-31,151.55
2026-01-31,167.33
2026-02-28,161.43
2026-03-31,167.4
2026-04-30,185.63
2026-05-31,172.51
2026-06-30,170.57
2026-07-31,174.81
2026-08-31,166.46
2026-09-25,164.84
