Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,LaunchRevenue,SpaceSystemsRevenue,Backlog
FY2021,62.2,,10.2,16.4,-86.3,-138.7,,-110.8,-178.1,-0.55,-71.5,-16.5,-88.0,698.4,980.8,282.4,78.9,692.1,452.6,,,millions,USD,,,
Q1 2022,40.7,,-1.4,-3.4,-31.5,-77.4,,-31.7,-77.9,-0.07,,,,,,,,,,,,millions,USD,,,
Q2 2022,55.5,,6.7,12.1,-37.3,-67.2,,-36.2,-65.2,-0.08,,,,,,,,,,,,millions,USD,,,
Q3 2022,63.1,,8.5,13.5,-32.0,-50.7,,-34.6,-54.9,-0.07,,,,,,,,,,,,millions,USD,,,
Q4 2022,51.7,,5.2,10.1,-34.4,-66.5,,-33.4,-64.6,-0.07,,,,,,,,,,,,millions,USD,,,
FY2022,211.0,,19.0,9.0,-135.2,-64.1,,-135.9,-64.4,-0.29,-106.5,-42.4,-148.9,673.2,989.1,315.9,91.3,242.5,466.4,,,millions,USD,,,
Q1 2023,54.9,,6.4,11.6,-46.0,-83.8,,-45.6,-83.1,-0.10,,,,,,,,,,,,millions,USD,,,
Q2 2023,62.0,,14.6,23.5,-45.2,-72.8,,-45.9,-74.0,-0.10,,,,,,,,,,,,millions,USD,,,
Q3 2023,67.7,,15.0,22.1,-38.9,-57.4,,-40.6,-59.9,-0.08,,,,,,,,,,,,millions,USD,,,
Q4 2023,60.0,,15.4,25.7,-47.8,-79.7,,-50.5,-84.2,-0.10,,,,,,,,,,,,millions,USD,,,
FY2023,244.6,,51.4,21.0,-177.9,-72.7,,-182.6,-74.7,-0.38,-98.9,-54.7,-153.6,554.5,941.2,386.7,103.4,244.8,481.8,,,millions,USD,,,
Q1 2024,92.8,,24.2,26.1,-43.1,-46.4,,-44.3,-47.7,-0.09,,,,,,,,,,,,millions,USD,32.7,60.0,
Q2 2024,106.3,,27.2,25.6,-43.3,-40.7,,-41.6,-39.2,-0.08,,,,,,,,,,,,millions,USD,29.4,76.9,
Q3 2024,104.8,,28.0,26.7,-51.9,-49.5,,-51.9,-49.5,-0.10,,,,,,,,,,,,millions,USD,42.4,62.4,
Q4 2024,132.3,,36.7,27.7,-51.5,-38.9,,-52.4,-39.6,-0.10,,,,,,,,,,,,millions,USD,,,
FY2024,436.2,,116.1,26.6,-189.8,-43.5,,-190.2,-43.6,-0.38,-48.9,-67.1,-116.0,382.5,1184.3,801.9,402.0,419.0,495.9,,,millions,USD,,,
Q1 2025,122.6,,35.2,28.7,-59.2,-48.3,,-60.6,-49.4,-0.12,,,,,,,,,,,,millions,USD,35.6,87.0,
Q2 2025,144.5,,46.4,32.1,-59.6,-41.3,,-66.4,-45.9,-0.13,,,,688.5,1553.2,864.7,425.0,688.1,513.8,,,millions,USD,46.6,97.9,
Q3 2025,155.1,,57.3,37.0,-59.0,-38.0,,-18.3,-11.8,-0.03,-101.0,-106.6,-207.6,1281.0,2221.4,940.4,425.0,976.7,528.7,,,millions,USD,40.9,114.2,1100.0
Q4 2025,179.6,,68.3,38.0,-51.0,-28.4,,-52.9,-29.5,-0.10,,,,,,,,,,,,millions,USD,,,
FY2025,601.8,,207.2,34.4,-228.8,-38.1,,-198.2,-33.1,-0.37,-165.5,-156.3,-321.8,1721.9,2324.5,602.6,154.1,828.7,543.6,,,millions,USD,199.0,402.8,1847.3
Q1 2026,200.3,,76.5,38.2,-56.0,-28.0,,-45.0,-22.5,-0.07,-50.3,-27.1,-77.4,2264.4,2819.9,555.6,38.6,1205.5,575.8,,,millions,USD,63.7,136.7,2219.8
