Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CashTaxRate
FY2015,1678.912,667.516,1011.396,60.2,409.236,24.4,482.292,352.886,21.0,2.47,383.18,62.502,320.678,1587.307,2181.774,594.467,300.594,717.249,142.687,47.855,1.12,,,,,millions,USD,11.1
FY2016,1838.713,772.216,1066.497,58.0,428.952,23.3,515.801,352.409,19.2,2.49,547.933,58.534,489.399,1694.831,3258.935,1564.104,1175.0,731.434,141.669,46.408,1.2,,,,,millions,USD,15.7
FY2017,2066.737,864.992,1201.745,58.1,425.798,20.6,537.955,342.284,16.6,2.4,414.053,62.219,351.834,1960.266,3468.487,1508.221,1078.611,821.935,142.453,45.925,1.32,,,,,millions,USD,22.2
FY2018,2340.196,1005.298,1334.898,57.0,541.831,23.2,661.791,315.588,13.5,2.19,505.026,62.581,442.445,2058.98,3063.923,1004.943,281.454,188.701,143.987,48.412,1.4,,,,,millions,USD,32.7
FY2019,2606.572,1112.501,1494.071,57.3,579.263,22.2,730.058,404.592,15.5,2.8,459.051,68.71,390.341,2072.193,4107.682,2035.489,1270.853,147.128,144.484,52.073,1.48,,,,,millions,USD,46.8
FY2020,2957.013,1239.227,1717.786,58.1,809.659,27.4,964.509,621.674,21.0,4.27,802.255,95.33,706.925,2497.027,4587.376,2090.349,1176.12,463.156,145.652,57.559,1.56,,,,,millions,USD,24.6
FY2021,3196.825,1357.725,1839.1,57.5,903.678,28.3,1060.436,474.505,14.8,3.24,736.718,102.712,634.006,2885.679,4728.125,1842.446,655.351,295.278,146.451,63.927,1.56,,,,,millions,USD,25.1
FY2022,3578.127,1553.816,2024.311,56.6,1000.286,28.0,1159.895,779.437,21.8,5.3,351.147,134.835,216.312,3360.751,5095.853,1735.102,775.241,273.71,147.043,65.257,1.68,,,,,millions,USD,49.8
FY2023,4222.993,1867.331,2355.662,55.8,1131.871,26.8,1297.027,897.556,21.3,6.09,693.299,119.672,573.627,4129.903,6751.708,2621.805,1441.136,227.891,147.455,71.142,1.76,,,,,millions,USD,19.7
FY2024,4685.297,2029.994,2655.303,56.7,1319.893,28.2,1496.763,1020.951,21.8,6.92,1401.26,99.46,1301.8,4864.043,6872.394,2008.351,707.213,238.361,147.55,80.184,1.92,,,,,millions,USD,22.0
FY2025,5146.327,2091.357,3054.97,59.4,1685.363,32.7,1883.836,1400.723,27.2,9.51,1751.588,89.865,1661.723,5967.859,8174.391,2206.532,668.292,1209.45,147.34,91.661,2.12,,,,,millions,USD,
FY2026,5653.443,2201.704,3451.739,61.1,1886.715,33.4,2088.057,1523.293,26.9,10.43,1805.829,156.285,1649.544,6585.393,8965.95,2380.557,659.365,1469.234,146.054,104.348,2.4,,,,,millions,USD,
