Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AISC,CapexPPE,GoldPriceAchieved,GoldProduction,LeasePrincipalPaid,GoldSold
H1 FY2016,243.726,172.494,71.232,29.2,,,,45.979,18.9,0.092,95.766,40.628,55.138,427.811,547.915,120.104,0.0,76.611,,1.846,,,,,,millions,AUD,,8.116,,,,
FY2016,502.019,335.136,166.883,33.2,,,234.392,111.793,22.3,0.2237,204.001,83.781,120.22,481.848,591.257,109.409,0.0,99.535,503.079,3.317,,,,,,millions,AUD,,20.469,1600.0,305084.0,,310676.0
H1 FY2017,252.906,162.084,90.822,35.9,,,,61.036,24.1,0.1219,89.243,49.056,40.187,497.957,625.733,127.776,0.0,93.966,,1.47,,,,,,millions,AUD,,13.63,,,,
FY2017,543.799,335.827,207.972,38.2,,,253.302,138.163,25.4,0.2759,206.082,105.568,100.514,538.392,685.864,147.472,0.0,119.428,506.254,3.222,,,,,,millions,AUD,,23.395,1682.0,324353.0,,322355.0
H1 FY2018,298.99,167.405,131.585,44.0,,,,84.585,28.3,0.1729,121.12,56.34,64.78,589.07,752.139,163.069,0.0,143.256,,2.353,,,,,,millions,AUD,,22.16,,,,
FY2018,606.495,343.585,262.91,43.3,,,312.561,174.231,28.7,0.34600000000000003,259.727,115.864,143.863,636.842,822.53,185.688,0.0,181.118,507.194,3.231,,,,,,millions,AUD,,37.452,1680.0,361373.0,,359750.0
H1 FY2019,317.174,193.364,123.81,39.0,,,,79.854,25.2,0.1577,126.483,81.204,45.279,673.387,884.665,211.278,0.0,187.085,,0.66,,,,,,millions,AUD,,21.542,,,0.417,
FY2019,654.807,401.97,252.837,38.6,,,306.785,163.15,24.9,0.3218,275.485,187.396,88.089,716.464,953.997,237.533,0.0,188.697,507.906,1.082,,,,,,millions,AUD,,56.426,1765.0,,1.052,369721.0
H1 FY2020,371.366,227.483,143.883,38.7,,,,93.39,25.1,0.1838,147.184,110.897,36.287,769.07,1049.879,280.809,0.0,158.974,,-0.395,,,,,,millions,AUD,,35.92,,,5.621,
FY2020,756.657,452.011,304.646,40.3,,,394.141,199.517,26.4,0.3926,343.013,223.084,119.929,835.081,1151.877,316.796,0.0,192.428,509.188,0.144,,,,,,millions,AUD,,51.135,2200.0,,13.894,353182.0
H1 FY2021,401.045,266.569,134.476,33.5,,,,84.805,21.1,0.1664,147.773,94.0,53.773,898.955,1209.886,310.931,0.0,202.573,,3.652,,,,,,millions,AUD,,11.119,,,9.055,
FY2021,819.162,582.659,236.503,28.9,,,403.381,146.198,17.8,0.2637,276.286,202.686,73.6,1584.305,2313.165,728.86,293.821,242.627,555.403,3.934,,,,,,millions,AUD,,21.139,2229.0,,20.397,367285.0
H1 FY2022,488.79,427.245,61.545,12.6,,,,26.499,5.4,0.0351,135.883,169.169,-33.286,1589.808,2328.15,738.342,294.847,164.425,,0.588,,,,,,millions,AUD,,19.676,,,15.597,
FY2022,1015.943,945.524,70.419,6.9,,,336.113,13.775,1.4,0.0183,346.994,321.922,25.072,1577.299,2329.272,751.973,295.883,207.354,755.724,0.804,,,,,,millions,AUD,,46.558,2329.0,,31.026,439310.0
H1 FY2023,537.346,553.873,-16.527,-3.1,,,,-30.182,-5.6,-0.04,148.118,180.083,-31.965,1532.689,2270.933,738.244,297.263,106.492,,0.672,,,,,,millions,AUD,,21.507,,,14.827,
FY2023,1133.732,1104.086,29.646,2.6,,,371.365,-24.333,-2.1,-0.0322,454.936,396.6,58.336,1539.841,2372.602,832.761,298.748,204.885,754.84,1.976,,,,,,millions,AUD,,61.263,2471.0,,32.994,
H1 FY2024,550.058,551.98,-1.922,-0.3,,,,-91.8,-16.7,-0.122,125.852,160.0,-34.148,1449.329,2261.491,812.162,296.744,55.53,,,,,,,,millions,AUD,,19.955,,,15.973,
FY2024,1262.814,1170.853,91.961,7.3,,,296.894,-186.017,-14.7,-0.2463,474.574,273.824,200.75,1355.919,2129.895,773.976,295.102,277.936,755.297,2.094,,,,,,millions,AUD,,32.497,2976.0,,28.479,424265.0
H1 FY2025,777.28,617.818,159.462,20.5,,,,88.446,11.4,0.11699999999999999,347.734,105.175,242.559,1446.24,2258.5,812.26,298.463,514.6,,,,,,,,millions,AUD,,18.358,,,7.645,
FY2025,1647.412,1220.854,426.558,25.9,,,780.144,254.356,15.4,0.3367,820.686,275.903,544.783,1614.34,2276.203,661.863,0.0,505.486,760.909,4.065,,,,,,millions,AUD,2775.0,33.688,4387.0,373000.0,16.683,375489.0
H1 FY2026,1088.054,600.929,487.125,44.8,,,,322.752,29.7,0.426,639.155,227.382,411.773,1900.686,2700.571,799.885,0.0,869.011,,,,,,,,millions,AUD,,27.593,,,9.345,
FY2026,2349.099,1279.141,1069.958,45.5,,,1345.182,715.106,30.4,0.9445999999999999,1246.754,440.688,806.066,2182.175,3015.798,833.623,0.0,1139.119,761.376,4.18,,,,,,millions,AUD,2945.0,69.577,6283.0,379000.0,18.7,373879.0
