Date,Close
2016-10-01,8.5
2016-11-01,7.83
2016-12-01,8
2017-01-01,7
2017-02-01,7.2
2017-03-01,7.7
2017-04-01,7.78
2017-05-01,8.04
2017-06-01,8.22
2017-07-01,8.58
2017-08-01,9.09
2017-09-01,9.22
2017-10-01,10.6
2017-11-01,10.25
2017-12-01,9.6
2018-01-01,9.6
2018-02-01,9.05
2018-03-01,9.94
2018-04-01,10.12
2018-05-01,9.7
2018-06-01,9.35
2018-07-01,9.65
2018-08-01,9.6
2018-09-01,9.6
2018-10-01,9.33
2018-11-01,7.51
2018-12-01,8.06
2019-01-01,8
2019-02-01,8.5
2019-03-01,7.59
2019-04-01,7.4
2019-05-01,7.57
2019-06-01,6.36
2019-07-01,6.41
2019-08-01,5.9
2019-09-01,6
2019-10-01,6
2019-11-01,6.72
2019-12-01,6.1
2020-01-01,5.79
2020-02-01,5.1
2020-03-01,3.61
2020-04-01,4.08
2020-05-01,4.75
2020-06-01,5
2020-07-01,6.07
2020-08-01,7
2020-09-01,7
2020-10-01,7
2020-11-01,6.93
2020-12-01,7.91
2021-01-01,7.38
2021-02-01,7.4
2021-03-01,7.5
2021-04-01,7.8
2021-05-01,7.71
2021-06-01,8.4
2021-07-01,7.75
2021-08-01,7.5
2021-09-01,7.1
2021-10-01,6.96
2021-11-01,8.4
2021-12-01,8.26
2022-01-01,7.97
2022-02-01,8.15
2022-03-01,9.09
2022-04-01,9.2
2022-05-01,8.15
2022-06-01,7.8
2022-07-01,8
2022-08-01,8.1
2022-09-01,7.75
2022-10-01,6.9
2022-11-01,7.2
2022-12-01,7
2023-01-01,7.3
2023-02-01,7.25
2023-03-01,7.5
2023-04-01,7.6
2023-05-01,7.3
2023-06-01,7.49
2023-07-01,7.46
2023-08-01,8
2023-09-01,7.82
2023-10-01,7.85
2023-11-01,8.5
2023-12-01,9.22
2024-01-01,8.5
2024-02-01,8.6
2024-03-01,8.7
2024-04-01,8.6
2024-05-01,9.05
2024-06-01,10
2024-07-01,10.2
2024-08-01,10.85
2024-09-01,10.71
2024-10-01,10.81
2024-11-01,11.26
2024-12-01,11
2025-01-01,11
2025-02-01,11.2
2025-03-01,11.15
2025-04-01,10.9
2025-05-01,11.8
2025-06-01,11.8
2025-07-01,11.31
2025-08-01,12.07
2025-09-01,11.54
2025-10-01,11
2025-11-01,12.14
2025-12-01,12.73
2026-01-01,12.6
2026-02-01,15.79
2026-03-01,14.42
2026-04-01,14.6
2026-05-01,13.96
2026-06-01,14.5
2026-07-01,14.75
2026-08-01,15.99
2026-09-01,15.97
2026-09-04,15.97
