Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,BasicEPS,EPSDiluted,LeasePrincipalRepaid,NetIncomeContinuing,ShareOfAssociatesProfit,TreasurySharesPurchased,UnderlyingEBIT,UnderlyingEBITDA
FY2016,5812.0,,,,-1441.0,-24.8,1131.0,-1615.0,-27.8,-0.303,1030.0,400.0,630.0,9422.0,13374.0,3952.0,913.0,1225.0,5330.0,23.0,,1131.0,,,,millions,USD,-0.303,-0.303,,-1615.0,-330.0,3.0,,1131.0
FY2017,6950.0,,,,1795.0,25.8,2411.0,1231.0,17.7,0.229,2132.0,319.0,1813.0,10235.0,14733.0,4498.0,1035.0,2675.0,5306.0,37.0,,2411.0,,,,millions,USD,0.232,0.229,,1231.0,312.0,27.0,,2411.0
FY2018,7549.0,,,,1719.0,22.8,2516.0,1332.0,17.6,0.254,1717.0,436.0,1281.0,10709.0,15133.0,4424.0,929.0,2970.0,5120.0,40.0,,2516.0,,,,millions,USD,0.258,0.254,,1332.0,521.0,84.0,,2516.0
FY2019,7274.0,,,,887.0,12.2,2197.0,389.0,5.3,0.076,1817.0,710.0,1107.0,10168.0,14715.0,4547.0,904.0,1408.0,5006.0,38.0,,2197.0,,,,millions,USD,0.077,0.076,,389.0,467.0,99.0,,2197.0
FY2020,6075.0,,,,261.0,4.3,1185.0,-65.0,-1.1,-0.013,1365.0,745.0,620.0,9562.0,13737.0,4175.0,1017.0,1315.0,4846.0,29.0,,1185.0,,,,millions,USD,-0.013,-0.013,,-65.0,100.0,23.0,,1185.0
FY2021,5476.0,,,,203.0,3.7,1564.0,-195.0,-3.6,-0.041,1405.0,566.0,839.0,8954.0,13242.0,4288.0,1207.0,1613.0,4675.0,32.0,,1564.0,,,,millions,USD,-0.041,-0.041,,142.0,141.0,0.0,,1564.0
FY2022,9269.0,,,,3724.0,40.2,4755.0,2669.0,28.8,0.57,3070.0,559.0,2511.0,10779.0,16336.0,5557.0,1827.0,2365.0,4628.0,23.0,,4755.0,,,,millions,USD,0.574,0.57,,2669.0,272.0,22.0,,4755.0
FY2023,7429.0,,,,198.0,2.7,2534.0,-173.0,-2.3,-0.038,1191.0,894.0,297.0,9375.0,14564.0,5189.0,1741.0,1258.0,4545.0,24.0,,2534.0,,,,millions,USD,-0.038,-0.038,,-173.0,246.0,33.0,,2534.0
H1 FY2024,2507.0,,,,-52.0,-2.1,708.0,53.0,2.1,0.012,203.0,584.0,-381.0,,,,,,4529.0,12.0,,708.0,,,,millions,USD,0.012,0.012,,-26.0,-7.0,8.0,236.0,708.0
FY2024,5479.0,,,,-735.0,-13.4,1802.0,-203.0,-3.7,-0.045,1119.0,1080.0,39.0,8971.0,14245.0,5274.0,1566.0,842.0,4529.0,22.0,,1802.0,,,,millions,USD,-0.045,-0.045,,-640.0,-59.0,11.0,886.0,1802.0
H1 FY2025,3123.0,,,,520.0,16.7,1018.0,360.0,11.5,0.08,450.0,478.0,-28.0,9178.0,13855.0,4677.0,1647.0,1600.0,4517.0,10.0,,1018.0,,,,millions,USD,0.08,0.08,,373.0,80.0,5.0,663.0,1018.0
FY2025,5780.0,,,,554.0,9.6,1928.0,213.0,3.7,0.047,1335.0,963.0,372.0,8857.0,13727.0,4870.0,1634.0,1677.0,4504.0,20.0,,1928.0,,,,millions,USD,0.047,0.047,76.0,315.0,99.0,10.0,1211.0,1928.0
H1 FY2026,2809.0,,,,532.0,18.9,1107.0,464.0,16.5,0.103,541.0,524.0,17.0,9256.0,13797.0,4541.0,1689.0,1664.0,4486.0,9.0,,1107.0,,,,millions,USD,0.103,0.103,,432.0,115.0,4.0,747.0,1107.0
FY2026,5816.0,,,,1359.0,23.4,2462.0,1087.0,18.7,0.241,1634.0,1094.0,540.0,9714.0,14491.0,4777.0,1851.0,2134.0,4486.0,20.0,,2462.0,,,,millions,USD,0.242,0.241,110.0,1059.0,89.0,5.0,1717.0,2462.0
