Date,Close
2016-09-30,2.57
2016-10-31,2.71
2016-11-30,2.75
2016-12-31,2.75
2017-01-31,2.49
2017-02-28,2.76
2017-03-31,2.78
2017-04-30,2.64
2017-05-31,2.68
2017-06-30,2.91
2017-07-31,2.92
2017-08-31,3.27
2017-09-30,3.37
2017-10-31,3.26
2017-11-30,3.49
2017-12-31,3.82
2018-01-31,3.32
2018-02-28,3.22
2018-03-31,3.72
2018-04-30,3.72
2018-05-31,3.61
2018-06-30,3.57
2018-07-31,3.48
2018-08-31,3.92
2018-09-30,3.62
2018-10-31,3.1
2018-11-30,3.35
2018-12-31,3.53
2019-01-31,3.91
2019-02-28,3.73
2019-03-31,3.34
2019-04-30,3.32
2019-05-31,3.18
2019-06-30,3.14
2019-07-31,2.64
2019-08-31,2.62
2019-09-30,2.55
2019-10-31,2.7
2019-11-30,2.7
2019-12-31,2.64
2020-01-31,2.22
2020-02-29,1.765
2020-03-31,1.985
2020-04-30,1.91
2020-05-31,2.04
2020-06-30,2.06
2020-07-31,2.1
2020-08-31,2.04
2020-09-30,2.03
2020-10-31,2.4
2020-11-30,2.47
2020-12-31,2.54
2021-01-31,2.77
2021-02-28,2.81
2021-03-31,2.88
2021-04-30,2.98
2021-05-31,2.93
2021-06-30,2.97
2021-07-31,3.14
2021-08-31,3.53
2021-09-30,3.57
2021-10-31,3.53
2021-11-30,4.01
2021-12-31,3.85
2022-01-31,4.81
2022-02-28,5.02
2022-03-31,4.77
2022-04-30,5
2022-05-31,3.94
2022-06-30,3.81
2022-07-31,4.15
2022-08-31,3.63
2022-09-30,3.6
2022-10-31,4.02
2022-11-30,4
2022-12-31,4.54
2023-01-31,4.34
2023-02-28,4.37
2023-03-31,4.24
2023-04-30,3.88
2023-05-31,3.76
2023-06-30,3.88
2023-07-31,3.4
2023-08-31,3.39
2023-09-30,3.32
2023-10-31,3.08
2023-11-30,3.33
2023-12-31,3.35
2024-01-31,2.95
2024-02-29,3
2024-03-31,3.59
2024-04-30,3.97
2024-05-31,3.66
2024-06-30,3.07
2024-07-31,3.14
2024-08-31,3.77
2024-09-30,3.68
2024-10-31,3.72
2024-11-30,3.4
2024-12-31,3.36
2025-01-31,3.52
2025-02-28,3.22
2025-03-31,2.75
2025-04-30,3.05
2025-05-31,2.91
2025-06-30,2.94
2025-07-31,2.72
2025-08-31,2.74
2025-09-30,3.17
2025-10-31,3.22
2025-11-30,3.56
2025-12-31,4.62
2026-01-31,4.6
2026-02-28,4.27
2026-03-31,4.03
2026-04-30,4.81
2026-05-31,3.9
2026-06-30,4.57
2026-07-31,5.16
2026-08-31,4.95
2026-09-25,4.94
