Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2013,462.644,-389.491,73.153,15.811941795419372,26.504,5.728810921572527,49.285000000000004,20.400000000000002,4.409437926353741,21.7,38.613,-17.91,20.703,554.333,780.014,225.106,177.47,10.656,93.626735,0.01,,,,,,millions,NZD
H1 FY2014,225.659,-184.993,40.666000000000004,18.02099628200072,19.645,8.705613336937592,28.692,9.563,4.237810147168959,12.6,0.974,-8.203,-7.228999999999999,554.8870000000001,807.217,251.839,,8.188,,0.041,,,,,,millions,NZD
FY2014,452.42400000000004,-381.229,71.19500000000001,15.736344667833714,27.257,6.024658285148445,46.675000000000004,22.364,4.943150672820186,24.0,32.478,-12.301,20.177,545.3580000000001,777.338,231.497,178.361,2.464,93.617279,0.0,,,,,,millions,NZD
H1 FY2015,225.98000000000002,-174.973,51.007,22.571466501460304,18.167,8.039207009469866,33.896,9.563,4.231790423931321,10.21,1.736,-7.847,-6.111000000000001,537.141,795.993,258.38,200.876,20.951,93.53822799999999,0.0,,,,,,millions,NZD
FY2015,444.289,-326.689,117.6,26.469257622853593,49.808,11.210720949652142,69.349,13.802,3.106536511144773,14.8,54.969,-16.076,38.893,512.0790000000001,745.34,232.81,154.78,5.96,93.53822799999999,0.01,,,,,,millions,NZD
H1 FY2016,215.649,-163.513,52.136,24.17632356282663,26.306,12.198526308955756,38.029,18.785,8.710914495314144,20.1,1.6,-9.608,-8.008000000000001,537.037,777.025,239.559,55.606,46.971000000000004,93.493922,0.041,,,,,,millions,NZD
FY2016,463.469,-350.753,112.71600000000001,24.32007318720346,60.618,13.079191920063694,78.873,37.813,8.158690225236208,37.1,34.372,-42.148,-7.776000000000003,557.737,797.836,239.701,176.63400000000001,3.589,93.493922,0.171,,,,,,millions,NZD
H1 FY2017,230.363,-173.641,56.722,24.622877805897648,29.775000000000002,12.925252753263328,39.694,19.043,8.266518494723545,20.4,10.675,-20.675,-10.0,563.461,825.4490000000001,261.988,201.282,5.381,93.495121,-0.004,,,,,,millions,NZD
FY2017,477.94,-365.661,112.279,23.492279365610745,59.281,12.40343976231326,82.547,37.478,7.8415700715571,40.1,50.28,-36.803,13.477000000000004,575.309,819.965,244.12900000000002,186.121,5.15,93.495121,0.171,,,,,,millions,NZD
H1 FY2018,272.773,-211.94,60.833,22.301694082625477,42.396,15.542594025068464,45.475,27.296,10.006855517224944,29.2,22.835,-9.623,13.212000000000002,588.1320000000001,843.203,255.071,186.199,5.061,93.506137,-0.026000000000000002,,,,,,millions,NZD
FY2018,514.976,-401.069,113.907,22.11889486111974,66.95700000000001,13.001965140123037,84.402,42.300000000000004,8.213975020195116,45.2,72.647,-24.739,47.908,581.349,809.371,227.437,155.0,2.63,93.506137,0.062,,,,,,millions,NZD
H1 FY2019,272.109,-210.869,54.177,19.91003605172927,35.994,13.22778739402225,42.907000000000004,22.862000000000002,8.401780168976405,24.4,10.391,-20.261,-9.87,593.599,846.503,252.904,168.761,3.669,93.506137,-0.099,,,,,,millions,NZD
FY2019,545.121,-437.745,107.376,19.69764510998476,66.64,12.224808803916929,85.729,41.692,7.64821021387912,44.6,48.652,-38.348,10.304000000000002,587.5070000000001,821.213,233.031,139.0,8.322000000000001,93.506137,-0.001,,,,,,millions,NZD
H1 FY2020,245.512,-197.863,47.649,19.408012642966533,28.54,11.624686369709016,36.671,19.019000000000002,7.746668187298381,20.3,12.669,-21.89,-9.221,584.725,917.926,333.201,165.892,8.07,93.506137,-0.15,,,,,,millions,NZD
FY2020,468.849,-386.367,82.482,17.59244447572673,39.666000000000004,8.4602931860791,66.294,22.433,4.784696138842143,24.0,18.787,-43.2,-24.413000000000004,610.962,931.9010000000001,320.274,187.21,2.957,93.506137,-0.401,,,,,,millions,NZD
H1 FY2021,233.506,-202.416,31.09,13.314433033840672,23.502,10.064837734362285,25.814,16.202,6.938579736709122,17.3,4.54,-16.324,-11.784000000000002,641.793,972.288,330.495,200.0,19.011,93.506137,0.0,,,,,,millions,NZD
FY2021,489.625,-420.846,68.779,14.047281082461067,28.985,5.919836609650242,52.603,16.235,3.3158029103906053,17.4,32.233000000000004,-43.2,-10.966999999999999,633.392,940.357,306.26300000000003,182.5,3.926,93.506137,-0.401,,,,,,millions,NZD
H1 FY2022,270.923,-222.615,48.308,17.830896601617436,13.544,4.99920641658331,32.453,6.12,2.258944423323232,6.5,35.836,-24.284,11.552,646.116,958.427,312.311,181.0,5.417,93.506137,0.0,,,,,,millions,NZD
FY2022,531.8870000000001,-435.033,96.854,18.209506906542178,70.995,13.34775995653212,68.262,55.772,10.485685869366987,59.8,44.904,-53.442,-8.537999999999997,664.485,977.6800000000001,312.807,155.0,9.534,93.506137,0.121,,,,,,millions,NZD
H1 FY2023,277.57800000000003,-220.643,56.935,20.511351764188802,21.217,7.643617289554646,42.127,11.109,4.00211832349826,11.9,13.513,-35.466,-21.953000000000003,692.361,1032.97,340.61,195.0,11.412,93.506137,0.023,,,,,,millions,NZD
FY2023,553.397,-444.76,108.637,19.630934031084376,30.754,5.557312381527185,81.534,10.011000000000001,1.8090087224903642,10.7,41.053000000000004,-64.412,-23.359,684.571,1072.313,387.362,203.0,6.805,93.506137,-0.14300000000000002,,,,,,millions,NZD
H1 FY2024,275.978,-207.35,68.628,24.867199559385167,35.187,12.749929342193942,56.02,16.154,5.85336512330693,17.3,8.25,-51.195,-42.945,694.462,1074.52,380.053,227.0,6.547,93.506137,0.0,,,,,,millions,NZD
FY2024,582.913,-456.726,126.187,21.647655825140284,54.123000000000005,9.284919018790111,108.65,19.67,3.3744315189402196,21.1,72.996,-45.916000000000004,27.07999999999999,703.993,1046.43,342.072,200.0,14.475,93.506137,0.0,,,,,,millions,NZD
H1 FY2025,285.999,-205.463,80.536,28.159539019367198,54.449,19.038178455169422,71.396,34.033,11.899691956964885,36.4,49.622,-15.790000000000001,33.832,710.497,1047.03,336.165,177.0,11.901,93.506137,0.375,,,,,,millions,NZD
FY2025,584.109,-429.343,154.766,26.4960820668745,102.008,17.46386376515342,140.992,63.692,10.904129195064618,68.1,135.342,-22.488,112.85400000000001,740.405,1006.736,265.964,105.0,11.589,93.506137,0.219,,,,,,millions,NZD
H1 FY2026,270.154,-178.999,91.155,33.74186575064593,64.019,23.697224545999692,81.768,42.417,15.701044589382352,45.3,13.693,-6.715,6.978,779.828,1063.261,283.051,120.0,17.856,93.506137,0.125,,,,,,millions,NZD
