Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1 2016,209.518,-126.368,83.15,39.7,48.174,23.0,54.187,33.603,16.0,0.24,-14.0,-6.856,-20.856,191.043,352.45,161.104,59.0,6.801,139.779006,0.113,,,,,,millions,NZD
FY2016,373.927,-257.038,116.889,31.3,55.222,14.8,67.321,37.772,10.1,0.27,41.342,-19.715,21.627,214.184,330.112,115.522,41.0,6.355,139.779006,0.27,,,,,,millions,NZD
H1 2017,216.748,-141.271,75.477,34.8,42.184,19.5,48.406,28.899,13.3,0.207,-17.798,-5.283,-23.081,234.444,441.835,207.175,84.0,15.124,138.5111,0.203,,,,,,millions,NZD
FY2017,399.1,-287.102,111.998,28.1,46.822,11.7,61.071,31.33,7.9,0.226,32.368,-11.826,20.542,221.476,342.506,120.589,46.5,5.69,139.4899,0.523,,,,,,millions,NZD
H1 2018,220.12,-153.982,66.138,30.0,42.143,19.1,46.742,34.53,15.7,0.247,-15.825,-5.301,-21.126,237.334,442.919,205.386,81.0,1.841,139.9691,0.231,,,,,,millions,NZD
FY2018,402.542,-312.228,90.314,22.4,42.497,10.6,51.744,45.084,11.2,0.322,36.567,-15.589,20.978,246.292,411.087,161.214,67.993,2.79,140.3162,0.092,,,,,,millions,NZD
H1 2019,277.965,-206.413,71.552,25.7,62.08,22.3,71.076,120.031,43.2,0.856,-20.339,-4.915,-25.254,355.704,622.229,262.156,145.729,13.78,140.1849,0.433,,,,,,millions,NZD
FY2019,484.609,-383.126,101.483,20.9,61.783,12.7,79.853,118.002,24.3,0.842,56.099,-16.313,39.786,355.014,558.68,199.677,80.14,18.632,140.5908,1.0,,,,,,millions,NZD
H1 2020,253.292,-184.305,68.987,27.2,39.012,15.4,48.395,25.349,10.0,0.181,-24.888,-6.596,-31.484,370.157,638.172,261.982,136.469,31.985,140.4998,0.268,,,,,,millions,NZD
FY2020,470.709,-366.8,103.909,22.1,37.561,8.0,56.74,21.025,4.5,0.15,53.224,-24.237,28.987,373.767,586.21,207.805,133.302,47.418,140.8702,0.698,,,,,,millions,NZD
H1 2021,253.836,-179.455,74.381,29.3,44.808,17.7,54.479,28.314,11.2,0.201,-35.267,-6.653,-41.92,380.177,631.312,245.913,134.809,30.942,141.0247,0.45,,,,,,millions,NZD
FY2021,514.551,-400.663,113.888,22.1,52.074,10.1,71.619,26.925,5.2,0.191,39.839,-15.822,24.017,384.392,584.771,194.457,115.778,35.398,141.2516,0.726,,,,,,millions,NZD
H1 2022,309.308,-228.71,80.598,26.1,46.77,15.1,56.422,26.059,8.4,0.185,-30.566,-5.256,-35.822,381.434,664.454,275.816,117.936,36.264,141.2516,0.289,,,,,,millions,NZD
FY2022,619.173,-492.547,126.626,20.5,48.83,7.9,68.516,19.412,3.1,0.137,44.865,-14.592,30.273,384.44,580.458,188.644,93.723,68.144,141.7163,0.609,,,,,,millions,NZD
H1 2023,309.368,-242.972,66.396,21.5,20.46,6.6,30.473,3.896,1.3,0.027,-23.896,-4.795,-28.691,350.973,619.7,257.381,125.278,37.733,141.7292,0.248,,,,,,millions,NZD
FY2023,565.356,-444.662,120.694,21.3,34.222,6.1,53.675,5.235,0.9,0.037,64.7,-16.808,47.892,373.352,581.658,196.71,121.28,77.638,141.9478,0.456,,,,,,millions,NZD
H1 2024,318.101,-233.089,85.012,26.7,51.16,16.1,61.479,28.149,8.8,0.198,-2.555,-44.508,-47.063,390.724,739.811,336.106,189.16,39.878,142.0886,0.339,,,,,,millions,NZD
FY2024,584.627,-439.602,145.025,24.8,66.057,11.3,88.093,30.726,5.3,0.216,97.557,-54.433,43.124,367.589,608.925,227.409,107.644,53.753,142.6168,0.71,,,,,,millions,NZD
H1 2025,371.892,-255.642,116.25,31.3,75.147,20.2,87.789,48.596,13.1,0.341,-9.218,-9.682,-18.9,413.838,784.614,354.125,188.785,44.426,143.1821,0.511,,,,,,millions,NZD
FY2025,899.949,-700.212,199.737,22.2,142.38,15.8,169.862,100.988,11.2,0.707,95.765,-20.903,74.862,443.643,899.853,443.337,262.374,64.672,143.9198,1.169,,,,,,millions,NZD
H1 2026,762.137,-617.892,144.245,18.9,64.985,8.5,80.974,30.056,3.9,0.209,19.99,-6.7,13.29,455.47,1034.89,565.901,274.347,51.089,144.8201,0.664,,,,,,millions,NZD
