Date,Close
2016-09-30,3.08
2016-10-31,3.43
2016-11-30,3.45
2016-12-31,3.4
2017-01-31,3.49
2017-02-28,3.47
2017-03-31,3.31
2017-04-30,3.33
2017-05-31,3.32
2017-06-30,3.41
2017-07-31,3.44
2017-08-31,3.7
2017-09-30,3.9
2017-10-31,3.84
2017-11-30,4.78
2017-12-31,4.81
2018-01-31,4.52
2018-02-28,4.51
2018-03-31,4.43
2018-04-30,4.7
2018-05-31,4.64
2018-06-30,4.69
2018-07-31,4.85
2018-08-31,5
2018-09-30,4.62
2018-10-31,4.49
2018-11-30,4.5
2018-12-31,4.41
2019-01-31,4.75
2019-02-28,4.94
2019-03-31,4.98
2019-04-30,4.75
2019-05-31,4.7
2019-06-30,4.55
2019-07-31,4.75
2019-08-31,4.95
2019-09-30,5.23
2019-10-31,5.2
2019-11-30,5.01
2019-12-31,4.75
2020-01-31,4.33
2020-02-29,4.45
2020-03-31,4.87
2020-04-30,4.92
2020-05-31,4.9
2020-06-30,5.25
2020-07-31,4.9
2020-08-31,4.88
2020-09-30,5.07
2020-10-31,4.88
2020-11-30,4.98
2020-12-31,4.88
2021-01-31,4.6
2021-02-28,4.64
2021-03-31,4.56
2021-04-30,4.62
2021-05-31,4.79
2021-06-30,4.56
2021-07-31,5.01
2021-08-31,5.49
2021-09-30,5.36
2021-10-31,5.32
2021-11-30,5.6
2021-12-31,4.81
2022-01-31,5.05
2022-02-28,5.14
2022-03-31,4.85
2022-04-30,4.57
2022-05-31,4.34
2022-06-30,4.32
2022-07-31,4.73
2022-08-31,4.95
2022-09-30,4.74
2022-10-31,4.38
2022-11-30,4.1
2022-12-31,4.24
2023-01-31,3.45
2023-02-28,3.24
2023-03-31,3.15
2023-04-30,3.16
2023-05-31,3.15
2023-06-30,3.31
2023-07-31,3.1
2023-08-31,3.01
2023-09-30,2.85
2023-10-31,3.02
2023-11-30,3.45
2023-12-31,3.33
2024-01-31,3.15
2024-02-29,3.35
2024-03-31,3.4
2024-04-30,3.4
2024-05-31,3.6
2024-06-30,3.52
2024-07-31,3.4
2024-08-31,3.5
2024-09-30,4.01
2024-10-31,4.19
2024-11-30,4.06
2024-12-31,4.05
2025-01-31,4.2
2025-02-28,4.29
2025-03-31,4.16
2025-04-30,4.49
2025-05-31,4.82
2025-06-30,4.72
2025-07-31,5.05
2025-08-31,5.69
2025-09-30,6.1
2025-10-31,6.05
2025-11-30,5.96
2025-12-31,5.75
2026-01-31,6.31
2026-02-28,5.95
2026-03-31,6.07
2026-04-30,6.11
2026-05-31,6.47
2026-06-30,6.5
2026-07-31,7.02
2026-08-31,7.37
2026-09-08,7.27
