Date,Close
2016-10-01,22.15
2016-11-01,20.01
2016-12-01,18.92
2017-01-01,18.67
2017-02-01,18.46
2017-03-01,23.12
2017-04-01,22.31
2017-05-01,23.96
2017-06-01,22.67
2017-07-01,24.07
2017-08-01,19.94
2017-09-01,18.77
2017-10-01,18.49
2017-11-01,23.38
2017-12-01,24.35
2018-01-01,27.93
2018-02-01,25.76
2018-03-01,23.47
2018-04-01,25.03
2018-05-01,21.7
2018-06-01,22.07
2018-07-01,21.49
2018-08-01,26.47
2018-09-01,27.41
2018-10-01,26.89
2018-11-01,23.02
2018-12-01,23.51
2019-01-01,23.98
2019-02-01,23.32
2019-03-01,21.54
2019-04-01,21.42
2019-05-01,20.05
2019-06-01,18.89
2019-07-01,16.93
2019-08-01,17.95
2019-09-01,19.34
2019-10-01,19.41
2019-11-01,19.8
2019-12-01,19.35
2020-01-01,15.63
2020-02-01,15.98
2020-03-01,18.59
2020-04-01,20.78
2020-05-01,25.13
2020-06-01,25.59
2020-07-01,26.38
2020-08-01,23.35
2020-09-01,20.93
2020-10-01,19.05
2020-11-01,21.17
2020-12-01,20.1
2021-01-01,22.65
2021-02-01,21.11
2021-03-01,26.62
2021-04-01,25.61
2021-05-01,26.6
2021-06-01,24.85
2021-07-01,24.58
2021-08-01,24.9
2021-09-01,23.17
2021-10-01,22.14
2021-11-01,26.46
2021-12-01,29.68
2022-01-01,27.14
2022-02-01,28.48
2022-03-01,31.98
2022-04-01,29.8
2022-05-01,27.09
2022-06-01,25.32
2022-07-01,27.64
2022-08-01,28.9
2022-09-01,27.75
2022-10-01,29.5
2022-11-01,34.33
2022-12-01,32.37
2023-01-01,31.95
2023-02-01,30.29
2023-03-01,35.03
2023-04-01,34.66
2023-05-01,34.56
2023-06-01,36.73
2023-07-01,39.25
2023-08-01,40.79
2023-09-01,42.8
2023-10-01,42.02
2023-11-01,43.08
2023-12-01,48.11
2024-01-01,50.37
2024-02-01,62.44
2024-03-01,64.48
2024-04-01,66.03
2024-05-01,78.98
2024-06-01,83.66
2024-07-01,99.89
2024-08-01,104.05
2024-09-01,110.41
2024-10-01,128.43
2024-11-01,154.48
2024-12-01,127.07
2025-01-01,158.34
2025-02-01,148.4
2025-03-01,152.64
2025-04-01,171
2025-05-01,172.86
2025-06-01,164.64
2025-07-01,151.54
2025-08-01,140.54
2025-09-01,108.8
2025-10-01,78.96
2025-11-01,83.81
2025-12-01,79.67
2026-01-01,70.91
2026-02-01,73.87
2026-03-01,77.13
2026-04-01,81.85
2026-05-01,82.62
2026-06-01,84.58
2026-07-01,87.16
2026-08-01,82.04
2026-09-01,81.4
2026-09-04,81.4
