Date,Close
2016-09-30,4.42
2016-10-31,4.33
2016-11-30,4.58
2016-12-31,4.35
2017-01-31,4.72
2017-02-28,4.64
2017-03-31,4.85
2017-04-30,4.72
2017-05-31,4.38
2017-06-30,4.2
2017-07-31,4.43
2017-08-31,4.3
2017-09-30,4.52
2017-10-31,4.7
2017-11-30,4.48
2017-12-31,4.22
2018-01-31,4.04
2018-02-28,4.03
2018-03-31,4.14
2018-04-30,4.15
2018-05-31,3.97
2018-06-30,4.15
2018-07-31,4.13
2018-08-31,4.15
2018-09-30,3.61
2018-10-31,3.64
2018-11-30,3.52
2018-12-31,3.78
2019-01-31,3.5
2019-02-28,3.85
2019-03-31,3.77
2019-04-30,4.43
2019-05-31,4.17
2019-06-30,4.57
2019-07-31,4.52
2019-08-31,4.55
2019-09-30,4.89
2019-10-31,5.05
2019-11-30,4.62
2019-12-31,4.92
2020-01-31,4.71
2020-02-29,2.53
2020-03-31,2.88
2020-04-30,3.57
2020-05-31,3.31
2020-06-30,3.19
2020-07-31,3.96
2020-08-31,3.78
2020-09-30,3.85
2020-10-31,4.55
2020-11-30,4.18
2020-12-31,4.45
2021-01-31,4.17
2021-02-28,4.4
2021-03-31,4.68
2021-04-30,4.67
2021-05-31,4.66
2021-06-30,4.4
2021-07-31,4.62
2021-08-31,4.48
2021-09-30,4.55
2021-10-31,4.37
2021-11-30,4.24
2021-12-31,4.04
2022-01-31,4.16
2022-02-28,4.27
2022-03-31,4.16
2022-04-30,4
2022-05-31,3.61
2022-06-30,3.85
2022-07-31,3.62
2022-08-31,3.27
2022-09-30,3.6
2022-10-31,3.8
2022-11-30,3.63
2022-12-31,3.93
2023-01-31,3.84
2023-02-28,3.98
2023-03-31,4.45
2023-04-30,4.26
2023-05-31,4.03
2023-06-30,4.22
2023-07-31,4.24
2023-08-31,3.92
2023-09-30,3.54
2023-10-31,4.13
2023-11-30,4.45
2023-12-31,4.56
2024-01-31,4.49
2024-02-29,4.85
2024-03-31,4.45
2024-04-30,4.5
2024-05-31,4.17
2024-06-30,4.6
2024-07-31,5.02
2024-08-31,5.24
2024-09-30,5.18
2024-10-31,5.22
2024-11-30,4.8
2024-12-31,5.17
2025-01-31,5.09
2025-02-28,4.9
2025-03-31,5.49
2025-04-30,5.46
2025-05-31,5.36
2025-06-30,5.55
2025-07-31,6.2
2025-08-31,6.12
2025-09-30,6.31
2025-10-31,6.02
2025-11-30,5.73
2025-12-31,5.39
2026-01-31,5.11
2026-02-28,4.31
2026-03-31,4.05
2026-04-30,4.1
2026-05-31,4.08
2026-06-30,4.27
2026-07-31,4.36
2026-08-31,4.1
2026-09-25,4.02
